"","desc","value"
"1","Root_state","0,1"
"2","mu","0.0518198307435055"
"3","gamma_0","0.0211732223394231"
"4","loglik.obs","-11.3689429540341"
"5","df","2"
"6","conv","0"
"7","n.obs","5"
"8","mntd.obs","39.20418"
"9","mpd.obs","74.2545588"
"10","runs","1000"
"11","mntd.mean.RD","68.660191944"
"12","mntd.sd.RD","21.8028426426309"
"13","mntd.obs.z.RD","1.35101704061309"
"14","mntd.obs.rank.RD","81"
"15","mntd.obs.q.RD","0.0809190809190809"
"16","mpd.mean.RD","103.100994688"
"17","mpd.sd.RD","20.3719460735523"
"18","mpd.obs.z.RD","1.41598823125934"
"19","mpd.obs.rank.RD","44"
"20","mpd.obs.q.RD","0.043956043956044"
"21","n.mean.DAMOCLES","5.137"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","41"
"26","mntd.obs.q.DAMOCLES","0.040959040959041"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","34"
"31","mpd.obs.q.DAMOCLES","0.033966033966034"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
