"","desc","value"
"1","Root_state","0,1"
"2","mu","1.12479539838626e-16"
"3","gamma_0","0.0194143311362987"
"4","loglik.obs","-9.15023738112109"
"5","df","2"
"6","conv","0"
"7","n.obs","5"
"8","mntd.obs","47.6525492"
"9","mpd.obs","71.2734974"
"10","runs","1000"
"11","mntd.mean.RD","49.3859542676"
"12","mntd.sd.RD","15.091051431357"
"13","mntd.obs.z.RD","0.114863107814889"
"14","mntd.obs.rank.RD","491"
"15","mntd.obs.q.RD","0.49050949050949"
"16","mpd.mean.RD","70.0672720302"
"17","mpd.sd.RD","6.03945297641741"
"18","mpd.obs.z.RD","-0.199724275445146"
"19","mpd.obs.rank.RD","550.5"
"20","mpd.obs.q.RD","0.54995004995005"
"21","n.mean.DAMOCLES","5.063"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","125"
"26","mntd.obs.q.DAMOCLES","0.124875124875125"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","171"
"31","mpd.obs.q.DAMOCLES","0.170829170829171"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
