"","desc","value"
"1","Root_state","0,1"
"2","mu","0.267346804307159"
"3","gamma_0","0.0812428470967376"
"4","loglik.obs","-13.5942255857297"
"5","df","2"
"6","conv","0"
"7","n.obs","6"
"8","mntd.obs","42.0776765"
"9","mpd.obs","119.7188552"
"10","runs","1000"
"11","mntd.mean.RD","63.4145300233333"
"12","mntd.sd.RD","19.0305315830845"
"13","mntd.obs.z.RD","1.12119062098606"
"14","mntd.obs.rank.RD","151"
"15","mntd.obs.q.RD","0.150849150849151"
"16","mpd.mean.RD","124.6579337998"
"17","mpd.sd.RD","19.8320450227971"
"18","mpd.obs.z.RD","0.249045350296577"
"19","mpd.obs.rank.RD","314"
"20","mpd.obs.q.RD","0.313686313686314"
"21","n.mean.DAMOCLES","6.025"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","145"
"26","mntd.obs.q.DAMOCLES","0.144855144855145"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","353"
"31","mpd.obs.q.DAMOCLES","0.352647352647353"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
