"","desc","value"
"1","Root_state","0,1"
"2","mu","2.64212027382559"
"3","gamma_0","1.63100477774338"
"4","loglik.obs","-107.569363042996"
"5","df","2"
"6","conv","0"
"7","n.obs","62"
"8","mntd.obs","69.930590016129"
"9","mpd.obs","261.566012796933"
"10","runs","1000"
"11","mntd.mean.RD","62.2849498442419"
"12","mntd.sd.RD","7.09565966111838"
"13","mntd.obs.z.RD","-1.07750942647128"
"14","mntd.obs.rank.RD","859"
"15","mntd.obs.q.RD","0.858141858141858"
"16","mpd.mean.RD","263.434784914112"
"17","mpd.sd.RD","7.54834252933323"
"18","mpd.obs.z.RD","0.247573836231804"
"19","mpd.obs.rank.RD","394"
"20","mpd.obs.q.RD","0.393606393606394"
"21","n.mean.DAMOCLES","62.008"
"22","mntd.mean.DAMOCLES","62.3364030034128"
"23","mntd.sd.DAMOCLES","7.85046664552856"
"24","mntd.obs.z.DAMOCLES","-0.967354853617743"
"25","mntd.obs.rank.DAMOCLES","836"
"26","mntd.obs.q.DAMOCLES","0.835164835164835"
"27","mpd.mean.DAMOCLES","263.798494171193"
"28","mpd.sd.DAMOCLES","7.65908644602978"
"29","mpd.obs.z.DAMOCLES","0.291481417528262"
"30","mpd.obs.rank.DAMOCLES","373"
"31","mpd.obs.q.DAMOCLES","0.372627372627373"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
