"","X","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",1,40,60.1690311,107.774964923298,14.4410567588983,1,-3.29656856960724,0.001,999,"Barre des Ecrins","mntd","Spermatophyta",1,"Ecrins NP"
"2",2,11,133.958141,169.595547981072,31.7108445280735,131,-1.12382396342432,0.131,999,"Brevoort","mntd","Spermatophyta",0,"Ecrins NP"
"3",3,33,84.8327668484848,115.962965847969,16.2036516366806,22,-1.92118416869776,0.022,999,"Burlan","mntd","Spermatophyta",1,"Ecrins NP"
"4",4,17,97.5777625882353,148.679538669787,25.7821512847113,16,-1.98206020580817,0.016,999,"Choisy","mntd","Spermatophyta",1,"Ecrins NP"
"5",6,36,71.64471025,112.208465942999,15.2648956572461,1,-2.65732282773537,0.001,999,"La Meije","mntd","Spermatophyta",1,"Ecrins NP"
"6",7,96,43.750032875,76.4104745081227,7.50962868369478,1,-4.34914201604087,0.001,999,"Lauvitel","mntd","Spermatophyta",1,"Ecrins NP"
"7",8,62,54.293200016129,91.9179522818302,10.3635054601767,1,-3.630504408984,0.001,999,"Muraillette","mntd","Spermatophyta",1,"Ecrins NP"
"8",9,29,82.6647652413793,122.832896970177,17.7547223734809,5,-2.26239142938075,0.005,999,"Occidentale Ailefroide","mntd","Spermatophyta",1,"Ecrins NP"
"9",10,63,78.9228341428571,91.1147266241797,10.6119965224727,120,-1.14887829594593,0.12,999,"Olan","mntd","Spermatophyta",0,"Ecrins NP"
"10",11,16,182.4679245,151.41329122216,25.7070105919323,884,1.20802195832083,0.884,999,"Pelvoux","mntd","Spermatophyta",0,"Ecrins NP"
"11",12,164,39.5226386463415,59.4512666467199,4.72435417663666,1,-4.21827561086157,0.001,999,"Persistent","mntd","Spermatophyta",1,"Ecrins NP"
"12",13,31,71.590894483871,120.048271686105,17.204950364336,2,-2.81647875617714,0.002,999,"Plat de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"13",14,100,55.92053351,74.9368381251852,7.02977958097263,5,-2.70510680970087,0.005,999,"Rateau","mntd","Spermatophyta",1,"Ecrins NP"
"14",15,150,47.9580126333333,62.0032876892292,4.91637508011656,3,-2.85683553980648,0.003,999,"Rocher de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"15",16,40,75.866448975,109.079778718418,14.4133478237049,7,-2.30434526035611,0.007,999,"Rouies","mntd","Spermatophyta",1,"Ecrins NP"
"16",17,76,49.7230208026316,84.4640639682972,9.10004554370726,1,-3.81767794444604,0.001,999,"Sirac","mntd","Spermatophyta",1,"Ecrins NP"
"17",18,215,39.0052656,52.0135386173429,3.57115939043279,1,-3.64259098941155,0.001,999,"Summits","mntd","Spermatophyta",1,"Ecrins NP"
"19",20,7,46.9496258571429,61.0819074789075,15.332146765815,186,-0.921741869395251,0.186,999,"Barre des Ecrins","mntd","Asterales",0,"Ecrins NP"
"20",21,2,33.908879,103.180395638639,41.8265671569924,60,-1.65616069754503,0.06,999,"Brevoort","mntd","Asterales",0,"Ecrins NP"
"21",22,5,33.410541,70.7583523015015,20.0094520416388,25,-1.86650844929598,0.025,999,"Burlan","mntd","Asterales",1,"Ecrins NP"
"22",23,3,49.7552243333333,86.8002071087754,27.341163129838,105,-1.35491612406987,0.105,999,"Choisy","mntd","Asterales",0,"Ecrins NP"
"23",25,4,84.09802675,78.3442511423924,23.638768758723,609,0.243404200376739,0.609,999,"La Meije","mntd","Asterales",0,"Ecrins NP"
"24",26,12,39.8163636666667,46.9408033740407,9.37097470288353,242,-0.760266667370449,0.242,999,"Lauvitel","mntd","Asterales",0,"Ecrins NP"
"25",27,11,26.7429084545455,48.7400561402311,10.1932446360362,17,-2.15801233769266,0.017,999,"Muraillette","mntd","Asterales",1,"Ecrins NP"
"26",28,5,47.3549076,71.6666161503504,19.8142547435541,125,-1.22698071994151,0.125,999,"Occidentale Ailefroide","mntd","Asterales",0,"Ecrins NP"
"27",29,10,53.1066916,51.9861423166166,10.9393300525832,533,0.102433081184783,0.533,999,"Olan","mntd","Asterales",0,"Ecrins NP"
"28",30,2,88.063174,103.347475423423,42.3590001034408,239,-0.36082771987297,0.239,999,"Pelvoux","mntd","Asterales",0,"Ecrins NP"
"29",31,28,22.0372388928571,28.3463904223509,4.00079414225676,70,-1.57697479679245,0.07,999,"Persistent","mntd","Asterales",0,"Ecrins NP"
"30",32,5,78.4294584,71.4957993055055,19.9672174585668,629.5,0.347252145116478,0.6295,999,"Plat de la Selle","mntd","Asterales",0,"Ecrins NP"
"31",33,16,49.5739375625,39.5468284564565,6.91002718566033,928,1.45109546411797,0.928,999,"Rateau","mntd","Asterales",0,"Ecrins NP"
"32",34,31,23.3665795806452,27.100316321289,3.55127768984844,156,-1.05137842397315,0.156,999,"Rocher de la Selle","mntd","Asterales",0,"Ecrins NP"
"33",35,10,52.50592,51.0372368487487,10.9859055350031,554,0.133687946484864,0.554,999,"Rouies","mntd","Asterales",0,"Ecrins NP"
"34",36,13,32.6605934615385,44.9401313165473,8.56413421790509,84,-1.43383295293714,0.084,999,"Sirac","mntd","Asterales",0,"Ecrins NP"
"35",37,39,21.0016260769231,23.833443340058,2.89964805937657,170,-0.976607231342338,0.17,999,"Summits","mntd","Asterales",0,"Ecrins NP"
"37",39,10,35.4883147,56.0636255331331,13.567328763642,62,-1.51653366639654,0.062,999,"Barre des Ecrins","mntd","Poales",0,"Ecrins NP"
"38",40,1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Poales",NA,"Ecrins NP"
"39",41,6,94.0187416666667,74.4426749676343,21.7256898498754,809,0.901056161360264,0.809,999,"Burlan","mntd","Poales",0,"Ecrins NP"
"40",42,2,176.543151,134.522342953954,54.1200235842421,866.5,0.776437356510707,0.8665,999,"Choisy","mntd","Poales",0,"Ecrins NP"
"41",44,6,60.8996243333333,73.9795266476476,22.0143172078948,286,-0.594154349226128,0.286,999,"La Meije","mntd","Poales",0,"Ecrins NP"
"42",45,18,31.1863521111111,43.511907995996,8.39619992932737,71,-1.46799218558774,0.071,999,"Lauvitel","mntd","Poales",0,"Ecrins NP"
"43",46,11,46.6299019090909,53.9723334102284,12.9626421757749,297,-0.566430161503596,0.297,999,"Muraillette","mntd","Poales",0,"Ecrins NP"
"44",47,6,55.5208781666667,72.5670290764097,21.6130995099367,234,-0.7886953420034,0.234,999,"Occidentale Ailefroide","mntd","Poales",0,"Ecrins NP"
"45",48,9,51.1409335555556,59.5600351558225,15.3977276669684,288,-0.546775588084197,0.288,999,"Olan","mntd","Poales",0,"Ecrins NP"
"46",49,3,134.804278,106.445029921588,37.806719756101,796.5,0.750111309877268,0.7965,999,"Pelvoux","mntd","Poales",0,"Ecrins NP"
"47",50,28,29.2269466785714,35.304600779458,5.90065213029746,155,-1.02999701841095,0.155,999,"Persistent","mntd","Poales",0,"Ecrins NP"
"48",51,11,32.0028913636364,53.6833061269451,12.9850637262011,42,-1.66964253857008,0.042,999,"Plat de la Selle","mntd","Poales",1,"Ecrins NP"
"49",52,22,28.2196397727273,39.4817416074256,7.36329709013067,60,-1.52949170688677,0.06,999,"Rateau","mntd","Poales",0,"Ecrins NP"
"50",53,29,26.5601085862069,34.7988183491077,5.73744047713374,87,-1.4359555965305,0.087,999,"Rocher de la Selle","mntd","Poales",0,"Ecrins NP"
"51",54,5,82.468806,80.5935746538538,24.939138310562,513,0.07519230707951,0.513,999,"Rouies","mntd","Poales",0,"Ecrins NP"
"52",55,14,44.2163880714286,48.1806315429715,10.6268399030031,358,-0.373040669448938,0.358,999,"Sirac","mntd","Poales",0,"Ecrins NP"
"53",56,37,24.4117922432432,30.7727028066986,4.39424986252213,75,-1.44755322579777,0.075,999,"Summits","mntd","Poales",0,"Ecrins NP"
"55",58,3,43.716027,79.6823799793126,35.6044038312298,151.5,-1.01016585335338,0.1515,999,"Barre des Ecrins","mntd","Rosales",0,"Ecrins NP"
"56",59,0,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Rosales",NA,"Ecrins NP"
"57",60,2,141.87263,101.373463765766,52.1179962885769,769,0.777066831387583,0.769,999,"Burlan","mntd","Rosales",0,"Ecrins NP"
"58",61,1,NA,NA,NA,NA,NA,NA,999,"Choisy","mntd","Rosales",NA,"Ecrins NP"
"59",63,2,60.973601,101.354223455455,50.706913998561,145,-0.79635338203783,0.145,999,"La Meije","mntd","Rosales",0,"Ecrins NP"
"60",64,8,9.514003125,53.2081959276777,18.1585518220713,2,-2.40625977395226,0.002,999,"Lauvitel","mntd","Rosales",1,"Ecrins NP"
"61",65,6,44.02024,59.8958958860527,22.503474110036,260,-0.705475777136677,0.26,999,"Muraillette","mntd","Rosales",0,"Ecrins NP"
"62",66,1,NA,NA,NA,NA,NA,NA,999,"Occidentale Ailefroide","mntd","Rosales",NA,"Ecrins NP"
