"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",33,84.750557969697,85.5715269555616,11.8547933599019,479,-0.0692520705288317,0.479,999,"Barre des Ecrins","mntd","Spermatophyta",0,"Persistent LGM"
"2",9,155.966037888889,156.6701853003,32.5734298164135,491,-0.0216172326764496,0.491,999,"Brevoort","mntd","Spermatophyta",0,"Persistent LGM"
"3",23,113.524845478261,102.06818700074,17.1384139456733,735,0.668478338417852,0.735,999,"Burlan","mntd","Spermatophyta",0,"Persistent LGM"
"4",14,111.210714642857,129.454717348777,23.9182325806478,217,-0.76276550302807,0.217,999,"Choisy","mntd","Spermatophyta",0,"Persistent LGM"
"5",141,40.9550714609929,40.9550714609929,0,500.5,NA,0.5005,999,"Ecrins NP","mntd","Spermatophyta",0,"Persistent LGM"
"6",27,78.4788076296296,94.4154210964298,14.3155358807815,143,-1.11323904319886,0.143,999,"La Meije","mntd","Spermatophyta",0,"Persistent LGM"
"7",77,46.3356573896104,54.3387125824526,5.35152659657836,68,-1.49547144135641,0.068,999,"Lauvitel","mntd","Spermatophyta",0,"Persistent LGM"
"8",51,64.7106728431373,68.7208041829673,8.0764281449136,298,-0.496522877177523,0.298,999,"Muraillette","mntd","Spermatophyta",0,"Persistent LGM"
"9",22,109.730175590909,104.304054232096,16.1523915289084,633,0.335933000949243,0.633,999,"Occidentale Ailefroide","mntd","Spermatophyta",0,"Persistent LGM"
"10",54,68.3739437222222,66.3310123433433,7.34909841151148,616,0.27798394639523,0.616,999,"Olan","mntd","Spermatophyta",0,"Persistent LGM"
"11",13,141.391363846154,135.524189420497,25.5857731823611,572,0.229313938798663,0.572,999,"Pelvoux","mntd","Spermatophyta",0,"Persistent LGM"
"12",141,40.9550714609929,40.9550714609929,0,500.5,NA,0.5005,999,"Persistent","mntd","Spermatophyta",0,"Persistent LGM"
"13",25,87.72994732,98.0143510049249,14.8039580645816,251,-0.69470635083264,0.251,999,"Plat de la Selle","mntd","Spermatophyta",0,"Persistent LGM"
"14",71,52.7539635774648,56.8726853723583,5.55503080600524,223,-0.741439955731832,0.223,999,"Rateau","mntd","Spermatophyta",0,"Persistent LGM"
"15",99,48.379718979798,47.7022142409682,3.53249988166454,560,0.191791864550748,0.56,999,"Rocher de la Selle","mntd","Spermatophyta",0,"Persistent LGM"
