"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",33,84.750557969697,118.903484941002,16.486979046707,10,-2.07150909057085,0.01,999,"Barre des Ecrins","mntd","Spermatophyta",1,"Ecrins NP"
"2",9,155.966037888889,184.016870474586,36.5955946013229,215,-0.766508452486868,0.215,999,"Brevoort","mntd","Spermatophyta",0,"Ecrins NP"
"3",25,98.99843212,130.362311416176,19.9227855947,52,-1.57427178780259,0.052,999,"Burlan","mntd","Spermatophyta",0,"Ecrins NP"
"4",14,111.210714642857,159.966942245317,27.5655337045201,33,-1.7687387490874,0.033,999,"Choisy","mntd","Spermatophyta",1,"Ecrins NP"
"6",29,77.3461310689655,125.129620621104,18.9001256456262,6,-2.52821015310002,0.006,999,"La Meije","mntd","Spermatophyta",1,"Ecrins NP"
"7",78,45.3953412179487,84.0979682600164,8.76470909015978,1,-4.4157343551219,0.001,999,"Lauvitel","mntd","Spermatophyta",1,"Ecrins NP"
"8",51,64.7106728431372,101.444940841449,12.2389824457947,1,-3.00141520432802,0.001,999,"Muraillette","mntd","Spermatophyta",1,"Ecrins NP"
"9",24,103.624103708333,134.573069149024,19.4261143766568,51,-1.59316293730259,0.051,999,"Occidentale Ailefroide","mntd","Spermatophyta",0,"Ecrins NP"
"10",57,83.6477575087719,96.6000651577367,11.2370653464272,122,-1.15264148153084,0.122,999,"Olan","mntd","Spermatophyta",0,"Ecrins NP"
"11",16,182.4679245,154.159199027965,26.8208619396664,856,1.05547411323749,0.856,999,"Pelvoux","mntd","Spermatophyta",0,"Ecrins NP"
"12",141,40.9550714609929,64.2712270470754,5.3327316838624,1,-4.37227240527411,0.001,999,"Persistent","mntd","Spermatophyta",1,"Ecrins NP"
"13",25,87.72994732,131.790295255816,19.4541666359157,8,-2.26482834039639,0.008,999,"Plat de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"14",89,56.8294673033708,79.7194707396835,7.72945020383502,2,-2.96140124234912,0.002,999,"Rateau","mntd","Spermatophyta",1,"Ecrins NP"
"15",125,52.293036424,67.9963165715075,6.08236489477645,4,-2.58177212633092,0.004,999,"Rocher de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"16",32,93.10810509375,120.568099774055,16.9592300514768,50,-1.61917696717099,0.05,999,"Rouies","mntd","Spermatophyta",1,"Ecrins NP"
"17",59,53.0487941016949,94.587136738094,11.121964496465,1,-3.73480266454739,0.001,999,"Sirac","mntd","Spermatophyta",1,"Ecrins NP"
"18",187,41.9390618395722,55.8196753455166,4.30001900090628,1,-3.22803538845269,0.001,999,"Summits","mntd","Spermatophyta",1,"Ecrins NP"
"19",7,46.9496258571429,61.036552037752,15.0708283658287,176,-0.934714790631523,0.176,999,"Barre des Ecrins","mntd","Asterales",0,"Ecrins NP"
"20",2,33.908879,101.480444852853,40.2888471321695,52.5,-1.67717794533016,0.0525,999,"Brevoort","mntd","Asterales",0,"Ecrins NP"
