"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",33,84.750557969697,99.2005812597143,17.1907122031718,216,-0.840571531838636,0.216,999,"Barre des Ecrins","mntd","Spermatophyta",0,"Summits"
"2",9,155.966037888889,168.24514116383,40.3578466397054,396,-0.304255660232898,0.396,999,"Brevoort","mntd","Spermatophyta",0,"Summits"
"3",25,98.99843212,112.400637137137,20.0217726124298,267,-0.669381541613196,0.267,999,"Burlan","mntd","Spermatophyta",0,"Summits"
"4",14,111.210714642857,141.85625750429,30.1393954246056,157,-1.01679354976092,0.157,999,"Choisy","mntd","Spermatophyta",0,"Summits"
"6",29,77.3461310689655,105.582459006696,17.2676745095637,42,-1.6352131216101,0.042,999,"La Meije","mntd","Spermatophyta",1,"Summits"
"7",78,45.3953412179487,66.6543754085239,7.66197971022833,3,-2.77461374143232,0.003,999,"Lauvitel","mntd","Spermatophyta",1,"Summits"
"8",51,64.7106728431373,82.333789466859,11.2476460616966,62,-1.56682709671463,0.062,999,"Muraillette","mntd","Spermatophyta",0,"Summits"
"9",24,103.624103708333,115.057114752419,20.8924130667351,301,-0.547232672816017,0.301,999,"Occidentale Ailefroide","mntd","Spermatophyta",0,"Summits"
"10",57,83.6477575087719,77.9030017437964,10.5574479630426,688,0.544142465592591,0.688,999,"Olan","mntd","Spermatophyta",0,"Summits"
"11",16,182.4679245,135.164064124062,28.7706130762294,937,1.6441728318616,0.937,999,"Pelvoux","mntd","Spermatophyta",0,"Summits"
"12",141,40.9550714609929,49.2875782790521,3.69498541482598,19,-2.25508517154773,0.019,999,"Persistent","mntd","Spermatophyta",1,"Summits"
"13",25,87.72994732,111.406113427387,20.6015613803004,134,-1.14924134488306,0.134,999,"Plat de la Selle","mntd","Spermatophyta",0,"Summits"
"14",89,56.8294673033708,62.5683260090877,6.79205107320722,208,-0.844937507663212,0.208,999,"Rateau","mntd","Spermatophyta",0,"Summits"
"15",125,52.293036424,52.1368824582823,4.35165426642185,504,0.0358838170859834,0.504,999,"Rocher de la Selle","mntd","Spermatophyta",0,"Summits"
"16",32,93.10810509375,100.245347016548,16.7618208549832,352,-0.425803496204049,0.352,999,"Rouies","mntd","Spermatophyta",0,"Summits"
"17",59,53.0487941016949,76.5425222448211,10.2311068426588,7,-2.29630366532471,0.007,999,"Sirac","mntd","Spermatophyta",1,"Summits"
"18",187,41.9390618395722,41.9390618395722,0,500.5,NA,0.5005,999,"Summits","mntd","Spermatophyta",0,"Summits"
"19",7,46.9496258571429,49.9490492659803,11.7701591953907,393,-0.254832866662671,0.393,999,"Barre des Ecrins","mntd","Asterales",0,"Summits"
"20",2,33.908879,87.2426966706707,25.5031041523871,53,-2.09126768851307,0.053,999,"Brevoort","mntd","Asterales",0,"Summits"
"21",3,49.7552243333333,75.2100928658659,21.890631969939,148,-1.16282017657088,0.148,999,"Burlan","mntd","Asterales",0,"Summits"
"22",3,49.7552243333333,75.1620900633967,21.7726872424238,147,-1.16691455892309,0.147,999,"Choisy","mntd","Asterales",0,"Summits"
"24",3,53.3313813333333,73.4922801154488,22.3326315145266,206,-0.902755179970686,0.206,999,"La Meije","mntd","Asterales",0,"Summits"
"25",9,40.1489905555556,44.658593150595,9.35731432098489,307,-0.481933430933934,0.307,999,"Lauvitel","mntd","Asterales",0,"Summits"
"26",9,30.7094401111111,44.364073953954,9.5100841207662,72,-1.43580578988009,0.072,999,"Muraillette","mntd","Asterales",0,"Summits"
"27",4,65.57284725,66.1864469607107,18.8337311597754,461,-0.0325798274120652,0.461,999,"Occidentale Ailefroide","mntd","Asterales",0,"Summits"
"28",10,40.3726119,41.9299171500501,8.40113003725761,426,-0.185368544843809,0.426,999,"Olan","mntd","Asterales",0,"Summits"
"29",2,88.063174,84.1560562492492,28.1525289491154,308,0.138783899585459,0.308,999,"Pelvoux","mntd","Asterales",0,"Summits"
"30",23,21.1949701304348,27.0721622490316,2.43196507706968,14,-2.41664330380862,0.014,999,"Persistent","mntd","Asterales",1,"Summits"
"31",4,71.76188475,66.2126810462963,18.984533487395,635,0.292301293965856,0.635,999,"Plat de la Selle","mntd","Asterales",0,"Summits"
"32",15,31.9584465333333,34.0946410658659,5.27044619416037,342,-0.405315689381181,0.342,999,"Rateau","mntd","Asterales",0,"Summits"
"33",23,28.2652586086957,27.0146495112504,2.34857417935613,722,0.532497167191089,0.722,999,"Rocher de la Selle","mntd","Asterales",0,"Summits"
"34",6,71.2815443333333,54.9803278183183,13.2647125087523,888,1.22891593046281,0.888,999,"Rouies","mntd","Asterales",0,"Summits"
"35",7,54.105705,50.6559942084942,11.9198012098399,615,0.289410094243688,0.615,999,"Sirac","mntd","Asterales",0,"Summits"
"36",30,23.8980855333333,23.8980855333333,0,500.5,NA,0.5005,999,"Summits","mntd","Asterales",0,"Summits"
"37",7,63.3287985714286,54.1054861471471,16.1319280191662,713,0.571742721224845,0.713,999,"Barre des Ecrins","mntd","Poales",0,"Summits"
"38",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Poales",NA,"Summits"
"39",3,134.804278333333,103.64973055956,38.5613035239717,763,0.807922578509477,0.763,999,"Burlan","mntd","Poales",0,"Summits"
"40",2,176.543151,129.873957172172,58.8344370509531,929,0.793229206687409,0.929,999,"Choisy","mntd","Poales",0,"Summits"
"42",4,89.9936755,85.0544583400901,28.1985836629237,492,0.175158341956165,0.492,999,"La Meije","mntd","Poales",0,"Summits"
"43",13,33.7733596923077,34.9232838762609,8.53997608950381,455,-0.134651920790096,0.455,999,"Lauvitel","mntd","Poales",0,"Summits"
"44",7,52.8375081428571,54.8182375439725,16.4565649181523,438,-0.120361048066026,0.438,999,"Muraillette","mntd","Poales",0,"Summits"
"45",3,61.2359446666667,102.107513331665,39.7966833238095,138.5,-1.02700942016808,0.1385,999,"Occidentale Ailefroide","mntd","Poales",0,"Summits"
"46",6,44.849354,61.0483789738071,18.1543625604734,200,-0.892293789982827,0.2,999,"Olan","mntd","Poales",0,"Summits"
"47",3,134.804278,101.689819947614,38.6022111853974,772.5,0.857838373386041,0.7725,999,"Pelvoux","mntd","Poales",0,"Summits"
"48",22,33.2484249545455,27.9249569968605,4.19647196226186,905,1.26855797097132,0.905,999,"Persistent","mntd","Poales",0,"Summits"
"49",6,71.843752,60.9937326901902,19.0446890874761,694,0.569713648774915,0.694,999,"Plat de la Selle","mntd","Poales",0,"Summits"
"50",18,34.7410355555556,30.0190104824825,5.62161052562793,806,0.839977271912772,0.806,999,"Rateau","mntd","Poales",0,"Summits"
"51",23,28.474507,27.6828166419028,3.73430753186757,566,0.212004595588648,0.566,999,"Rocher de la Selle","mntd","Poales",0,"Summits"
"52",3,160.721858666667,103.320836570904,38.1051322116956,948,1.50638559070908,0.948,999,"Rouies","mntd","Poales",0,"Summits"
"53",11,54.0737830909091,38.8225315888616,10.3445007046181,927,1.47433423202716,0.927,999,"Sirac","mntd","Poales",0,"Summits"
"54",32,24.979282375,24.979282375,0,500.5,NA,0.5005,999,"Summits","mntd","Poales",0,"Summits"
"55",3,43.716027,61.1385462032032,38.9486272469727,354,-0.447320494576798,0.354,999,"Barre des Ecrins","mntd","Rosales",0,"Summits"
"56",0,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Rosales",NA,"Summits"
"57",2,141.87263,82.1832075915916,59.0521980718188,758.5,1.01079086566455,0.7585,999,"Burlan","mntd","Rosales",0,"Summits"
"58",1,NA,NA,NA,NA,NA,NA,999,"Choisy","mntd","Rosales",NA,"Summits"
"60",2,60.973601,79.1793517027027,57.5890344357854,384.5,-0.316132244290413,0.3845,999,"La Meije","mntd","Rosales",0,"Summits"
"61",8,9.514003125,42.5197013631131,17.1648509653081,21,-1.92286541286149,0.021,999,"Lauvitel","mntd","Rosales",1,"Summits"
"62",6,44.02024,46.9680351181181,21.7482367091904,460,-0.135541798516127,0.46,999,"Muraillette","mntd","Rosales",0,"Summits"
"63",1,NA,NA,NA,NA,NA,NA,999,"Occidentale Ailefroide","mntd","Rosales",NA,"Summits"
"64",5,10.6526784,48.5087415463464,24.4662546904665,37,-1.54727659076881,0.037,999,"Olan","mntd","Rosales",1,"Summits"
"65",0,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mntd","Rosales",NA,"Summits"
"66",17,37.1380242941176,33.1642664773008,6.87666962699301,689.5,0.577860800701929,0.6895,999,"Persistent","mntd","Rosales",0,"Summits"
"67",4,24.6977485,51.003746044044,28.956340696363,225,-0.908471060618105,0.225,999,"Plat de la Selle","mntd","Rosales",0,"Summits"
"68",15,25.2958234,35.0031738752753,8.99965738854151,138,-1.07863555868636,0.138,999,"Rateau","mntd","Rosales",0,"Summits"
"69",10,24.5349211,39.2253178126126,14.0413614811241,148,-1.04622309826302,0.148,999,"Rocher de la Selle","mntd","Rosales",0,"Summits"
"70",3,43.716027,59.8364416956957,38.1888449194825,370,-0.422123652330518,0.37,999,"Rouies","mntd","Rosales",0,"Summits"
"71",11,10.1878607272727,37.4604003467103,12.8467203009231,20,-2.12291845549699,0.02,999,"Sirac","mntd","Rosales",1,"Summits"
"72",22,30.5263595,30.5263595,0,500.5,NA,0.5005,999,"Summits","mntd","Rosales",0,"Summits"
"73",5,43.6545774,50.4192134262262,14.3353216343575,309,-0.471885891280837,0.309,999,"Barre des Ecrins","mntd","Lamiales",0,"Summits"
"74",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Lamiales",NA,"Summits"
"75",5,44.0751634,49.9305175051051,14.4409323240807,361.5,-0.405469257365128,0.3615,999,"Burlan","mntd","Lamiales",0,"Summits"
"76",2,73.188451,70.7972484534534,18.5067924799416,300,0.129206752014875,0.3,999,"Choisy","mntd","Lamiales",0,"Summits"
"78",2,73.188451,70.6366525475475,19.0511655090684,304,0.133944479734734,0.304,999,"La Meije","mntd","Lamiales",0,"Summits"
"79",8,34.60029875,40.3279939485736,10.0585432359332,302,-0.569435858078523,0.302,999,"Lauvitel","mntd","Lamiales",0,"Summits"
"80",5,62.0815022,51.0017887281281,14.2556650352008,761,0.777214773531314,0.761,999,"Muraillette","mntd","Lamiales",0,"Summits"
