"","summit","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","slice","metric"
"1","Brevoort",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"2","Burlan",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"3","Choisy",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"4","Lauvitel",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"5","Muraillette",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"6","Olan",1,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"7","Pelvoux",1,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"8","Persistent",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"9","Rateau",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"10","Rouies",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"11","Sirac",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"12","Summits",1,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"13","Brevoort",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"14","Burlan",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"15","Choisy",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"16","Lauvitel",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"17","Muraillette",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"18","Olan",1,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"19","Pelvoux",1,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"20","Persistent",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"21","Rateau",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"22","Rouies",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"23","Sirac",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"24","Summits",1,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"25","Brevoort",1,NA,NA,NA,NA,NA,NA,999,100,"mntd"
"26","Burlan",1,NA,NA,NA,NA,NA,NA,999,100,"mntd"
"27","Choisy",2,34.891912,161.016664566567,152.660124441024,193,-0.82618007176649,0.193,999,100,"mntd"
"28","Lauvitel",2,37.202628,153.809082694695,146.593933748695,260,-0.795438472198941,0.26,999,100,"mntd"
"29","Muraillette",2,34.8919120000001,163.807993265265,153.086445171481,211,-0.842112971666816,0.211,999,100,"mntd"
"30","Olan",3,191.417728,113.60665248315,82.7280693499288,820,0.940564383144488,0.82,999,100,"mntd"
"31","Pelvoux",2,504.46936,164.721411111111,155.42750955464,926,2.18589328145576,0.926,999,100,"mntd"
"32","Persistent",4,32.790858,99.3009545940942,60.635592440237,84,-1.09688211028279,0.084,999,100,"mntd"
"33","Rateau",3,29.297908,112.805198055389,80.7464986184197,89,-1.03419085018182,0.089,999,100,"mntd"
"34","Rouies",2,34.891912,168.600037017017,156.136925114226,176,-0.856351724098571,0.176,999,100,"mntd"
"35","Sirac",1,NA,NA,NA,NA,NA,NA,999,100,"mntd"
"36","Summits",6,109.850026333333,85.3446341071072,41.7315176237081,649,0.587215457803156,0.649,999,100,"mntd"
"37","Brevoort",1,NA,NA,NA,NA,NA,NA,999,90,"mntd"
"38","Burlan",1,NA,NA,NA,NA,NA,NA,999,90,"mntd"
"39","Choisy",2,54.891912,162.719118858859,142.818798842603,269.5,-0.754993094275305,0.2695,999,90,"mntd"
"40","Lauvitel",2,57.202628,171.650139205205,146.68644614564,282.5,-0.780218719673489,0.2825,999,90,"mntd"
"41","Muraillette",2,54.8919120000001,166.845040498499,145.168740620832,277.5,-0.771193082062415,0.2775,999,90,"mntd"
"42","Olan",3,211.417728,117.610505725726,74.3730537300789,885,1.26130658309026,0.885,999,90,"mntd"
"43","Pelvoux",2,524.46936,167.999385323323,146.041064749914,941.5,2.44088863147574,0.9415,999,90,"mntd"
"44","Persistent",4,52.790858,106.309010577077,54.7880155722881,119,-0.976822248771986,0.119,999,90,"mntd"
"45","Rateau",3,49.297908,118.370283959293,71.4678079540305,136,-0.966482363691934,0.136,999,90,"mntd"
"46","Rouies",2,54.891912,155.064944334334,132.566409052756,265,-0.755644156390098,0.265,999,90,"mntd"
"47","Sirac",1,NA,NA,NA,NA,NA,NA,999,90,"mntd"
"48","Summits",6,129.850026333333,95.2655073787121,41.3669215053228,733,0.83604285008666,0.733,999,90,"mntd"
"49","Brevoort",1,NA,NA,NA,NA,NA,NA,999,80,"mntd"
"50","Burlan",1,NA,NA,NA,NA,NA,NA,999,80,"mntd"
"51","Choisy",2,74.891912,174.387491139139,125.324411101645,247,-0.793904222366087,0.247,999,80,"mntd"
"52","Lauvitel",3,32.7336226666667,135.6106623003,70.7725777596235,5,-1.45362855063796,0.005,999,80,"mntd"
"53","Muraillette",3,31.9633840000001,137.903079753754,73.760980466281,9,-1.43625660998613,0.009,999,80,"mntd"
"54","Olan",4,160.089878,118.486187336837,52.5279964882947,824,0.792028888298339,0.824,999,80,"mntd"
"55","Pelvoux",2,544.46936,169.113046068068,129.494985049962,960.5,2.89861660501456,0.9605,999,80,"mntd"
"56","Persistent",5,47.4539520000001,111.517071462262,43.0983836769252,13,-1.48643902617076,0.013,999,80,"mntd"
"57","Rateau",3,69.297908,130.487296597931,67.4177313283806,127,-0.907615658258922,0.127,999,80,"mntd"
"58","Rouies",2,74.891912,183.998323365365,142.594242375389,271,-0.765152993191234,0.271,999,80,"mntd"
"59","Sirac",1,NA,NA,NA,NA,NA,NA,999,80,"mntd"
"60","Summits",7,120.743783714286,102.752449034177,34.5925503823304,735,0.520092750643171,0.735,999,80,"mntd"
"61","Brevoort",1,NA,NA,NA,NA,NA,NA,999,70,"mntd"
"62","Burlan",2,94.8919120000001,183.878128782783,130.413853327256,321,-0.682337148335645,0.321,999,70,"mntd"
"63","Choisy",2,94.891912,184.76394961962,128.904252329148,313,-0.697199944887292,0.313,999,70,"mntd"
"64","Lauvitel",4,63.2731950000001,135.66312548949,53.3727271512273,23,-1.35630938033911,0.023,999,70,"mntd"
"65","Muraillette",4,16.1858770000001,128.508024216717,47.9032038012864,1,-2.34477317389156,0.001,999,70,"mntd"
"66","Olan",5,162.6215,123.669638933734,41.7403987158099,848,0.933193315460892,0.848,999,70,"mntd"
"67","Pelvoux",3,251.417728,143.301708,69.6518060089665,920,1.55223570205892,0.92,999,70,"mntd"
"68","Persistent",8,47.9818380000001,110.83022630981,31.5736889098801,2,-1.99053042199777,0.002,999,70,"mntd"
"69","Rateau",5,90.249624,124.072063708108,42.4370242445374,186,-0.797003096004354,0.186,999,70,"mntd"
"70","Rouies",2,94.891912,185.242086444445,129.537571199314,304,-0.697482387603413,0.304,999,70,"mntd"
"71","Sirac",2,94.8919120000001,193.644968382382,135.279272328746,316.5,-0.729993994515286,0.3165,999,70,"mntd"
"72","Summits",10,103.179143,106.135690908308,27.2593887463651,576,-0.108459802082047,0.576,999,70,"mntd"
"73","Brevoort",1,NA,NA,NA,NA,NA,NA,999,60,"mntd"
"74","Burlan",2,114.891912,199.769592862863,115.463437575813,295.5,-0.735104398802717,0.2955,999,60,"mntd"
"75","Choisy",2,114.891912,206.427303447448,125.096512959339,261,-0.731718169292213,0.261,999,60,"mntd"
"76","Lauvitel",4,83.2731950000001,148.874809560561,49.4327513904742,36,-1.32708806844205,0.036,999,60,"mntd"
"77","Muraillette",4,36.1858770000001,150.102530326827,50.5268347863316,1,-2.25457727183107,0.001,999,60,"mntd"
"78","Olan",6,143.164284333333,135.357804491158,36.4769469909139,747,0.214011327321884,0.747,999,60,"mntd"
"79","Pelvoux",3,271.417728,164.126191585586,64.1116172284671,932,1.67351162008707,0.932,999,60,"mntd"
"80","Persistent",9,54.4147677777778,125.683921969525,29.6884133998574,3,-2.4005713350815,0.003,999,60,"mntd"
"81","Rateau",5,110.249624,143.217071650851,42.3883852196406,175,-0.777747193718893,0.175,999,60,"mntd"
"82","Rouies",2,114.891912,202.220388732733,121.502650455612,286.5,-0.718737216062923,0.2865,999,60,"mntd"
"83","Sirac",3,58.1966893333334,160.395042441108,59.344035611418,7,-1.72213352285248,0.007,999,60,"mntd"
"84","Summits",12,105.868299833333,115.996303496163,24.1037232893861,393,-0.420184198981795,0.393,999,60,"mntd"
"85","Brevoort",1,NA,NA,NA,NA,NA,NA,999,50,"mntd"
"86","Burlan",3,184.209061333333,177.575692770104,59.9228302393163,619.5,0.110698519024184,0.6195,999,50,"mntd"
"87","Choisy",2,134.891912,219.264942068068,114.254670928904,279,-0.738464601771688,0.279,999,50,"mntd"
"88","Lauvitel",9,67.4499635555556,134.373065781559,28.9149231171769,4,-2.314483146118,0.004,999,50,"mntd"
"89","Muraillette",7,100.53394,142.249661854998,33.2074035631312,84,-1.25621751112493,0.084,999,50,"mntd"
"90","Olan",8,125.85692525,137.797590192693,32.0613842561926,397,-0.372431360021095,0.397,999,50,"mntd"
"91","Pelvoux",4,289.274136,165.196289878378,48.8967745751676,960.5,2.53754664187267,0.9605,999,50,"mntd"
"92","Persistent",15,67.4507538666667,119.355223557958,23.3993948792788,8,-2.21819709266306,0.008,999,50,"mntd"
"93","Rateau",8,71.5139585,136.45182221021,33.0353077031605,14,-1.96571087800092,0.014,999,50,"mntd"
"94","Rouies",2,134.891912,219.232701099099,112.477452553955,256,-0.749846188582921,0.256,999,50,"mntd"
"95","Sirac",5,82.0854560000001,156.332639290891,41.1899799964556,13,-1.80255448770016,0.013,999,50,"mntd"
"96","Summits",18,102.913777555556,111.329505118007,19.9571061554787,369,-0.421690775049621,0.369,999,50,"mntd"
"97","Brevoort",1,NA,NA,NA,NA,NA,NA,999,40,"mntd"
"98","Burlan",3,204.209061333333,199.90766909376,63.2107404877402,604,0.0680484393377286,0.604,999,40,"mntd"
"99","Choisy",2,154.891912,239.677006878879,121.374715896034,283.5,-0.698540006894875,0.2835,999,40,"mntd"
"100","Lauvitel",11,98.2763194545455,146.576848809355,30.3800971175547,36,-1.58987409315751,0.036,999,40,"mntd"
"101","Muraillette",8,117.83243275,157.042262811812,34.8084250668618,107,-1.12644654236713,0.107,999,40,"mntd"
"102","Olan",10,146.0845244,147.89132741021,31.4779430704151,527,-0.057399017660349,0.527,999,40,"mntd"
"103","Pelvoux",4,309.274136,183.265282571572,52.7589756414042,960.5,2.38838703550452,0.9605,999,40,"mntd"
"104","Persistent",18,85.5388522222223,127.393384933823,22.287446667466,20,-1.87794202431889,0.02,999,40,"mntd"
"105","Rateau",10,98.8236178000001,150.797815837037,30.3543862816952,27,-1.7122467097409,0.027,999,40,"mntd"
"106","Rouies",2,154.891912,243.999593019019,127.876516585486,276.5,-0.696825995877438,0.2765,999,40,"mntd"
"107","Sirac",6,101.558193666667,170.925764234234,41.1617480330432,28,-1.68524355457115,0.028,999,40,"mntd"
"108","Summits",22,107.578633090909,120.085142136682,19.5141420005827,298,-0.640894641711615,0.298,999,40,"mntd"
"109","Brevoort",1,NA,NA,NA,NA,NA,NA,999,30,"mntd"
"110","Burlan",4,211.343793,195.079276627127,54.9644015124085,694,0.295910005846257,0.694,999,30,"mntd"
"111","Choisy",2,174.891912,258.399693205205,133.715002783615,294.5,-0.624520655624127,0.2945,999,30,"mntd"
"112","Lauvitel",15,79.8340988000001,142.807728682416,26.4239747637991,5,-2.38320050050493,0.005,999,30,"mntd"
"113","Muraillette",8,137.83243275,167.227050367618,38.1632824486934,220,-0.770232949881491,0.22,999,30,"mntd"
"114","Olan",12,141.242955666667,150.523772415082,30.4040810561906,402,-0.305249046378445,0.402,999,30,"mntd"
"115","Pelvoux",5,329.3425408,190.072354053253,49.8049958996021,996,2.79630957158375,0.996,999,30,"mntd"
"116","Persistent",25,80.3234656000001,120.704456924925,18.8123610250189,17,-2.14651373483751,0.017,999,30,"mntd"
"117","Rateau",15,95.3492368000001,142.185548765432,26.3398938669516,21,-1.77815112703234,0.021,999,30,"mntd"
"118","Rouies",3,137.578558666667,210.118423017017,64.260459566286,66,-1.12884135656584,0.066,999,30,"mntd"
"119","Sirac",11,72.5810107272728,155.569902877423,32.9537142860512,5,-2.51834714077369,0.005,999,30,"mntd"
"120","Summits",34,93.3370169411765,106.553194130837,15.3685416408608,207,-0.859949987350916,0.207,999,30,"mntd"
"121","Brevoort",1,NA,NA,NA,NA,NA,NA,999,20,"mntd"
"122","Burlan",5,158.9775584,192.890872113313,47.595460666285,232,-0.71253252387021,0.232,999,20,"mntd"
"123","Choisy",2,194.891912,257.926900224224,117.569894837218,380,-0.536149056792981,0.38,999,20,"mntd"
"124","Lauvitel",19,90.8217795789474,135.912022107792,23.3441401225556,16,-1.93154437439644,0.016,999,20,"mntd"
"125","Muraillette",14,114.506920285714,150.625723280423,28.9635705316104,100,-1.24704248584578,0.1,999,20,"mntd"
"126","Olan",17,135.889338705882,140.534002374492,25.7923587153405,455,-0.180079058292845,0.455,999,20,"mntd"
"127","Pelvoux",7,298.734380857143,179.904254436723,39.7026676229518,999,2.99300106352868,0.999,999,20,"mntd"
"128","Persistent",40,66.9821122000001,102.026568433434,13.990181088076,4,-2.50493228163445,0.004,999,20,"mntd"
"129","Rateau",22,93.7865863636364,127.967669543362,21.2189737035008,46,-1.61087353504217,0.046,999,20,"mntd"
"130","Rouies",3,157.578558666667,221.517481020354,64.0459439143996,87.5,-0.998328987689593,0.0875,999,20,"mntd"
"131","Sirac",18,103.323531444445,137.731944426204,23.986437985978,75,-1.43449448400275,0.075,999,20,"mntd"
"132","Summits",53,80.1287832830189,90.2683820719588,11.1127176600781,175,-0.912431963008104,0.175,999,20,"mntd"
"133","Brevoort",6,160.574657,190.830325308976,43.6153371349271,251,-0.693693326624477,0.251,999,10,"mntd"
"134","Burlan",12,142.025826,160.044925014681,31.1709862400842,289,-0.578072791020958,0.289,999,10,"mntd"
"135","Choisy",8,103.58384825,180.075208111111,36.6157304643818,18,-2.08903001226532,0.018,999,10,"mntd"
"136","Lauvitel",42,63.9775852380953,101.388216604414,13.4986223066391,3,-2.77144070828019,0.003,999,10,"mntd"
