"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",40,62.5793457,108.998402739815,14.397980815489,1,-3.2239977004191,0.001,999,"Barre des Ecrins","MNTD","Spermatophyta",1,"Regional"
"2",11,133.958141,173.202218554009,31.2055769149326,106,-1.25759820627541,0.106,999,"Brevoort","MNTD","Spermatophyta",0,"Regional"
"3",31,95.3048199677419,120.113776427363,17.0460192628661,63,-1.45541056108426,0.063,999,"Burlan","MNTD","Spermatophyta",0,"Regional"
"4",17,97.5777625882353,148.710518572219,25.0640271736051,17,-2.04008540326799,0.017,999,"Choisy","MNTD","Spermatophyta",1,"Regional"
"6",36,73.2935133611111,114.521215964715,15.7094371956362,5,-2.62439080981563,0.005,999,"La Meije","MNTD","Spermatophyta",1,"Regional"
"7",96,45.1465608854167,76.0613210082478,7.38163731813137,1,-4.18806272788503,0.001,999,"Lauvitel","MNTD","Spermatophyta",1,"Regional"
"8",61,58.2838851803279,92.3814705942992,10.2300553445443,2,-3.33307927138007,0.002,999,"Muraillette","MNTD","Spermatophyta",1,"Regional"
"9",30,76.7259351666667,121.574751971471,17.4737835741842,3,-2.56663455939013,0.003,999,"Occidentale Ailefroide","MNTD","Spermatophyta",1,"Regional"
"10",64,77.23990990625,90.6159947113989,10.4266947261131,88,-1.28286913125491,0.088,999,"Olan","MNTD","Spermatophyta",0,"Regional"
"11",16,182.4679245,153.660146158846,26.9082553348991,862,1.0705925740117,0.862,999,"Pelvoux","MNTD","Spermatophyta",0,"Regional"
"12",165,38.5919492424242,59.2409268006067,4.65826182146386,1,-4.43276448374761,0.001,999,"LGM","MNTD","Spermatophyta",1,"Regional"
"13",31,73.6383178387097,120.449557167264,16.9979069051926,3,-2.75394138758663,0.003,999,"Plat de la Selle","MNTD","Spermatophyta",1,"Regional"
"14",102,53.7468507745098,74.0956079966437,6.80578772067777,1,-2.98991947108621,0.001,999,"Rateau","MNTD","Spermatophyta",1,"Regional"
"15",147,47.7590417959184,62.6610903085398,5.06216614144189,4,-2.94380865744893,0.004,999,"Rocher de la Selle","MNTD","Spermatophyta",1,"Regional"
"16",39,81.5224937435897,109.97569416745,14.8111891431322,20,-1.92106117536506,0.02,999,"Rouies","MNTD","Spermatophyta",1,"Regional"
"17",73,52.5088918630137,85.9188571224101,9.31484139575621,1,-3.58674547852396,0.001,999,"Sirac","MNTD","Spermatophyta",1,"Regional"
"18",214,38.6026063738318,52.0550503363878,3.5908220203476,1,-3.74634105681845,0.001,999,"All Summits","MNTD","Spermatophyta",1,"Regional"
"19",8,52.088819125,57.1501548947698,13.4111176653307,371,-0.377398505931679,0.371,999,"Barre des Ecrins","MNTD","Asterales",0,"Regional"
"20",2,33.908879,103.087199019019,40.9211316736292,56.5,-1.69052802768892,0.0565,999,"Brevoort","MNTD","Asterales",0,"Regional"
"21",5,83.5680042,69.6319833315315,20.1084594043176,768,0.693042693538034,0.768,999,"Burlan","MNTD","Asterales",0,"Regional"
"22",3,49.7552243333333,87.700134328662,27.1131789892748,94,-1.39950059011297,0.094,999,"Choisy","MNTD","Asterales",0,"Regional"
"24",5,84.0684134,70.5264132098098,19.8921555335087,766,0.680770878117177,0.766,999,"La Meije","MNTD","Asterales",0,"Regional"
"25",13,48.9581616153846,44.3982947111727,8.58791828876591,680,0.530963005339349,0.68,999,"Lauvitel","MNTD","Asterales",0,"Regional"
"26",11,49.1678269090909,47.9723133380653,10.0844633278748,534,0.118550043979138,0.534,999,"Muraillette","MNTD","Asterales",0,"Regional"
"27",6,53.454083,64.8988534064064,17.0939415466701,260,-0.66952202774063,0.26,999,"Occidentale Ailefroide","MNTD","Asterales",0,"Regional"
"28",12,41.1610989166667,46.7993535719052,9.28937881239285,295,-0.606957124809749,0.295,999,"Olan","MNTD","Asterales",0,"Regional"
"29",2,88.063174,102.479160494494,39.6004130213147,224,-0.364036266155486,0.224,999,"Pelvoux","MNTD","Asterales",0,"Regional"
"30",30,18.4821179666667,27.7121137107441,3.69962059959086,7,-2.49484926781361,0.007,999,"LGM","MNTD","Asterales",1,"Regional"
"31",6,80.0350773333333,65.8148252691024,17.3321817559203,779,0.820453666161999,0.779,999,"Plat de la Selle","MNTD","Asterales",0,"Regional"
"32",18,41.0351872222222,37.1442606090535,6.44047589886607,715,0.604136507032621,0.715,999,"Rateau","MNTD","Asterales",0,"Regional"
"33",29,22.6094786896552,28.4142491282317,3.89792927542392,64,-1.48919337125356,0.064,999,"Rocher de la Selle","MNTD","Asterales",0,"Regional"
"34",10,66.1429085,51.657969332032,11.2005000289147,902,1.29324040271188,0.902,999,"Rouies","MNTD","Asterales",0,"Regional"
"35",12,48.5998870833333,46.3403950005005,9.03426633595449,608,0.250102443165808,0.608,999,"Sirac","MNTD","Asterales",0,"Regional"
"36",38,19.2079665526316,24.311178978136,2.95515352060825,48,-1.72688572350518,0.048,999,"All Summits","MNTD","Asterales",1,"Regional"
"37",9,40.3591732222222,60.993821494272,15.1763449023894,90,-1.35965862694653,0.09,999,"Barre des Ecrins","MNTD","Poales",0,"Regional"
"38",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","MNTD","Poales",NA,"Regional"
"39",5,103.4803944,82.2572946630631,25.752875405455,767.5,0.824106023222611,0.7675,999,"Burlan","MNTD","Poales",0,"Regional"
"40",2,176.543151,137.357801,52.5643854709052,862,0.745473378009706,0.862,999,"Choisy","MNTD","Poales",0,"Regional"
"42",5,68.1609396,83.8174949551552,25.435616921396,289,-0.615536686353581,0.289,999,"La Meije","MNTD","Poales",0,"Regional"
"43",16,30.524241625,46.3303048336461,9.36716820113012,48,-1.68738970724783,0.048,999,"Lauvitel","MNTD","Poales",1,"Regional"
"44",9,45.2244432222222,60.7134296602158,14.8999299309018,168,-1.03953417967893,0.168,999,"Muraillette","MNTD","Poales",0,"Regional"
"45",5,46.6942946,81.9557931321321,24.7680860812573,75,-1.42366666590421,0.075,999,"Occidentale Ailefroide","MNTD","Poales",0,"Regional"
"46",8,58.57722675,64.863118075951,16.5407495156146,350,-0.380024576275519,0.35,999,"Olan","MNTD","Poales",0,"Regional"
"47",3,134.804278,111.641342412746,36.810352490441,767,0.629250578170066,0.767,999,"Pelvoux","MNTD","Poales",0,"Regional"
"48",26,28.6687705769231,36.8443538402633,6.35905859306378,100,-1.28565936980953,0.1,999,"LGM","MNTD","Poales",0,"Regional"
"49",10,32.7438757,57.7616981888889,13.9741454637133,44,-1.79029354988845,0.044,999,"Plat de la Selle","MNTD","Poales",1,"Regional"
"50",21,28.3923346190476,41.2208616257686,7.57206329163903,41,-1.69419172986656,0.041,999,"Rateau","MNTD","Poales",1,"Regional"
"51",27,25.8250621111111,36.2474252652282,6.15268231292143,39,-1.69395438022678,0.039,999,"Rocher de la Selle","MNTD","Poales",1,"Regional"
"52",4,105.1733605,93.3709064009009,30.2647634320372,604.5,0.389973446367846,0.6045,999,"Rouies","MNTD","Poales",0,"Regional"
"53",13,43.3635963846154,51.103216984677,10.9051472224761,258,-0.7097217893684,0.258,999,"Sirac","MNTD","Poales",0,"Regional"
"54",36,23.4921708888889,31.447391648454,4.54084330973773,35,-1.75192584657245,0.035,999,"All Summits","MNTD","Poales",1,"Regional"
"55",3,43.716027,78.8457943670337,34.5076987569616,155.5,-1.01802695144795,0.1555,999,"Barre des Ecrins","MNTD","Rosales",0,"Regional"
"56",0,NA,NA,NA,NA,NA,NA,999,"Brevoort","MNTD","Rosales",NA,"Regional"
"57",2,141.87263,97.8326057827828,51.4624299633676,799.5,0.855770398882567,0.7995,999,"Burlan","MNTD","Rosales",0,"Regional"
"58",1,NA,NA,NA,NA,NA,NA,999,"Choisy","MNTD","Rosales",NA,"Regional"
"60",2,60.973601,98.5911592072072,48.579287629016,159,-0.774353845912276,0.159,999,"La Meije","MNTD","Rosales",0,"Regional"
"61",8,9.514003125,49.8189693795045,18.005057278588,2,-2.23853585305924,0.002,999,"Lauvitel","MNTD","Rosales",1,"Regional"
"62",6,44.02024,56.6544847367367,21.1936174267496,294,-0.596134415486353,0.294,999,"Muraillette","MNTD","Rosales",0,"Regional"
"63",1,NA,NA,NA,NA,NA,NA,999,"Occidentale Ailefroide","MNTD","Rosales",NA,"Regional"
"64",5,10.6526784,62.3440738538538,23.3026422980293,10,-2.21826326786234,0.01,999,"Olan","MNTD","Rosales",1,"Regional"
"65",0,NA,NA,NA,NA,NA,NA,999,"Pelvoux","MNTD","Rosales",NA,"Regional"
"66",17,37.1380242941176,32.4104571574516,9.49756732837918,676,0.497766109279361,0.676,999,"LGM","MNTD","Rosales",0,"Regional"
"67",4,24.6977485,68.8797065097598,27.2573104297634,49,-1.6209214083542,0.049,999,"Plat de la Selle","MNTD","Rosales",1,"Regional"
"68",15,25.2958234,35.5234916509176,10.479744428556,175,-0.975946343028031,0.175,999,"Rateau","MNTD","Rosales",0,"Regional"
"69",10,24.5349211,44.3518847161161,14.82741999652,91,-1.33650787667491,0.091,999,"Rocher de la Selle","MNTD","Rosales",0,"Regional"
