"","Row.names","ntax","area","min_elev","max_elev","range_elev","mean_elev","std_elev","median_elev","min_slope","max_slope","range_slope","mean_slope","std_slope","S.area","X_WGS84","Y_WGS84","X_ALBERS","Y_ALBERS","present_bio_1","present_bio_10","present_bio_11","present_bio_12","present_bio_13","present_bio_14","present_bio_15","present_bio_16","present_bio_17","present_bio_18","present_bio_19","present_bio_2","present_bio_3","present_bio_4","present_bio_5","present_bio_6","present_bio_7","present_bio_8","present_bio_9","cclgmbi1","cclgmbi10","cclgmbi11","cclgmbi12","cclgmbi13","cclgmbi14","cclgmbi15","cclgmbi16","cclgmbi17","cclgmbi18","cclgmbi19","cclgmbi2","cclgmbi3","cclgmbi4","cclgmbi5","cclgmbi6","cclgmbi7","cclgmbi8","cclgmbi9","melgmbi1","melgmbi10","melgmbi11","melgmbi12","melgmbi13","melgmbi14","melgmbi15","melgmbi16","melgmbi17","melgmbi18","melgmbi19","melgmbi2","melgmbi3","melgmbi4","melgmbi5","melgmbi6","melgmbi7","melgmbi8","melgmbi9","mrlgmbi1","mrlgmbi10","mrlgmbi11","mrlgmbi12","mrlgmbi13","mrlgmbi14","mrlgmbi15","mrlgmbi16","mrlgmbi17","mrlgmbi18","mrlgmbi19","mrlgmbi2","mrlgmbi3","mrlgmbi4","mrlgmbi5","mrlgmbi6","mrlgmbi7","mrlgmbi8","mrlgmbi9","Calcaires","Calcite","Dolerites","Gneiss","Granites","Micaschistes","Migmatites","other","simpson.d.geol","sum.geol.type","elevation"
"Brevoort","Brevoort",17,88125,3377,3693,316,3518.99,79.3449,3513,33.3839,65.6182,32.2343,52.9471,6.856,152199.702353,6.32863571761,44.9675115917,-288272.565672,1640478.0395,-3.64379656204247,79.7535343502914,-64.6437965620425,14068.2331456614,1392.70979404255,826.477465794003,16,4178.12938212764,2842.46465649709,2842.46465649709,3971.65191633363,109.954922508266,38,6192.75065380475,157.753534350291,-125.246465649709,283,-58.6683103165884,79.7535343502914,-71.8142418207024,-9.47223566007257,-138.948584589662,1894.29930849127,213.832685537193,105.028691114141,20.1083242870701,591.748771784559,344.230190157484,372.365795141624,567.387533043808,56.6477464417194,26.6217279598299,5186.25383683384,24.833504621017,-183.119982101792,207.953486722809,-135.714902716102,-11.9225661077725,-70.2645722684023,2.91502156256752,-138.561327367022,1799.8648973297,178.921777244143,98.1638227467311,13,483.503432096277,391.347499627024,453.798924979716,483.503432096277,66.0890917069494,28.8916757129299,5659.64821457863,42.833504621017,-183.416737200412,226.250241821429,-138.561327367022,-68.0479236942622,-69.7059175336323,-14.4722356600726,-126.561327367022,1546.75377131679,194.670125005643,76.4605778453507,27.5496695523001,533.693913986637,252.724361250123,299.742804966614,533.693913986637,70.0890917069494,35.8916757129299,4559.42953420084,28.833504621017,-164.633385774552,193.466890395569,-126.561327367022,-17.6428443085725,0,0,0,0,0.871015025743566,0,0,0.128984974256434,0.224695701345002,2,3765
"Pelvoux","Pelvoux",18,460625,2976,3778,802,3395.37,203.757,3407,31.9864,64.7228,32.7364,47.1967,4.45615,684904.795426,6.39989255211,44.8988092088,-283058.974294,1632541.50399,-14.76448267555,67.3040782563755,-73.7719649853445,15264.7819915334,1528.62878136149,878.330436074754,17.0983954605991,4585.88634408447,3006.0500859282,3016.0500859282,4344.90238947848,110,39,6052.45209810365,144.296595946581,-137.695921743624,281.992517690206,-65.9314390680745,67.2280350146555,-74.9133926943364,-12.4610760622999,-140.720604707769,1905.77649298694,217.441432472759,103.735121830569,20.7546102602185,601.479446888874,340.979619341465,369.765133250643,574.480048163207,55.5049183852506,26.3618533056292,5150.25172499828,21.4226834290737,-184.153879024598,205.576562453672,-138.275245999966,-14.6489606393476,-72.9133926943364,-0.396612975333011,-139.792025718969,1829.12130917539,183.34423427934,100.056680831179,13,492.366085226515,399.026977413916,459.685551766543,491.370988636035,65.5049183852506,28.3428109904219,5617.85018897335,39.513146755481,-184.320889828947,223.834036584428,-129.117353202908,-70.094319347151,-72.8489296073695,-17.468033986533,-127.811068034176,1549.27142175877,193.913169637115,75.818850289964,27.5736836074039,532.759375558107,252.30835932353,301.074830917501,532.759375558107,68.5049183852506,35.278347903455,4506.84917153603,24.4871465160406,-165.418311079587,189.905457595628,-127.811068034176,-20.6489606393476,0.00571872273632573,0.0276532440011606,0,0.208295053343787,0,0,0.696918220417902,0.0614147595008242,0.466348986423986,5,3946
"Choisy","Choisy",21,98125,3240,3666,426,3432.93,105.122,3420,36.0923,64.0884,27.9962,50.3722,6.85841,160734.393089,6.3262177799,44.9638612523,-288482.696632,1640080.62652,-2.43411917397673,81.5658808260233,-63.2183593606441,13974.1972302002,1384.20811581029,819.552129335474,16,4152.62434743088,2823.89332107524,2823.89332107524,3945.3628921582,110,38.2605468797853,6193.95164232568,159.565880826023,-123.173572294191,282.739453120215,-57.4789062404294,81.5658808260233,-71.5804899337133,-9.24673776732137,-138.702681264892,1890.90771920672,213.415669926543,104.79908921607,20.1209348320028,590.430774784402,343.708805867383,371.76459759301,566.102804565977,56.7023386103677,26.701082111192,5187.46691592463,25.1218486766545,-182.949076377689,208.070925054344,-135.489863930503,-11.701424765716,-70.035176932108,3.08248895027871,-138.373454547292,1796.42101141226,178.542386706513,98.0803186064513,13,482.389815904326,390.860049528178,452.794493125062,482.389815904326,66.1267167799703,28.8790651679972,5661.71086868129,43.1218486766545,-183.287353992873,226.409202669527,-138.373454547292,-67.7933072681025,-69.4595551017105,-14.2467377673214,-126.373454547292,1544.09482380332,194.26895171454,76.418596221635,27.5453130016053,532.699797141158,252.29473509454,299.12991508737,532.699797141158,70.1267167799703,35.8790651679972,4560.29526993022,29.1218486766545,-164.529223656878,193.651072333533,-126.373454547292,-17.3340948209159,0,0,0,0.379254174571342,0.490297926736716,0,0,0.130447898691942,0.598757559834745,3,3671
"Burlan","Burlan",46,53125,3074,3270,196,3163.41,51.9174,3162,36.6731,63.3232,26.6501,51.6781,6.67618,90758.4615803,6.23378553195,44.9685422165,-295707.724036,1640971.19145,5.53302819611814,88.7370986019563,-55.2629013980437,12832.8102833187,1225.91859188324,816.7104220972,13,3677.75577564971,2742.62901398044,2742.62901398044,3526.50690180529,104.795929594162,37.7959295941619,6189.35915146489,163.737098601956,-111.262901398044,275,-50.4669718038819,88.7370986019563,-70.0038635908678,-7.54821076422578,-137.451197640789,1881.26092814827,212.590903106304,104.478371338552,20.4900263919997,586.498280887876,342.054848095499,369.925140407656,562.690628133797,56.4129604845638,26.5382396007213,5189.10340503897,26.9606705488164,-180.906850467431,207.867521016248,-133.768824002868,-9.83146356094689,-69.0038635908677,4.36920246169494,-138.031037288631,1781.8318623134,177.321489952947,97.5881318103943,13.0825867740793,478.612469931403,388.309834899499,447.879111788851,478.612469931403,66.4129604845638,28.5099736080003,5684.54898414923,44.0715233156166,-182.305971308631,226.377494624248,-138.031037288631,-66.513837198868,-68.114716357668,-12.4323427197469,-125.36861086671,1541.1230143039,193.619169099025,76.6153055081572,27.572613166079,532.41350952388,251.281595520946,297.317061381261,532.41350952388,70.3021077177636,35.5099736080003,4578.99782195345,30.9606705488164,-163.079250497352,194.039921046169,-125.36861086671,-15.8314635609469,0,0,0,0.459221560367084,0.525914218389903,0,0,0.0148642212430133,0.512308848316197,3,3207
"Plat de la Selle","Plat de la Selle",46,516250,2690,3561,871,3068.72,183.279,3048,4.52023,72.4282,67.908,53.6606,7.44792,922178.935552,6.22253264602,44.9643543805,-296614.577588,1640549.88433,-2.63693639145178,80.3630636085482,-62.6824484003835,13423.9314682002,1281.36802936566,846.105195644167,13,3844.10408809699,2866.36936391452,2866.36936391452,3687.5437723635,104,37,6133.14039194331,155.038457273564,-120.2929679648,275.331425238365,-57.0264168270351,80.3630636085482,-62.9651311227749,-0.0383242441966001,-131.678365665797,1808.54234450025,203.511484116713,99.9900901394149,20.12979376848,560.520104682797,330.08501503067,356.202680035186,537.821243710761,58.6800495942948,26.9268068785783,5248.04987150792,36.3028229564615,-175.718373838491,212.021196794953,-127.293448070757,-2.55303560771653,-61.9651311227749,11.9616757558034,-132.322870797796,1713.26394558554,169.898646518775,94.4044304614947,12.9433993529417,458.001657001233,376.645741595593,430.962605364681,457.605452471826,68.6800495942948,28.9268068785783,5749.73662961964,53.3028229564615,-177.634595271415,230.937418227876,-125.587393797864,-62.3717810262614,-60.9651311227749,-4.58021352773493,-119.678365665797,1480.96378899737,184.727301259291,74.5463529939382,27.1297937684799,509.132968184379,242.325791189888,286.171038404768,509.132968184379,72.6234489472366,35.87020623152,4645.18007472207,40.3028229564615,-158.176484554953,198.479307511415,-119.678365665797,-8.39381911219672,0,0,0.00246223746665546,0.439138873735672,0.387930185603494,0,0,0.170468703194179,0.627601579289757,4,3597
"Occidentale Ailefroide","Occidentale Ailefroide",49,425000,2823,3895,1072,3423.08,257.013,3424,24.9701,69.8143,44.8443,48.8092,6.08684,664274.267942,6.35609462352,44.8848409196,-286577.317056,1631154.90914,-8.9306194442472,74.1224562676469,-68.9836951561413,14892.721386815,1487.87697152424,848.938485762118,17.8505857102801,4463.63091457271,2916.71732882673,2916.71732882673,4223.63091457271,110.053075711894,39,6114.0166486524,151.026117689821,-131.026958022073,282.053075711894,-62.0367708680354,74.1224562676469,-84.872139363379,-24.5157795048186,-149.206642477559,2012.13337596642,231.607369566958,109.12470204975,21.9537290355198,641.718311528686,356.435141699498,387.778342581189,612.362903536946,52.6445920082601,26.0122071100498,5051.97793759359,7.81872360936124,-192.470460407159,200.28918401652,-148.135957292979,-25.8258683988988,-83.8258683988988,-11.5620504692988,-148.458253297109,1930.75706309712,194.549843359249,105.425141309499,13.7021182159695,523.949969337496,416.664895774668,483.203483890688,523.949969337496,61.6908629727403,28.0122071100498,5507.34206419544,25.8187236093612,-190.81461315567,216.633336765031,-148.458253297109,-80.8380755089486,-83.1237501829293,-29.5157795048186,-136.458253297109,1635.84925427041,206.917458461039,78.0915900621399,28.6899111059197,567.293170219187,263.699911495919,316.447348809548,567.293170219187,65.64459200826,35.0122071100498,4407.61355941387,10.8187236093612,-173.470460407159,184.28918401652,-136.458253297109,-32.5279866148683,0,0,0,0.693695006813271,0.118436191305807,0,0.00279285945312263,0.185075942427799,0.470499201581847,4,3954
"La Meije","La Meije",52,886250,2959,3925,966,3454.32,208.908,3434,26.4662,72.6881,46.2219,53.1458,8.34839,785173.39554775,6.31226828463,45.0075219321,-289331.787776,1645003.10869,-5.43056504365534,77.5694349563447,-65.1785883830554,13899.2117874077,1363.88410061502,838.827644548337,15,4091.65230184505,2875.23151176935,2875.23151176935,3897.86419050871,108.5039533212,38.2519766605999,6136.83138524456,155.444292768779,-124.934518364855,280.378811133634,-59.3037305706214,77.5694349563447,-69.1933489252457,-6.51459920165277,-136.560194063385,1873.05688984691,210.155091879201,105.280754126637,19.321250276407,579.112023169408,344.880288197495,371.477425117037,556.1518256338,57.043818214925,26.684310892473,5218.72182755021,28.5254344911992,-181.233382618098,209.758817109297,-132.881444339792,-9.19512557205264,-67.8756519424525,6.16415052194019,-136.558417416578,1766.57403256161,174.83584947806,96.5966744626229,13.0017766468069,472.872848153971,384.751766341824,446.673475602926,472.872848153971,67.7243445853249,29.0020078752662,5691.05332034906,46.5254344911992,-181.921478032644,228.446912523843,-136.558417416578,-65.1971334473188,-67.1951255720526,-10.8358494780598,-124.554632894505,1536.37360609611,192.837626124867,77.3172345258747,27.321250276407,529.273240902245,252.555947084393,297.156637297548,529.273240902245,71.0420415681181,35.9982233531931,4600.66335625317,32.5254344911992,-162.240951662244,194.766386153443,-124.554632894505,-14.5145992016528,0,0,0,0.0189042114172142,0.431142200865259,0,0.0951740359857663,0.454779551731761,0.597876495624593,4,3983
"Barre des Ecrins","Barre des Ecrins",60,648125,2682,4064,1382,3368.14,367.724,3389,32.3115,78.7425,46.4309,57.7632,9.63917,1366343.30186,6.35988760548,44.9223741373,-286071.09154,1635323.75582,-14.9425878319459,66.9099111844283,-73.9425878319459,14868.412629362,1479.73199691347,850,17,4439.1959907404,2939.38776281198,2939.38776281198,4209.1959907404,106,38,6019.59149450521,141.061223718802,-135.090088815572,276.151312534373,-65.9693881405993,66.9099111844283,-88.3253796228896,-27.5012541344062,-152.46268215441,2050.54122341911,235.051731331852,113.236007209127,21.2257181732798,650.33075820771,367.696439646253,398.697396418256,621.417260305464,52.3620639327975,26,5062.7238653716,4.08652797167114,-196.09966144961,200.186189421281,-151.32537962289,-29.1880770913694,-86.6385566659264,-14.5510977961695,-151.550141024167,1956.76210876312,196.27713920577,106.226028472642,13.3131770430368,530.917273242423,420.002844442091,491.651069545141,530.917273242423,61.4993664643177,28.0874588697569,5515.68436249352,22.0865279716711,-193.824746087207,215.911274058878,-151.550141024167,-83.0890362404834,-85.6884003276897,-32.5012541344062,-139.46268215441,1670.81298404006,212.099971748972,80.4614150830453,28.2257181732798,580.288022966424,271.148212166092,323.412502319368,580.288022966424,65.3620639327974,35,4415.94862677288,7.72350726687104,-176.550141024167,184.273648291038,-139.46268215441,-34.9517337089632,0,0,0.0042880737404279,0.119436471883576,0,0,0.803809072777767,0.0724663815982287,0.334356139665806,4,4102
"Rouies","Rouies",62,406250,2734,3547,813,3159.03,194.384,3153,24.4877,77.1716,52.6839,53.5909,8.36969,246293.483077333,6.25776122231,44.8642279159,-294421.687485,1629247.63839,3.31900685717832,87.4633014700633,-57.8105563905364,14242.1647700571,1379.40119638251,848.704367522853,15,4138.20358914753,2893.22721031086,2893.22721031086,3934.76818168188,110.343540746565,39,6213.05131662471,164.463301470063,-117.536698529937,282,-52.8105563905364,87.4633014700633,-63.3546329677403,-0.92403398210419,-130.857492636336,1787.77264211914,202.142088403469,96.5260657487333,21,559.28746318168,320.435899362633,346.743910690001,535.552348723515,57.5439714518737,26.8342865561986,5215.3376525999,35.265095021932,-173.543761971776,208.808856993708,-127.188919523939,-3.75832053830278,-61.6683636322999,12.0002094800973,-130.857492636336,1710.69487157908,170.761816393142,94.9531688795305,13,457.505727083143,379.880698716474,426.590174132051,457.505727083143,67.0234155602348,28.8342865561986,5700.49732685085,53.265095021932,-175.691779192535,228.956874214467,-130.857492636336,-60.1889195239389,-61.5926070945014,-5.68605985534313,-118.857492636336,1454.05988032882,181.052131497467,72.7386103130042,27.1657134438014,498.127469075071,236.406973945304,280.714985272672,498.127469075071,71.0234155602348,36,4586.54148240588,38.5788256864916,-156.691779192535,195.270604879026,-118.857492636336,-9.52034641154172,0,0,0,0.285783363042552,0,0,0.353547509588485,0.360669127368963,0.66324980843478,3,3589
"Muraillette","Muraillette",86,308125,2286,2977,691,2727.6,134.378,2744,23.0953,65.4343,42.339,49.8982,7.03328,252021.544909,6.07991808359,44.9466140749,-307908.427233,1639161.25296,21.3867601651724,108.186509156639,-41.9938402542279,13400.0774942381,1247.06494413147,869.067454216804,12,3741.19483239442,2883.74440673628,2883.74440673628,3647.93589245695,97.7997489914668,36,6465.18991963847,179.480014743492,-87.9938402542279,267.47385499772,-40.6132398348276,108.186509156639,-47.9331238696889,15.9418273207107,-118.958121669944,1649.07154210405,183.509039751252,90.2377153897407,18.7976787353016,503.405095500295,302.081930576678,325.474966782582,483.408120556433,63.614769155481,28.4210590622983,5330.11801046119,56.0246559870244,-163.30971363853,219.334369625555,-112.553479140547,12.0496836914416,-47.0245637075183,27.8145293609401,-119.958121669944,1559.54407001106,154.009902423726,87.7696558789081,12.7812622024001,414.035757383455,349.292581007985,391.881394465251,410.440923718074,74.0328031616411,30.2937611025277,5861.27559124837,73.0246559870244,-167.30971363853,240.334369625555,-93.3438266066368,-55.6326102690131,-45.9331238696889,11.61523315238,-107.412789704014,1354.28464243693,166.780828109663,70.4102286447743,26.5789409377017,460.39472907967,222.838658975721,261.248111714528,460.39472907967,77.614769155481,36.7476532306291,4775.20049783469,60.0246559870244,-147.89167963237,207.916335619395,-107.412789704014,7.04968369144159,0,0,0,0.935772975951618,0,0,0,0.0642270240483823,0.120203826860542,2,3019
