taxized,END.,DIST.
Achillea_erba,End.,W-Alp.
Achillea_schurii,End.,E-Alp.
Aconitum_angustifolium,End.,E-Alp.
Aconitum_variegatum,End.,W-Alp.
Adenostyles_leucophylla,End.,W-Alp.
Allium_kermesinum,End.,E-Alp.
Allium_narcissiflorum,End.,E-Alp.
Allium_sphaerocephalon,End.,W-Alp.
Alsinanthus_bavaricus,End.,E-Alp.
Alyssum_alpestre,End.,W-Alp.
Alyssum_argenteum,End.,W-Alp.
Alyssum_ligusticum,End.,W-Alp.
Alyssum_wulfenianum,End.,E-Alp.
Androsace_alpina,End.,Alp.
Androsace_brevis,End.,E-Alp.
Androsace_carnea,End.,W-Alp.
Androsace_hausmannii,End.,E-Alp.
Androsace_septentrionalis,End.,W-Alp.
Androsace_vitaliana,End.,E-Alp.
Androsace_wulfeniana,End.,E-Alp.
Anthyllis_vulneraria,End.,W-Alp.
Aquilegia_einseleana,End.,E-Alp.
Aquilegia_vestinae,End.,E-Alp.
Aquilegia_vulgaris,End.,E-Alp.
Arabidopsis_pedemontana,End.,W-Alp.
Arabis_allionii,End.,W-Alp.
Arabis_caerulea,End.,Alp.
Arabis_soyeri,End.,E-Alp.
Arenaria_cinerea,End.,W-Alp.
Arenaria_glaucovirens,End.,E-Alp.
Arenaria_huteri,End.,E-Alp.
Aretia_pubescens,End.,W-Alp.
Arrhenatherum_parlatorei,End.,Alp.
Arrhenatherum_setaceum,End.,W-Alp.
Artemisia_atrata,End.,Alp.
Artemisia_campestris,End.,Alp.
Artemisia_genipi,End.,Alp.
Artemisia_glacialis,End.,W-Alp.
Artemisia_NA,End.,W-Alp.
Artemisia_vallesiaca,End.,W-Alp.
Asperula_cynanchica,End.,W-Alp.
Asperula_hexaphylla,End.,W-Alp.
Asplenium_jahandiezii,End.,W-Alp.
Asplenium_NA,End.,E-Alp.
Astragalus_australis,End.,W-Alp.
Astragalus_sempervirens,End.,W-Alp.
Astragalus_vesicarius,End.,Alp.
Astrantia_bavarica,Subend.,E-Alp.
Athamanta_vestita,End.,E-Alp.
Ballota_frutescens,Subend.,W-Alp.
Berardia_subacaulis,End.,W-Alp.
Biscutella_brevicaulis,End.,W-Alp.
Biscutella_laevigata,End.?,E-Alp.
Biscutella_prealpina,End.,E-Alp.
Brassica_repanda,Subend.,E-Alp.
Braya_alpina,End.,E-Alp.
Bupleurum_falcatum,End.?,W-Alp.
Bupleurum_petraeum,End.,Alp.
Calathiana_bavarica,End.,Alp.
Calathiana_pumila,End.,E-Alp.
Calathiana_rostanii,End.,W-Alp.
Calathiana_terglouensis,End.,E-Alp.
Callianthemum_anemonoides,End.,E-Alp.
Callianthemum_kernerianum,End.,E-Alp.
Campanula_albicans,End.,W-Alp.
Campanula_alpestris,End.?,W-Alp.
Campanula_beckiana,Subend.,E-Alp.
Campanula_carnica,Subend.,E-Alp.
Campanula_cenisia,End.,W-Alp.
Campanula_cespitosa,Subend.,E-Alp.
Campanula_elatinoides,End.,E-Alp.
Campanula_excisa,End.,W-Alp.
Campanula_lanceolata,End.,E-Alp.
Campanula_longisepala,Subend.,W-Alp.
Campanula_macrorhiza,End.,S-Alp.
Campanula_morettiana,End.,E-Alp.
Campanula_petraea,End.,E-Alp.
Campanula_pulla,End.,E-Alp.
Campanula_rainerii,End.,E-Alp.
Campanula_rhomboidalis,End.,W-Alp.
Campanula_rotundifolia,End.,W-Alp.
Carduus_defloratus,End.?,E-Alp.
Carduus_litigiosus,Subend.,W-Alp.
Carduus_NA,End.,W-Alp.
Carduus_nutans,End.,W-Alp.
Carex_norvegica,End.,E-Alp.
Centaurea_NA,End.,W-Alp.
Centaurea_rhaetica,End.,E-Alp.
Centaurea_uniflora,End.,W-Alp.
Cephalaria_alpina,Subend.,W-Alp.
Cerastium_arvense,End.,W-Alp.
Cerastium_carinthiacum,End.,E-Alp.
Cerastium_julicum,End.,E-Alp.
Cerastium_pedunculatum,End.,Alp.
Cerastium_subtriflorum,Subend.,E-Alp.
Chaerophyllum_elegans,End.,W-Alp.
Chamaecytisus_hirsutus,End.,W-Alp.
Chamaedrys_lucida,End.,W-Alp.
Chamerion_fleischeri,End.,Alp.
Chionanthula_baldensis,End.,E-Alp.
Cirsium_carniolicum,End.,E-Alp.
Cirsium_spinosissimum,End.,Alp.
Cochlearia_pyrenaica,End.,E-Alp.
Coincya_richeri,End.,W-Alp.
Corydalis_lutea,Subend.,E-Alp.
Crepis_froelichiana,End.,E-Alp.
Crepis_NA,End.,Alp.
Crepis_terglouensis,End.,E-Alp.
Cytisus_ardoinii,End.,W-Alp.
Cytisus_sauzeanus,End.,W-Alp.
Dactylis_glomerata,End.,E-Alp.
Daphne_NA,End.,E-Alp.
Daphne_petraea,End.,E-Alp.
Daphne_striata,End.,Alp.
Delphinium_dubium,End.,Alp.
Delphinium_elatum,End.,E-Alp.
Descurainia_tanacetifolia,End.,W-Alp.
Dianthus_alpinus,End.,E-Alp.
Dianthus_carthusianorum,Subend.,E-Alp.
Dianthus_furcatus,End.,W-Alp.
Dianthus_pavonius,End.,W-Alp.
Dianthus_sternbergii,End.,E-Alp.
Dianthus_subacaulis,Subend.,W-Alp.
Doronicum_cataractarum,End.,E-Alp.
Doronicum_clusii,End.?,Alp.?
Doronicum_glaciale,End.,E-Alp.
Draba_aizoides,Subend.,E-Alp./Carpat.
Draba_dolomitica,End.,E-Alp.
Draba_hoppeana,End.,Alp.
Draba_ladina,End.,E-Alp.
Draba_sauteri,End.,E-Alp.
Draba_stellata,End.,E-Alp.
Draba_thomasii,End.?,Alp./(Cauc.?)
Edritria_ferruginea,End.,E-Alp.
Ephedra_distachya,End.?,W-Alp.
Erigeron_glabratus,End.,E-Alp.
Erigeron_neglectus,End.,Alp.
Erodium_rodiei,End.,W-Alp.
Eryngium_spinalba,End.,W-Alp.
Erysimum_amurense,End.,E-Alp.
Erysimum_jugicola,End.,W-Alp.
Erysimum_montosicolum,End.,W-Alp.
Erysimum_nevadense,End.,W-Alp.
Erysimum_rhaeticum,End.?,Alp.
Euphorbia_ariensis,End.,E-Alp.
Euphorbia_gayi,End.,E-Alp.
Euphorbia_variabilis,End.,W-Alp.
Euphorbia_villosa,End.,E-Alp.
Euphrasia_christii,End.,W-Alp.
Euphrasia_cisalpina,End.,W-Alp.
Euphrasia_inopinata,End.,Alp.
Euphrasia_portae,Subend.,E-Alp.
Euphrasia_sinuata,End.,Alp.
Euphrasia_tricuspidata,End.,E-Alp.
Favratia_zoysii,End.,E-Alp.
Festuca_acuminata,End.,W-Alp.
Festuca_alpestris,End.,E-Alp.
Festuca_amethystina,End.,E-Alp.
Festuca_austrodolomitica,End.,E-Alp.
Festuca_breistrofferi,End.,W-Alp.
Festuca_chalcophaea,End.,W-Alp.
Festuca_eggleri,End.,E-Alp.
Festuca_flavescens,End.,W-Alp.
Festuca_halleri,End.,Alp.
Festuca_intercedens,End.,Alp.
Festuca_melanopsis,End.,Alp.
Festuca_pseudodura,End.?,E-Alp.
Festuca_rupicaprina,End.,E-Alp.
Festuca_scabriculmis,End.,Alp.
Festuca_ticenensis,End.,S-Alp.
Festuca_varia,End.,E-Alp.
Festuca_versicolor,End.,E-Alp.
Fritillaria_tubiformis,End.,W-Alp.
Galarhoeus_hybernus,End.,W-Alp.
Galeopsis_ladanum,End.,W-Alp.
Galium_helveticum,End.,E-Alp.
Galium_margaritaceum,End.,E-Alp.
Galium_megalospermum,End.,Alp.
Galium_meliodorum,End.,E-Alp.
Galium_montis,End.,E-Alp.
Galium_noricum,Subend.,E-Alp.
Galium_pseudohelveticum,End.,W-Alp.
Galium_saxosum,End.,W-Alp.
Galium_truniacum,End.,E-Alp.
Gentiana_froelichii,End.,E-Alp.
Gentiana_ligustica,End.,W-Alp.
Gentiana_NA,End.,W-Alp.
Gentianella_engadinensis,End.,E-Alp.
Gentianella_insubrica,End.,S-Alp.
Gentianella_pilosa,Subend.,E-Alp.
Gentianella_ramosa,End.,Alp.
Gentianusa_lutea,End.?,E-Alp.
Geranium_rivulare,Subend.,Alp.
Gymnadenia_corneliana,End.,W-Alp.
Gypsophila_papillosa,End.,E-Alp.
Hedysarum_boutignyanum,End.,W-Alp.
Hedysarum_brigantiacum,End.,W-Alp.
Hedysarum_hedysaroides,End.,E-Alp.
Helianthemum_lunulatum,End.,W-Alp.
Helictochloa_adsurgens,End.,E-Alp.
Helictotrichon_petzense,End.,E-Alp.
Helictotrichon_praeustum,End.,E-Alp.
Helictotrichon_sempervirens,End.,W-Alp.
Helleborus_niger,End.,E-Alp.
Hemerocallis_NA,End.?,E-Alp.
Heracleum_austriacum,End.,E-Alp.
Heracleum_NA,End.,W-Alp.
Hesperis_inodora,End.,W-Alp.
Hieracium_angustifolium,End.,Alp.
Hieracium_intybaceum,Subend.,Alp.
Holosteum_umbellatum,End.,W-Alp.
Hornungia_alpina,End.,E-Alp.
Hypochaeris_NA,End.,E-Alp.
Iberis_aurosica,End.,W-Alp.
Iris_pallida,End.,E-Alp.
Ixoca_quadrifida,Subend.,E-Alp./Illyr.
Ixoca_veselskyi,Subend.,E-Alp.
Jovibarba_arenaria,End.,E-Alp.
Jovibarba_hirta,End.,W-Alp.
Knautia_dipsacifolia,End.,W-Alp.
Knautia_mollis,End.,W-Alp.
Knautia_NA,End.,E-Alp.
Koeleria_cenisia,End.,W-Alp.
Laserpitium_halleri,End.,Alp.
Laserpitium_nitidum,End.,E-Alp.
Lembotropis_emeriflora,End.,E-Alp.
Leontodon_incanus,End.,E-Alp.
Leontodon_NA,Subend.,E-Alp.
