"","taxized","combinedname","V1","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"1","Achillea millefolium","Achillea millefolium","Achillea_millefolium","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"2","Acinos alpinus","Acinos alpinus","Acinos_alpinus_alpinus","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"3","Adenostyles alpina","Adenostyles alpina","Adenostyles_alpina_alpina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"4","Adenostyles leucophylla","Adenostyles leucophylla","Adenostyles_leucophylla","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0"
"5","Agrestis alpina","Agrestis alpina","Agrostis_alpina","0","0","0","0","2","1","4","0","0","0","0","0","1","2","0","3","1","0","1"
"6","Agrestis rupestris","Agrestis rupestris","Agrostis_rupestris","1","2","0","3","1","2","4","3","5","0","2","0","0","0","0","4","1","0","0"
"7","Agrostis agrostiflora","Agrostis agrostiflora","Agrostis_agrostiflora","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","0","0","0"
"8","Agrostis capillaris","Agrostis capillaris","Agrostis_capillaris","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Alchemilla alpina","Alchemilla alpina","Alchemilla_alpina","1","0","0","1","1","3","1","1","4","0","0","1","0","0","0","3","0","0","0"
"10","Alchemilla baltica","Alchemilla baltica","Alchemilla_basaltica","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Alchemilla fissa","Alchemilla fissa","Alchemilla_fissa","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1"
"12","Alchemilla flabellata","Alchemilla flabellata","Alchemilla_flabellata","0","1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","1","0","1"
"13","Alchemilla glabra","Alchemilla glabra","Alchemilla_glabra","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"14","Alchemilla glaucescens","Alchemilla glaucescens","Alchemilla_glaucescens","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"15","Alchemilla incisa","Alchemilla incisa","Alchemilla_incisa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0"
"16","Alchemilla NA","Alchemilla","Alchemilla_chirophylla","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0"
"17","Alchemilla pentaphyllea","Alchemilla pentaphyllea","Alchemilla_pentaphyllea","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0"
"18","Alchemilla transiens","Alchemilla transiens","Alchemilla_transiens","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Alchemilla xanthochlora","Alchemilla xanthochlora","Alchemilla_xanthochlora","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
