"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",40,60.1690311,109.522351331857,15.0684778344196,1,-3.27526912632962,0.001,999,"Barre des Ecrins","mntd","Spermatophyta",1,"Ecrins NP"
"2",11,133.958141,171.392436971517,31.5878164070806,120,-1.18508653745138,0.12,999,"Brevoort","mntd","Spermatophyta",0,"Ecrins NP"
"3",33,84.8327668484848,116.986392060242,16.5494425882861,23,-1.94288267053272,0.023,999,"Burlan","mntd","Spermatophyta",1,"Ecrins NP"
"4",17,97.5777625882353,150.097279385739,25.8087993819708,10,-2.03494614453828,0.01,999,"Choisy","mntd","Spermatophyta",1,"Ecrins NP"
"6",36,71.64471025,113.727416237849,15.7282958906331,1,-2.67560492760764,0.001,999,"La Meije","mntd","Spermatophyta",1,"Ecrins NP"
"7",96,43.750032875,75.86844031128,7.34587791183618,1,-4.37230346348783,0.001,999,"Lauvitel","mntd","Spermatophyta",1,"Ecrins NP"
"8",62,54.293200016129,91.3124215927863,10.3118287318032,2,-3.58997637950332,0.002,999,"Muraillette","mntd","Spermatophyta",1,"Ecrins NP"
"9",29,82.6647652413793,122.663588141417,18.1237553821298,4,-2.20698315866022,0.004,999,"Occidentale Ailefroide","mntd","Spermatophyta",1,"Ecrins NP"
"10",63,78.9228341428571,90.9838917189412,10.5556976271673,131,-1.14261112832963,0.131,999,"Olan","mntd","Spermatophyta",0,"Ecrins NP"
"11",16,182.4679245,151.721849647147,27.0381593877342,871,1.1371363860959,0.871,999,"Pelvoux","mntd","Spermatophyta",0,"Ecrins NP"
"12",164,39.5226386463415,59.1556041943285,4.62719685799989,1,-4.24295013816926,0.001,999,"Persistent","mntd","Spermatophyta",1,"Ecrins NP"
"13",31,71.590894483871,119.857941394201,16.4579035790176,1,-2.93275791042221,0.001,999,"Plat de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"14",100,55.92053351,74.5337971896296,6.99343048193385,4,-2.66153552647922,0.004,999,"Rateau","mntd","Spermatophyta",1,"Ecrins NP"
"15",150,47.9580126333333,61.9117117935202,4.92335068008348,3,-2.83418754155254,0.003,999,"Rocher de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"16",40,75.866448975,107.698014461512,14.478791724364,7,-2.19849598588723,0.007,999,"Rouies","mntd","Spermatophyta",1,"Ecrins NP"
"17",76,49.7230208026316,83.864940512552,8.6441552316153,1,-3.94971154440276,0.001,999,"Sirac","mntd","Spermatophyta",1,"Ecrins NP"
"18",215,39.0052656,51.6339245446097,3.57510172626317,1,-3.53239149863566,0.001,999,"Summits","mntd","Spermatophyta",1,"Ecrins NP"
"19",103,55.1787561456311,73.737202429342,6.90769605583658,4,-2.68663330489623,0.004,999,"Under Ice","mntd","Spermatophyta",1,"Ecrins NP"
"20",7,46.9496258571429,61.7785657667668,15.4329201514213,179,-0.960864163368215,0.179,999,"Barre des Ecrins","mntd","Asterales",0,"Ecrins NP"
"21",2,33.908879,104.289432877878,42.8570877799377,53.5,-1.64221503428482,0.0535,999,"Brevoort","mntd","Asterales",0,"Ecrins NP"
"22",5,33.410541,72.1591177029029,19.6347088574842,30,-1.9734734537779,0.03,999,"Burlan","mntd","Asterales",1,"Ecrins NP"
"23",3,49.7552243333333,87.961417330664,27.7597786382995,98,-1.37631475723004,0.098,999,"Choisy","mntd","Asterales",0,"Ecrins NP"
"25",4,84.09802675,79.7286151599099,23.9246265453833,583,0.182632384325901,0.583,999,"La Meije","mntd","Asterales",0,"Ecrins NP"
"26",12,39.8163636666667,46.7233286467301,9.02165543544548,226,-0.765598401478113,0.226,999,"Lauvitel","mntd","Asterales",0,"Ecrins NP"
"27",11,26.7429084545455,48.1649585137865,9.88565786520766,19,-2.16698274928525,0.019,999,"Muraillette","mntd","Asterales",1,"Ecrins NP"
"28",5,47.3549076,72.2469978752753,20.2253689715117,116,-1.23073602812076,0.116,999,"Occidentale Ailefroide","mntd","Asterales",0,"Ecrins NP"
"29",10,53.1066916,52.0740668555556,11.1607614629745,517,0.0925227860007709,0.517,999,"Olan","mntd","Asterales",0,"Ecrins NP"
"30",2,88.063174,103.413927379379,42.6118587344226,236,-0.360246040311281,0.236,999,"Pelvoux","mntd","Asterales",0,"Ecrins NP"
"31",28,22.0372388928571,28.650294220971,3.84026416107788,39,-1.72203136313875,0.039,999,"Persistent","mntd","Asterales",1,"Ecrins NP"
"32",5,78.4294584,71.6934813455455,19.7269699198181,641,0.341460299368498,0.641,999,"Plat de la Selle","mntd","Asterales",0,"Ecrins NP"
"33",16,49.5739375625,39.82278797998,7.07430986020594,919,1.37838881462794,0.919,999,"Rateau","mntd","Asterales",0,"Ecrins NP"
"34",31,23.3665795806452,26.9707253777972,3.56129798012817,150,-1.01203151695334,0.15,999,"Rocher de la Selle","mntd","Asterales",0,"Ecrins NP"
"35",10,52.50592,51.2242974399399,10.9041512332659,556,0.117535288409257,0.556,999,"Rouies","mntd","Asterales",0,"Ecrins NP"
