"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Barre des Ecrins",39,275.852530153846,263.586294413528,10.5861666803238,891,1.15870419489207,0.891,999
"Brevoort",10,259.7384382,262.394338853187,24.9135388707456,441,-0.10660471268115,0.441,999
"Burlan",31,271.365998735484,263.503698316781,12.1591818514887,717,0.646614263585502,0.717,999
"Choisy",16,258.37413085,263.332958573148,19.0846161977287,363,-0.259833767248529,0.363,999
"La Meije",33,265.048338602273,263.354629055131,11.8183499919757,526,0.143311845417662,0.526,999
"Lauvitel",95,269.742664958119,263.568420815177,5.01528778715895,893,1.23108471636473,0.893,999
"Muraillette",62,265.980170028027,263.265760516733,7.65436435865974,623,0.354622459045015,0.623,999
"Occidentale Ailefroide",28,271.749104621693,264.187084294263,13.1816471668057,683,0.573677950239282,0.683,999
"Olan",59,264.123776065459,263.413603857948,7.94243184118965,534,0.0894149577498232,0.534,999
"Pelvoux",13,281.49496774359,263.306480523164,21.1549095793762,789,0.859776174045073,0.789,999
"Persistent",164,263.341607466183,263.341607466183,0,500.5,NA,0.5005,999
"Plat de la Selle",31,283.098430636559,262.94498840003,12.8651931673839,970,1.56650910517398,0.97,999
"Rateau",81,269.380212546296,263.143640546637,6.14306862605461,836,1.01522095540456,0.836,999
"Rocher de la Selle",118,268.23889696842,263.489507990293,3.58992468134859,927,1.32297733231046,0.927,999
"Rouies",40,251.872930391026,263.327978085235,10.7183024751146,143,-1.06873711772975,0.143,999
"Sirac",72,264.689016605634,263.332878399197,6.82400686708911,549,0.1987304867727,0.549,999
"Summits",164,263.341607466183,263.341607466183,0,500.5,NA,0.5005,999
