"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",40,60.1690311,90.0633159444695,14.7917067898147,18,-2.02101659188203,0.018,999,"Barre des Ecrins","mntd","Spermatophyta",1,"Summits"
"2",11,133.958141,156.725876880153,36.1247040078827,268,-0.63025390810634,0.268,999,"Brevoort","mntd","Spermatophyta",0,"Summits"
"3",33,84.8327668484849,98.9923256671823,16.1688520728733,206,-0.875730618035225,0.206,999,"Burlan","mntd","Spermatophyta",0,"Summits"
"4",17,97.5777625882353,132.436222323029,26.8579710255074,91,-1.29788135156182,0.091,999,"Choisy","mntd","Spermatophyta",0,"Summits"
"5",36,71.64471025,95.0886874411078,15.5662241359576,63,-1.50607989364311,0.063,999,"La Meije","mntd","Spermatophyta",0,"Summits"
"6",96,43.750032875,59.0455533240845,6.64148778727831,13,-2.30302621023905,0.013,999,"Lauvitel","mntd","Spermatophyta",1,"Summits"
"7",62,54.293200016129,73.2963999460428,9.44735261680962,21,-2.01148413748223,0.021,999,"Muraillette","mntd","Spermatophyta",1,"Summits"
"8",29,82.6647652413793,104.566075792448,17.7326533092395,104,-1.23508367130015,0.104,999,"Occidentale Ailefroide","mntd","Spermatophyta",0,"Summits"
"9",63,78.9228341428571,73.0859375328503,9.41738363802209,732,0.619800236919385,0.732,999,"Olan","mntd","Spermatophyta",0,"Summits"
"10",16,182.4679245,133.872753996747,26.4536462163236,958,1.8369932865159,0.958,999,"Pelvoux","mntd","Spermatophyta",1,"Summits"
"11",31,71.590894483871,101.708807298331,17.035597379773,32,-1.76793992855336,0.032,999,"Plat de la Selle","mntd","Spermatophyta",1,"Summits"
"12",100,55.92053351,57.3499575186687,5.82982272104065,403,-0.245191676842878,0.403,999,"Rateau","mntd","Spermatophyta",0,"Summits"
"13",150,47.9580126333333,47.0644129570504,3.68589735106491,583,0.242437482971353,0.583,999,"Rocher de la Selle","mntd","Spermatophyta",0,"Summits"
"14",40,75.866448975,90.2196022143644,13.7499373906928,159,-1.04387044329961,0.159,999,"Rouies","mntd","Spermatophyta",0,"Summits"
"15",76,49.7230208026316,66.2007067232232,8.26430675379062,22,-1.99383764561181,0.022,999,"Sirac","mntd","Spermatophyta",1,"Summits"
"16",215,39.0052656,39.0052656,0,500.5,NA,0.5005,999,"Summits","mntd","Spermatophyta",0,"Summits"
"17",7,46.9496258571429,61.6738927700558,15.5216251993359,186,-0.948629201118896,0.186,999,"Barre des Ecrins","mntd","Asterales",0,"Summits"
"18",2,33.908879,105.112666098098,39.8640381965008,42.5,-1.78616593600265,0.0425,999,"Brevoort","mntd","Asterales",1,"Summits"
"19",5,33.410541,73.0429383433433,20.8424199258755,23,-1.90152570979248,0.023,999,"Burlan","mntd","Asterales",1,"Summits"
"20",3,49.7552243333333,87.6848101034368,28.2043238185632,91,-1.34481457574031,0.091,999,"Choisy","mntd","Asterales",0,"Summits"
"21",4,84.09802675,79.4831445985986,24.201336024287,588,0.190687082182991,0.588,999,"La Meije","mntd","Asterales",0,"Summits"
"22",12,39.8163636666667,44.0194836904404,9.02272903500287,333,-0.465836888979835,0.333,999,"Lauvitel","mntd","Asterales",0,"Summits"
"23",11,26.7429084545455,46.9256452809173,10.2254340414547,19,-1.97377800732462,0.019,999,"Muraillette","mntd","Asterales",1,"Summits"
"24",5,47.3549076,72.2215471089089,20.7945888651918,120,-1.19582260895445,0.12,999,"Occidentale Ailefroide","mntd","Asterales",0,"Summits"
"25",10,53.1066916,50.1745051,11.1600501472779,593,0.262739545190592,0.593,999,"Olan","mntd","Asterales",0,"Summits"
"26",2,88.063174,106.916813641642,42.0422062013073,205.5,-0.448445534741119,0.2055,999,"Pelvoux","mntd","Asterales",0,"Summits"
"27",5,78.4294584,72.2138070256256,20.9928190740902,640.5,0.296084644584293,0.6405,999,"Plat de la Selle","mntd","Asterales",0,"Summits"
"28",16,49.5739375625,36.6188866910035,6.71967990906416,972,1.92792678324178,0.972,999,"Rateau","mntd","Asterales",1,"Summits"
"29",31,23.3665795806452,23.4453549027414,2.12380605841235,475,-0.0370915798946237,0.475,999,"Rocher de la Selle","mntd","Asterales",0,"Summits"
"30",10,52.50592,49.935486342042,11.4544258379447,577,0.224405281794482,0.577,999,"Rouies","mntd","Asterales",0,"Summits"
"31",13,32.6605934615385,42.0340825570186,8.17891846747999,138,-1.14605483998279,0.138,999,"Sirac","mntd","Asterales",0,"Summits"
"32",39,21.0016260769231,21.0016260769231,0,500.5,NA,0.5005,999,"Summits","mntd","Asterales",0,"Summits"
"33",10,35.4883147,42.5987088232232,11.4037211543739,263,-0.623515256727935,0.263,999,"Barre des Ecrins","mntd","Poales",0,"Summits"
"34",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Poales",NA,"Summits"
"35",6,94.0187416666667,59.979355205372,19.3398463265261,970.5,1.76006499155099,0.9705,999,"Burlan","mntd","Poales",1,"Summits"
"36",2,176.543151,126.387920399399,61.0335570055751,929,0.821764830059293,0.929,999,"Choisy","mntd","Poales",0,"Summits"
"37",6,60.8996243333333,59.2359377554221,18.6911158298542,533,0.0890094841343789,0.533,999,"La Meije","mntd","Poales",0,"Summits"
"38",18,31.1863521111111,30.1715550788566,5.94022786691217,572,0.170834697757475,0.572,999,"Lauvitel","mntd","Poales",0,"Summits"
"39",11,46.6299019090909,38.9834179231959,10.4214278011238,769,0.733727098802186,0.769,999,"Muraillette","mntd","Poales",0,"Summits"
"40",6,55.5208781666667,60.5269725752419,18.9772218995389,370,-0.263794902914471,0.37,999,"Occidentale Ailefroide","mntd","Poales",0,"Summits"
"41",9,51.1409335555556,44.8167190779669,12.6784477931566,687,0.498816146957854,0.687,999,"Olan","mntd","Poales",0,"Summits"
"42",3,134.804278,95.9192060053387,38.1549735779832,824.5,1.01913507855499,0.8245,999,"Pelvoux","mntd","Poales",0,"Summits"
"43",11,32.0028913636364,39.3545972591683,10.2775543125274,243,-0.715316666978917,0.243,999,"Plat de la Selle","mntd","Poales",0,"Summits"
"44",22,28.2196397727273,27.64181300455,4.35696047606264,554,0.132621530847451,0.554,999,"Rateau","mntd","Poales",0,"Summits"
"45",29,26.5601085862069,25.5859462330261,2.70108407153063,603,0.360656065262246,0.603,999,"Rocher de la Selle","mntd","Poales",0,"Summits"
"46",5,82.468806,68.0443925135135,21.9105497200118,736.5,0.658331884448892,0.7365,999,"Rouies","mntd","Poales",0,"Summits"
"47",14,44.2163880714286,33.9540967614043,8.23953339015794,897,1.2454942317829,0.897,999,"Sirac","mntd","Poales",0,"Summits"
"48",37,24.4117922432432,24.4117922432432,0,500.5,NA,0.5005,999,"Summits","mntd","Poales",0,"Summits"
"49",3,43.716027,61.7314169913247,38.8990647629612,344.5,-0.463131699980573,0.3445,999,"Barre des Ecrins","mntd","Rosales",0,"Summits"
"50",0,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Rosales",NA,"Summits"
"51",2,141.87263,81.9749534094094,58.1601509169765,764,1.02987484809134,0.764,999,"Burlan","mntd","Rosales",0,"Summits"
"52",1,NA,NA,NA,NA,NA,NA,999,"Choisy","mntd","Rosales",NA,"Summits"
"53",2,60.973601,83.3363825225225,57.4995558827873,351.5,-0.388920943461007,0.3515,999,"La Meije","mntd","Rosales",0,"Summits"
"54",8,9.514003125,41.7899013908909,17.4976705204205,22,-1.84458258190561,0.022,999,"Lauvitel","mntd","Rosales",1,"Summits"
"55",6,44.02024,45.0425345086753,22.1349304252362,492,-0.0461846723272199,0.492,999,"Muraillette","mntd","Rosales",0,"Summits"
"56",1,NA,NA,NA,NA,NA,NA,999,"Occidentale Ailefroide","mntd","Rosales",NA,"Summits"
"57",5,10.6526784,47.3347468500501,24.8978003001895,44,-1.47330559357771,0.044,999,"Olan","mntd","Rosales",1,"Summits"
"58",0,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mntd","Rosales",NA,"Summits"
"59",4,24.6977485,53.22144479004,29.1787218690608,213.5,-0.977551258689118,0.2135,999,"Plat de la Selle","mntd","Rosales",0,"Summits"
"60",15,25.2958234,34.8715852441775,8.60732973302403,133,-1.11251249123614,0.133,999,"Rateau","mntd","Rosales",0,"Summits"
"61",10,24.5349211,39.8699034344344,13.7684631245997,125,-1.11377589464113,0.125,999,"Rocher de la Selle","mntd","Rosales",0,"Summits"
"62",3,43.716027,58.8985558788789,36.3911781153471,366,-0.417203554959272,0.366,999,"Rouies","mntd","Rosales",0,"Summits"
"63",11,10.1878607272727,37.7277856744017,12.5034282520301,18,-2.20258991310303,0.018,999,"Sirac","mntd","Rosales",1,"Summits"
"64",22,30.5263595,30.5263595,0,500.5,NA,0.5005,999,"Summits","mntd","Rosales",0,"Summits"
"65",5,43.6545774,49.2652898488488,14.1894564911671,358,-0.395414190271593,0.358,999,"Barre des Ecrins","mntd","Lamiales",0,"Summits"
"66",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Lamiales",NA,"Summits"
"67",5,44.0751634,48.6946714262262,15.2236586096556,411,-0.303442696967489,0.411,999,"Burlan","mntd","Lamiales",0,"Summits"
"68",2,73.188451,69.5517683263263,19.9072066575152,337,0.182681716035775,0.337,999,"Choisy","mntd","Lamiales",0,"Summits"
"69",3,75.80474,61.598518357691,17.8797270249153,736.5,0.794543542108485,0.7365,999,"La Meije","mntd","Lamiales",0,"Summits"
"70",8,34.60029875,38.3724340307808,10.767591630762,376,-0.350323025810538,0.376,999,"Lauvitel","mntd","Lamiales",0,"Summits"
"71",5,62.0815022,48.7743936058058,14.8962232412254,790,0.893320969933286,0.79,999,"Muraillette","mntd","Lamiales",0,"Summits"
"72",4,60.25545,54.465244757007,16.2685176812442,601.5,0.355914740140613,0.6015,999,"Occidentale Ailefroide","mntd","Lamiales",0,"Summits"
"73",6,48.8386598333333,45.014788864698,13.2048130318565,649,0.28958160629842,0.649,999,"Olan","mntd","Lamiales",0,"Summits"
"74",2,67.428088,69.6262793373373,20.1929780152357,263.5,-0.108859195294463,0.2635,999,"Pelvoux","mntd","Lamiales",0,"Summits"
"75",2,81.03732,69.2594483973974,20.8777888676823,874,0.564134050652946,0.874,999,"Plat de la Selle","mntd","Lamiales",0,"Summits"
"76",9,45.3611046666667,36.3153534189745,9.31797112475784,829,0.970785498965282,0.829,999,"Rateau","mntd","Lamiales",0,"Summits"
"77",11,41.2954855454545,33.1147498066248,7.74413372993075,851,1.05637841805489,0.851,999,"Rocher de la Selle","mntd","Lamiales",0,"Summits"
"78",5,69.9099484,48.3767218666667,14.4558122721455,916.5,1.48958952481868,0.9165,999,"Rouies","mntd","Lamiales",0,"Summits"
"79",6,70.5804816666667,44.9485651301301,13.5001822750385,979,1.89863484909602,0.979,999,"Sirac","mntd","Lamiales",1,"Summits"
"80",21,24.5402206666667,24.5402206666667,0,500.5,NA,0.5005,999,"Summits","mntd","Lamiales",0,"Summits"
"81",5,74.5181156,81.1734603205205,21.8694366970945,376,-0.304321725918287,0.376,999,"Barre des Ecrins","mntd","Caryophyllales",0,"Summits"
"82",2,75.163557,124.602421557558,55.0148923239837,173.5,-0.898645120786771,0.1735,999,"Brevoort","mntd","Caryophyllales",0,"Summits"
"83",3,73.497654,102.725881695362,36.8154021316182,185.5,-0.793913036475024,0.1855,999,"Burlan","mntd","Caryophyllales",0,"Summits"
"84",2,75.163557,125.969676716717,55.9667566699558,165,-0.907791030599251,0.165,999,"Choisy","mntd","Caryophyllales",0,"Summits"
"85",5,75.007397,82.8881002450451,22.1479475884213,347.5,-0.355820927134802,0.3475,999,"La Meije","mntd","Caryophyllales",0,"Summits"
"86",14,52.3477052142857,51.7885916399971,8.70545043056138,568,0.0642256915651082,0.568,999,"Lauvitel","mntd","Caryophyllales",0,"Summits"
"87",7,88.3753592857143,71.0820892200772,16.6860057697704,831,1.03639362854392,0.831,999,"Muraillette","mntd","Caryophyllales",0,"Summits"
"88",4,86.2617385,88.5169988943944,26.6757927849847,483,-0.0845433315730292,0.483,999,"Occidentale Ailefroide","mntd","Caryophyllales",0,"Summits"
"89",4,124.93702575,88.6868923278278,27.3775711896439,867,1.3240814231134,0.867,999,"Olan","mntd","Caryophyllales",0,"Summits"
"90",1,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mntd","Caryophyllales",NA,"Summits"
"91",2,76.088446,122.139221423423,55.1141320480588,273,-0.83555294644335,0.273,999,"Plat de la Selle","mntd","Caryophyllales",0,"Summits"
"92",6,84.0065285,77.0180834866533,19.4548551090646,629.5,0.359213418664349,0.6295,999,"Rateau","mntd","Caryophyllales",0,"Summits"
"93",15,34.9544004666667,50.3829990075409,7.56880366149338,3,-2.03844613110628,0.003,999,"Rocher de la Selle","mntd","Caryophyllales",1,"Summits"
"94",4,101.33435875,89.4704966126126,26.671821286377,672.5,0.444808849384688,0.6725,999,"Rouies","mntd","Caryophyllales",0,"Summits"
"95",7,74.8215394285714,70.9909982097812,16.6149664486162,569.5,0.230547634907156,0.5695,999,"Sirac","mntd","Caryophyllales",0,"Summits"
"96",19,44.4506242105263,44.4506242105263,0,500.5,NA,0.5005,999,"Summits","mntd","Caryophyllales",0,"Summits"
"97",40,275.315477865385,276.317275209195,17.6532066701681,516,-0.0567487461359312,0.516,999,"Barre des Ecrins","mpd","Spermatophyta",0,"Summits"
"98",11,255.276635890909,273.91452271264,36.9496762160447,294,-0.504412723747703,0.294,999,"Brevoort","mpd","Spermatophyta",0,"Summits"
"99",33,267.641368617424,276.316355321674,20.2118254338698,367,-0.429203524077181,0.367,999,"Burlan","mpd","Spermatophyta",0,"Summits"
"100",17,256.806892838235,276.828870840988,30.2353101185352,248,-0.662205147698439,0.248,999,"Choisy","mpd","Spermatophyta",0,"Summits"
"101",36,261.160879080952,276.460844043099,19.8572402021977,224,-0.770498055437376,0.224,999,"La Meije","mpd","Spermatophyta",0,"Summits"
"102",96,269.245131620833,275.808583850795,9.6083913754415,259,-0.683095845443742,0.259,999,"Lauvitel","mpd","Spermatophyta",0,"Summits"
"103",62,265.980170028027,275.822129819488,13.2927213244305,242,-0.740402175841345,0.242,999,"Muraillette","mpd","Spermatophyta",0,"Summits"
"104",29,270.617859783251,275.724047825027,22.7475617637822,451,-0.22447188383529,0.451,999,"Occidentale Ailefroide","mpd","Spermatophyta",0,"Summits"
"105",63,277.386492412698,276.652377101504,13.9958228871834,536,0.0524524579306235,0.536,999,"Olan","mpd","Spermatophyta",0,"Summits"
"106",16,378.247871733333,275.945802752853,31.5711928512664,996,3.24036121987633,0.996,999,"Pelvoux","mpd","Spermatophyta",1,"Summits"
"107",31,283.098430636559,275.308711139294,21.1293189573684,681,0.368668744741938,0.681,999,"Plat de la Selle","mpd","Spermatophyta",0,"Summits"
"108",100,278.169611471313,276.201366806659,8.98028246380946,564,0.219174026272114,0.564,999,"Rateau","mpd","Spermatophyta",0,"Summits"
"109",150,273.505325264251,276.017811337958,5.50354732465899,308,-0.456521208139734,0.308,999,"Rocher de la Selle","mpd","Spermatophyta",0,"Summits"
"110",40,251.872930391026,276.16210803845,18.1451111335652,80,-1.33860726829574,0.08,999,"Rouies","mpd","Spermatophyta",0,"Summits"
"111",76,262.778903064561,275.250200296725,11.6976871910038,160,-1.06613358936071,0.16,999,"Sirac","mpd","Spermatophyta",0,"Summits"
"112",215,275.966701052467,275.966701052467,0,500.5,NA,0.5005,999,"Summits","mpd","Spermatophyta",0,"Summits"
"113",7,85.787811047619,105.199003238953,15.5991289818862,92,-1.24437667089455,0.092,999,"Barre des Ecrins","mpd","Asterales",0,"Summits"
"114",2,33.908879,103.884518732733,43.2965417244817,56,-1.61619466464606,0.056,999,"Brevoort","mpd","Asterales",0,"Summits"
"115",5,126.4086008,104.301602636837,19.7272996362724,803,1.12062971469827,0.803,999,"Burlan","mpd","Asterales",0,"Summits"
"116",3,65.60157,105.305983239907,29.9525676209638,46,-1.32557628255274,0.046,999,"Choisy","mpd","Asterales",1,"Summits"
"117",4,124.575924,103.913366222723,23.7887685998685,685,0.868584588165337,0.685,999,"La Meije","mpd","Asterales",0,"Summits"
"118",12,116.574648969697,105.203524087906,10.5462255329417,855,1.07821749556489,0.855,999,"Lauvitel","mpd","Asterales",0,"Summits"
"119",11,109.027919054545,104.697210700118,11.4248825573837,686,0.379059332354213,0.686,999,"Muraillette","mpd","Asterales",0,"Summits"
"120",5,75.7731916,104.647751817017,19.887405228822,33,-1.45190183861544,0.033,999,"Occidentale Ailefroide","mpd","Asterales",1,"Summits"
"121",10,92.5989947111111,105.190002918585,12.3425083318537,260,-1.02013366075509,0.26,999,"Olan","mpd","Asterales",0,"Summits"
"122",2,88.063174,105.008629084084,41.668521343545,223,-0.406672820097782,0.223,999,"Pelvoux","mpd","Asterales",0,"Summits"
"123",5,95.7930482,104.791155392192,20.0644214942041,462.5,-0.448460833759469,0.4625,999,"Plat de la Selle","mpd","Asterales",0,"Summits"
"124",16,97.9673516166667,105.78666751378,8.22651584777559,137,-0.950501529663751,0.137,999,"Rateau","mpd","Asterales",0,"Summits"
"125",31,109.450891905376,105.113624460551,3.44711762154961,969,1.25823018562265,0.969,999,"Rocher de la Selle","mpd","Asterales",1,"Summits"
"126",10,118.279432911111,105.207973493627,12.5356158361329,800,1.0427456926214,0.8,999,"Rouies","mpd","Asterales",0,"Summits"
"127",13,114.575977025641,105.494463246631,10.0368680375859,804,0.904815500712123,0.804,999,"Sirac","mpd","Asterales",0,"Summits"
"128",39,105.047997673414,105.047997673414,0,500.5,NA,0.5005,999,"Summits","mpd","Asterales",0,"Summits"
"129",10,137.2279188,126.070503895584,11.879385095326,860,0.939224952712865,0.86,999,"Barre des Ecrins","mpd","Poales",0,"Summits"
"130",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mpd","Poales",NA,"Summits"
"131",6,146.846813533333,126.128808429963,18.3181467303257,928.5,1.13100988917571,0.9285,999,"Burlan","mpd","Poales",0,"Summits"
"132",2,176.543151,126.394712661662,61.0036574219497,919.5,0.822056257897325,0.9195,999,"Choisy","mpd","Poales",0,"Summits"
"133",6,93.1422179333333,125.381618832099,18.8841804270679,61,-1.70721737293691,0.061,999,"La Meije","mpd","Poales",0,"Summits"
"134",18,127.77365945098,125.853534799401,6.90020179596507,545,0.278270796761696,0.545,999,"Lauvitel","mpd","Poales",0,"Summits"
"135",11,125.113190909091,126.182777963527,10.5862992620539,378,-0.101035029140933,0.378,999,"Muraillette","mpd","Poales",0,"Summits"
"136",6,138.0647374,125.877925109109,18.8372001623221,672,0.646954546635161,0.672,999,"Occidentale Ailefroide","mpd","Poales",0,"Summits"
"137",9,135.0451655,125.833672122178,13.1708165820565,747,0.699386656888968,0.747,999,"Olan","mpd","Poales",0,"Summits"
"138",3,155.673714,126.825272418418,36.5278266059014,798,0.789766166293641,0.798,999,"Pelvoux","mpd","Poales",0,"Summits"
"139",11,127.717447709091,125.248693155155,11.2661786152612,493,0.219129718979563,0.493,999,"Plat de la Selle","mpd","Poales",0,"Summits"
"140",22,126.774939251082,125.789774150965,5.35463075047758,503,0.183983760230257,0.503,999,"Rateau","mpd","Poales",0,"Summits"
"141",29,124.688787660099,125.826486370918,3.15968207386386,333,-0.360067463821745,0.333,999,"Rocher de la Selle","mpd","Poales",0,"Summits"
"142",5,135.173418,126.729615762763,22.0327330306476,527.5,0.383238984718413,0.5275,999,"Rouies","mpd","Poales",0,"Summits"
"143",14,139.243593373626,126.231306993675,8.77147441154934,992,1.48347766514808,0.992,999,"Sirac","mpd","Poales",1,"Summits"
"144",37,125.793363153153,125.793363153153,0,500.5,NA,0.5005,999,"Summits","mpd","Poales",0,"Summits"
"145",3,52.344814,85.0157833980647,44.6548165456757,325,-0.731633716704375,0.325,999,"Barre des Ecrins","mpd","Rosales",0,"Summits"
"146",0,NA,NA,NA,NA,NA,NA,999,"Brevoort","mpd","Rosales",NA,"Summits"
"147",2,141.87263,85.6375793403403,59.769407291639,731.5,0.940866794700945,0.7315,999,"Burlan","mpd","Rosales",0,"Summits"
"148",1,NA,NA,NA,NA,NA,NA,999,"Choisy","mpd","Rosales",NA,"Summits"
"149",2,60.973601,82.8744794154154,58.7236898775742,369.5,-0.372947927166598,0.3695,999,"La Meije","mpd","Rosales",0,"Summits"
"150",8,37.7627818214286,82.4604619535607,22.9785257976223,19,-1.94519354835014,0.019,999,"Lauvitel","mpd","Rosales",1,"Summits"
"151",6,79.2640018666667,81.2765920900901,27.9548677821967,461,-0.0719942672991338,0.461,999,"Muraillette","mpd","Rosales",0,"Summits"
"152",1,NA,NA,NA,NA,NA,NA,999,"Occidentale Ailefroide","mpd","Rosales",NA,"Summits"
"153",5,44.5104162,83.0191819741742,33.1099151152725,139.5,-1.16305842645943,0.1395,999,"Olan","mpd","Rosales",0,"Summits"
"154",0,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mpd","Rosales",NA,"Summits"
"155",4,42.4100603333333,83.241540513013,36.1128699401816,108,-1.13066284256317,0.108,999,"Plat de la Selle","mpd","Rosales",0,"Summits"
"156",15,73.9068610095238,81.543428589561,12.2665027434713,265,-0.622554589497946,0.265,999,"Rateau","mpd","Rosales",0,"Summits"
"157",10,70.5531320666667,81.9719180539428,18.5156664174821,284,-0.616709424862764,0.284,999,"Rocher de la Selle","mpd","Rosales",0,"Summits"
"158",3,52.344814,79.2009225939273,43.7141320870757,368.5,-0.614357584417589,0.3685,999,"Rouies","mpd","Rosales",0,"Summits"
"159",11,38.9268438545455,81.3180408005096,17.5484403417551,9,-2.4156674963927,0.009,999,"Sirac","mpd","Rosales",1,"Summits"
"160",22,81.8857730952381,81.8857730952381,0,500.5,NA,0.5005,999,"Summits","mpd","Rosales",0,"Summits"
"161",5,70.5143042,69.4503204726727,6.96309186288451,491,0.152803344875959,0.491,999,"Barre des Ecrins","mpd","Lamiales",0,"Summits"
"162",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mpd","Lamiales",NA,"Summits"
"163",5,69.2382824,69.1676058236236,6.74886132989356,419,0.0104723705113526,0.419,999,"Burlan","mpd","Lamiales",0,"Summits"
"164",2,73.188451,69.4786358088088,20.1864098088198,334,0.183777859774268,0.334,999,"Choisy","mpd","Lamiales",0,"Summits"
"165",3,78.4210293333333,68.9283552525859,12.4767510916039,749,0.760829001961531,0.749,999,"La Meije","mpd","Lamiales",0,"Summits"
"166",8,69.9712355357143,69.3221548818104,3.91321230415291,497.5,0.165869010790718,0.4975,999,"Lauvitel","mpd","Lamiales",0,"Summits"
"167",5,75.1210354,69.4161490038038,6.40260586552505,811,0.891025703598949,0.811,999,"Muraillette","mpd","Lamiales",0,"Summits"
"168",4,72.1478128333333,69.7834820628962,8.57978439567985,542.5,0.275569951574495,0.5425,999,"Occidentale Ailefroide","mpd","Lamiales",0,"Summits"
"169",6,71.9209547333333,69.1715280778779,5.70223014113819,608,0.48216690442218,0.608,999,"Olan","mpd","Lamiales",0,"Summits"
"170",2,67.428088,68.0459927817818,22.0693505851933,279,-0.0279983218988028,0.279,999,"Pelvoux","mpd","Lamiales",0,"Summits"
"171",2,81.03732,68.7355888698699,21.8437898089492,879,0.563168353006686,0.879,999,"Plat de la Selle","mpd","Lamiales",0,"Summits"
"172",9,72.4748298333333,69.1891965468246,3.39992568000399,839,0.966383855339117,0.839,999,"Rateau","mpd","Lamiales",0,"Summits"
"173",11,71.6996052363636,69.1783778198198,2.82314400373818,810,0.893056611070995,0.81,999,"Rocher de la Selle","mpd","Lamiales",0,"Summits"
"174",5,77.3816062,69.0517965453453,6.88351065185838,947.5,1.21011066531957,0.9475,999,"Rouies","mpd","Lamiales",0,"Summits"
"175",6,77.3924038,69.1956104504504,5.69048540271985,983,1.44043834039742,0.983,999,"Sirac","mpd","Lamiales",1,"Summits"
"176",21,69.2579570857143,69.2579570857143,0,500.5,NA,0.5005,999,"Summits","mpd","Lamiales",0,"Summits"
"177",5,111.5488306,126.370206162362,24.5520092963594,236.5,-0.60367261120906,0.2365,999,"Barre des Ecrins","mpd","Caryophyllales",0,"Summits"
"178",2,75.163557,125.028400279279,55.4215393778458,156.5,-0.899737608140351,0.1565,999,"Brevoort","mpd","Caryophyllales",0,"Summits"
"179",3,74.79305,122.783737181181,37.3187133088598,146,-1.28596843047608,0.146,999,"Burlan","mpd","Caryophyllales",0,"Summits"
"180",2,75.163557,124.45085050951,56.3696150065389,169.5,-0.874359235978322,0.1695,999,"Choisy","mpd","Caryophyllales",0,"Summits"
"181",5,111.226956,124.656669277477,24.9651474066469,234,-0.537938473133224,0.234,999,"La Meije","mpd","Caryophyllales",0,"Summits"
"182",14,119.996458131868,124.696592052547,8.03565023218294,237.5,-0.584910216954787,0.2375,999,"Lauvitel","mpd","Caryophyllales",0,"Summits"
"183",7,125.123518095238,124.777566208208,19.3069593279251,442,0.0179185070602758,0.442,999,"Muraillette","mpd","Caryophyllales",0,"Summits"
"184",4,148.035163166667,124.935573585419,29.7494524089552,766.5,0.776471084701191,0.7665,999,"Occidentale Ailefroide","mpd","Caryophyllales",0,"Summits"
"185",4,158.821235666667,124.170164135469,30.3012498016979,875.5,1.14355255172532,0.8755,999,"Olan","mpd","Caryophyllales",0,"Summits"
"186",1,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mpd","Caryophyllales",NA,"Summits"
"187",2,76.088446,122.827197567568,56.1444191661604,277.5,-0.832473685928488,0.2775,999,"Plat de la Selle","mpd","Caryophyllales",0,"Summits"
"188",6,138.825629866667,123.987900755556,21.5867388459918,714.5,0.687353898936252,0.7145,999,"Rateau","mpd","Caryophyllales",0,"Summits"
"189",15,121.964814361905,124.550957915172,6.93496323937337,378,-0.372913808480583,0.378,999,"Rocher de la Selle","mpd","Caryophyllales",0,"Summits"
"190",4,127.351012666667,126.607805379713,29.2257963065108,486,0.0254298387342161,0.486,999,"Rouies","mpd","Caryophyllales",0,"Summits"
