"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Barre des Ecrins",40,275.315477865385,276.317275209195,17.6532066701681,516,-0.0567487461359312,0.516,999
"Brevoort",11,255.276635890909,273.91452271264,36.9496762160447,294,-0.504412723747703,0.294,999
"Burlan",33,267.641368617424,276.316355321674,20.2118254338698,367,-0.429203524077181,0.367,999
"Choisy",17,256.806892838235,276.828870840988,30.2353101185352,248,-0.662205147698439,0.248,999
"La Meije",36,261.160879080952,276.460844043099,19.8572402021977,224,-0.770498055437376,0.224,999
"Lauvitel",96,269.245131620833,275.808583850795,9.6083913754415,259,-0.683095845443742,0.259,999
"Muraillette",62,265.980170028027,275.822129819488,13.2927213244305,242,-0.740402175841345,0.242,999
"Occidentale Ailefroide",29,270.617859783251,275.724047825027,22.7475617637822,451,-0.22447188383529,0.451,999
"Olan",63,277.386492412698,276.652377101504,13.9958228871834,536,0.0524524579306235,0.536,999
"Pelvoux",16,378.247871733333,275.945802752853,31.5711928512664,996,3.24036121987633,0.996,999
"Plat de la Selle",31,283.098430636559,275.308711139294,21.1293189573684,681,0.368668744741938,0.681,999
"Rateau",100,278.169611471313,276.201366806659,8.98028246380946,564,0.219174026272114,0.564,999
"Rocher de la Selle",150,273.505325264251,276.017811337958,5.50354732465899,308,-0.456521208139734,0.308,999
"Rouies",40,251.872930391026,276.16210803845,18.1451111335652,80,-1.33860726829574,0.08,999
"Sirac",76,262.778903064561,275.250200296725,11.6976871910038,160,-1.06613358936071,0.16,999
"Summits",215,275.966701052467,275.966701052467,0,500.5,NA,0.5005,999
