"","Com1","Com2","pd.obs.tot"
"Ecrins NP-Summits",22991.828395,7777.295379,22991.828395
"Ecrins NP-Persistent",22991.828395,5948.454506,22991.828395
"Ecrins NP-Under Ice",22991.828395,4902.455672,22991.828395
"Ecrins NP-Plat de la Selle",22991.828395,2147.536821,22991.828395
"Ecrins NP-Barre des Ecrins",22991.828395,2484.91939,22991.828395
"Ecrins NP-La Meije",22991.828395,2318.891678,22991.828395
"Ecrins NP-Sirac",22991.828395,3683.958571,22991.828395
"Ecrins NP-Rouies",22991.828395,2669.861611,22991.828395
"Ecrins NP-Olan",22991.828395,4169.758211,22991.828395
"Ecrins NP-Pelvoux",22991.828395,2151.666911,22991.828395
"Ecrins NP-Occidentale Ailefroide",22991.828395,2241.33715,22991.828395
"Ecrins NP-Brevoort",22991.828395,1285.657865,22991.828395
"Ecrins NP-Burlan",22991.828395,2452.438158,22991.828395
"Ecrins NP-Rocher de la Selle",22991.828395,6272.057343,22991.828395
"Ecrins NP-Choisy",22991.828395,1614.15254,22991.828395
"Ecrins NP-Muraillette",22991.828395,3365.840476,22991.828395
"Ecrins NP-Rateau",22991.828395,4726.712397,22991.828395
"Ecrins NP-Lauvitel",22991.828395,4310.750376,22991.828395
"Summits-Persistent",7777.295379,5948.454506,7777.295379
"Summits-Under Ice",7777.295379,4902.455672,7777.295379
"Summits-Plat de la Selle",7777.295379,2147.536821,7777.295379
"Summits-Barre des Ecrins",7777.295379,2484.91939,7777.295379
"Summits-La Meije",7777.295379,2318.891678,7777.295379
"Summits-Sirac",7777.295379,3683.958571,7777.295379
"Summits-Rouies",7777.295379,2669.861611,7777.295379
"Summits-Olan",7777.295379,4169.758211,7777.295379
"Summits-Pelvoux",7777.295379,2151.666911,7777.295379
"Summits-Occidentale Ailefroide",7777.295379,2241.33715,7777.295379
"Summits-Brevoort",7777.295379,1285.657865,7777.295379
"Summits-Burlan",7777.295379,2452.438158,7777.295379
"Summits-Rocher de la Selle",7777.295379,6272.057343,7777.295379
"Summits-Choisy",7777.295379,1614.15254,7777.295379
"Summits-Muraillette",7777.295379,3365.840476,7777.295379
"Summits-Rateau",7777.295379,4726.712397,7777.295379
"Summits-Lauvitel",7777.295379,4310.750376,7777.295379
"Persistent-Under Ice",5948.454506,4902.455672,6807.832673
"Persistent-Plat de la Selle",5948.454506,2147.536821,5948.454506
"Persistent-Barre des Ecrins",5948.454506,2484.91939,5957.305534
"Persistent-La Meije",5948.454506,2318.891678,6020.801552
"Persistent-Sirac",5948.454506,3683.958571,5991.633998
"Persistent-Rouies",5948.454506,2669.861611,5948.454506
"Persistent-Olan",5948.454506,4169.758211,6424.916886
"Persistent-Pelvoux",5948.454506,2151.666911,6607.924603
"Persistent-Occidentale Ailefroide",5948.454506,2241.33715,6010.223128
"Persistent-Brevoort",5948.454506,1285.657865,5957.305534
"Persistent-Burlan",5948.454506,2452.438158,5965.843318
"Persistent-Rocher de la Selle",5948.454506,6272.057343,7107.460635
"Persistent-Choisy",5948.454506,1614.15254,5957.305534
"Persistent-Muraillette",5948.454506,3365.840476,5948.454506
"Persistent-Rateau",5948.454506,4726.712397,6737.526267
"Persistent-Lauvitel",5948.454506,4310.750376,5963.718048
"Under Ice-Plat de la Selle",4902.455672,2147.536821,5104.532583
"Under Ice-Barre des Ecrins",4902.455672,2484.91939,4997.733556
"Under Ice-La Meije",4902.455672,2318.891678,5030.406977
"Under Ice-Sirac",4902.455672,3683.958571,5562.543062
"Under Ice-Rouies",4902.455672,2669.861611,5012.828667
"Under Ice-Olan",4902.455672,4169.758211,5733.814109
"Under Ice-Pelvoux",4902.455672,2151.666911,5302.430657
"Under Ice-Occidentale Ailefroide",4902.455672,2241.33715,4902.455672
"Under Ice-Brevoort",4902.455672,1285.657865,4943.539398
"Under Ice-Burlan",4902.455672,2452.438158,4902.455672
"Under Ice-Rocher de la Selle",4902.455672,6272.057343,6837.61216
"Under Ice-Choisy",4902.455672,1614.15254,4947.400898
"Under Ice-Muraillette",4902.455672,3365.840476,5410.595563
"Under Ice-Rateau",4902.455672,4726.712397,5195.269689
"Under Ice-Lauvitel",4902.455672,4310.750376,5851.69106
"Plat de la Selle-Barre des Ecrins",2147.536821,2484.91939,3001.583796
"Plat de la Selle-La Meije",2147.536821,2318.891678,2968.349987
"Plat de la Selle-Sirac",2147.536821,3683.958571,3876.322844
"Plat de la Selle-Rouies",2147.536821,2669.861611,3049.228728
"Plat de la Selle-Olan",2147.536821,4169.758211,4297.099947
"Plat de la Selle-Pelvoux",2147.536821,2151.666911,3339.256088
"Plat de la Selle-Occidentale Ailefroide",2147.536821,2241.33715,2980.808856
"Plat de la Selle-Brevoort",2147.536821,1285.657865,2511.630347
"Plat de la Selle-Burlan",2147.536821,2452.438158,3198.758004
"Plat de la Selle-Rocher de la Selle",2147.536821,6272.057343,6314.422037
"Plat de la Selle-Choisy",2147.536821,1614.15254,2577.599495
"Plat de la Selle-Muraillette",2147.536821,3365.840476,3729.100026
"Plat de la Selle-Rateau",2147.536821,4726.712397,4948.547246
"Plat de la Selle-Lauvitel",2147.536821,4310.750376,4530.938979
"Barre des Ecrins-La Meije",2484.91939,2318.891678,2922.738072
"Barre des Ecrins-Sirac",2484.91939,3683.958571,4045.607637
"Barre des Ecrins-Rouies",2484.91939,2669.861611,3060.328991
"Barre des Ecrins-Olan",2484.91939,4169.758211,4371.827231
"Barre des Ecrins-Pelvoux",2484.91939,2151.666911,3469.842119
"Barre des Ecrins-Occidentale Ailefroide",2484.91939,2241.33715,2933.242913
"Barre des Ecrins-Brevoort",2484.91939,1285.657865,2503.003963
"Barre des Ecrins-Burlan",2484.91939,2452.438158,2982.955173
"Barre des Ecrins-Rocher de la Selle",2484.91939,6272.057343,6278.451158
"Barre des Ecrins-Choisy",2484.91939,1614.15254,2545.219196
"Barre des Ecrins-Muraillette",2484.91939,3365.840476,3664.066379
"Barre des Ecrins-Rateau",2484.91939,4726.712397,4844.1604
"Barre des Ecrins-Lauvitel",2484.91939,4310.750376,4404.327868
"La Meije-Sirac",2318.891678,3683.958571,4111.392914
"La Meije-Rouies",2318.891678,2669.861611,2896.965287
"La Meije-Olan",2318.891678,4169.758211,4584.625438
"La Meije-Pelvoux",2318.891678,2151.666911,3418.28257
"La Meije-Occidentale Ailefroide",2318.891678,2241.33715,2905.229228
"La Meije-Brevoort",2318.891678,1285.657865,2356.473457
"La Meije-Burlan",2318.891678,2452.438158,3029.048438
"La Meije-Rocher de la Selle",2318.891678,6272.057343,6348.784787
"La Meije-Choisy",2318.891678,1614.15254,2425.944895
"La Meije-Muraillette",2318.891678,3365.840476,3615.238372
"La Meije-Rateau",2318.891678,4726.712397,4848.475508
"La Meije-Lauvitel",2318.891678,4310.750376,4464.754887
"Sirac-Rouies",3683.958571,2669.861611,4221.736262
"Sirac-Olan",3683.958571,4169.758211,4897.035109
"Sirac-Pelvoux",3683.958571,2151.666911,4517.291686
"Sirac-Occidentale Ailefroide",3683.958571,2241.33715,4046.611348
"Sirac-Brevoort",3683.958571,1285.657865,3845.857744
"Sirac-Burlan",3683.958571,2452.438158,4066.924016
"Sirac-Rocher de la Selle",3683.958571,6272.057343,6511.145131
"Sirac-Choisy",3683.958571,1614.15254,3929.918989
"Sirac-Muraillette",3683.958571,3365.840476,4596.897489
"Sirac-Rateau",3683.958571,4726.712397,5482.799804
"Sirac-Lauvitel",3683.958571,4310.750376,4945.241851
"Rouies-Olan",2669.861611,4169.758211,4497.210657
"Rouies-Pelvoux",2669.861611,2151.666911,3732.352434
"Rouies-Occidentale Ailefroide",2669.861611,2241.33715,3059.320434
"Rouies-Brevoort",2669.861611,1285.657865,2697.927089
"Rouies-Burlan",2669.861611,2452.438158,3278.525958
"Rouies-Rocher de la Selle",2669.861611,6272.057343,6329.408978
"Rouies-Choisy",2669.861611,1614.15254,2718.758632
"Rouies-Muraillette",2669.861611,3365.840476,3727.813307
"Rouies-Rateau",2669.861611,4726.712397,4817.190394
"Rouies-Lauvitel",2669.861611,4310.750376,4404.972437
"Olan-Pelvoux",4169.758211,2151.666911,4484.891809
"Olan-Occidentale Ailefroide",4169.758211,2241.33715,4429.34561
"Olan-Brevoort",4169.758211,1285.657865,4170.888344
"Olan-Burlan",4169.758211,2452.438158,4551.72318
"Olan-Rocher de la Selle",4169.758211,6272.057343,6462.092236
"Olan-Choisy",4169.758211,1614.15254,4170.888344
"Olan-Muraillette",4169.758211,3365.840476,4924.360842
"Olan-Rateau",4169.758211,4726.712397,5628.54691
"Olan-Lauvitel",4169.758211,4310.750376,5210.860462
"Pelvoux-Occidentale Ailefroide",2151.666911,2241.33715,3248.287813
"Pelvoux-Brevoort",2151.666911,1285.657865,2573.895651
"Pelvoux-Burlan",2151.666911,2452.438158,3425.991497
"Pelvoux-Rocher de la Selle",2151.666911,6272.057343,6570.201776
"Pelvoux-Choisy",2151.666911,1614.15254,2774.870129
"Pelvoux-Muraillette",2151.666911,3365.840476,4400.48797
"Pelvoux-Rateau",2151.666911,4726.712397,5161.061858
"Pelvoux-Lauvitel",2151.666911,4310.750376,5098.616883
"Occidentale Ailefroide-Brevoort",2241.33715,1285.657865,2447.066399
"Occidentale Ailefroide-Burlan",2241.33715,2452.438158,3047.975386
"Occidentale Ailefroide-Rocher de la Selle",2241.33715,6272.057343,6341.129216
"Occidentale Ailefroide-Choisy",2241.33715,1614.15254,2564.675532
"Occidentale Ailefroide-Muraillette",2241.33715,3365.840476,3734.479924
"Occidentale Ailefroide-Rateau",2241.33715,4726.712397,4935.260444
"Occidentale Ailefroide-Lauvitel",2241.33715,4310.750376,4495.111423
"Brevoort-Burlan",1285.657865,2452.438158,2593.549074
"Brevoort-Rocher de la Selle",1285.657865,6272.057343,6272.057343
"Brevoort-Choisy",1285.657865,1614.15254,1614.15254
"Brevoort-Muraillette",1285.657865,3365.840476,3410.610451
"Brevoort-Rateau",1285.657865,4726.712397,4760.938995
"Brevoort-Lauvitel",1285.657865,4310.750376,4319.601404
"Burlan-Rocher de la Selle",2452.438158,6272.057343,6346.531362
"Burlan-Choisy",2452.438158,1614.15254,2662.518312
"Burlan-Muraillette",2452.438158,3365.840476,3644.78465
"Burlan-Rateau",2452.438158,4726.712397,4981.93204
"Burlan-Lauvitel",2452.438158,4310.750376,4470.417288
"Rocher de la Selle-Choisy",6272.057343,1614.15254,6275.918843
"Rocher de la Selle-Muraillette",6272.057343,3365.840476,6441.526491
"Rocher de la Selle-Rateau",6272.057343,4726.712397,6853.037546
"Rocher de la Selle-Lauvitel",6272.057343,4310.750376,6535.114006
"Choisy-Muraillette",1614.15254,3365.840476,3484.495536
"Choisy-Rateau",1614.15254,4726.712397,4777.085327
"Choisy-Lauvitel",1614.15254,4310.750376,4340.985094
"Muraillette-Rateau",3365.840476,4726.712397,5434.708503
"Muraillette-Lauvitel",3365.840476,4310.750376,4611.974884
"Rateau-Lauvitel",4726.712397,4310.750376,5789.363158
