"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,NA,1.06438088733271,NA,1.73271270177919,1.07153966799565,NA,0.961919824341133,NA,0.499833565671458,-0.285331030792204,NA,NA,0.629215013541666,NA,NA
"Ecrins NP",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Meije",1.06438088733271,NA,0,NA,NA,0.148901979382988,3.42750659733477,-0.735446669586098,NA,1.75654991374041,NA,NA,NA,-1.76502755952064,NA,NA
"Lauvitel",NA,NA,NA,0,-0.243342939279964,-1.33750993204971,-0.0151452308682241,-1.15749785871201,0.0609368524951613,-0.130027361649808,-1.060702223548,0.400758043805121,-1.31330466298228,-0.672824355103286,NA,-0.267149519173427
"Muraillette",1.73271270177919,NA,NA,-0.243342939279964,0,-1.89200189114029,2.52848527876131,1.54718622498867,NA,1.7846453517064,-0.102123143925531,0.637784502479926,0.368921485643635,-0.690599147598796,NA,0.70486941825156
"Occidentale Ailefroide",1.07153966799565,NA,0.148901979382988,-1.33750993204971,-1.89200189114029,0,-1.80385101200799,-0.688134727168102,NA,-2.2224400034448,-1.69699038215872,-1.02772691385213,-0.899051253386516,-1.8191520462589,NA,NA
"Olan",NA,NA,3.42750659733477,-0.0151452308682241,2.52848527876131,-1.80385101200799,0,-1.23770055215569,NA,NA,0.0512777218306971,-0.952798850272947,0.104755799027403,-1.06810888049276,NA,0.438773856406613
"Pelvoux",0.961919824341133,NA,-0.735446669586098,-1.15749785871201,1.54718622498867,-0.688134727168102,-1.23770055215569,0,NA,-0.480612457688897,NA,NA,-1.21918569449366,-0.262547440206252,NA,NA
"Persistent",NA,NA,NA,0.0609368524951613,NA,NA,NA,NA,0,NA,0.698916867906517,-0.611579584194373,NA,0.282979078677146,NA,0.891813237007149
"Plat de la Selle",0.499833565671458,NA,1.75654991374041,-0.130027361649808,1.7846453517064,-2.2224400034448,NA,-0.480612457688897,NA,0,0.303765414798255,NA,-0.297993415903383,-0.743727178689827,NA,0.388562795252057
"Rateau",-0.285331030792204,NA,NA,-1.060702223548,-0.102123143925531,-1.69699038215872,0.0512777218306971,NA,0.698916867906517,0.303765414798255,0,0.350147939457064,-1.64201929951601,-0.924207225780241,NA,-0.88022834930319
"Rocher de la Selle",NA,NA,NA,0.400758043805121,0.637784502479926,-1.02772691385213,-0.952798850272947,NA,-0.611579584194373,NA,0.350147939457064,0,-0.542615779899446,-0.991432818298866,NA,0.0826067604269567
"Rouies",NA,NA,NA,-1.31330466298228,0.368921485643635,-0.899051253386516,0.104755799027403,-1.21918569449366,NA,-0.297993415903383,-1.64201929951601,-0.542615779899446,0,-0.781359622954935,NA,NA
"Sirac",0.629215013541666,NA,-1.76502755952064,-0.672824355103286,-0.690599147598796,-1.8191520462589,-1.06810888049276,-0.262547440206252,0.282979078677146,-0.743727178689827,-0.924207225780241,-0.991432818298866,-0.781359622954935,0,NA,0.0714480265604012
"Summits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Under Ice",NA,NA,NA,-0.267149519173427,0.70486941825156,NA,0.438773856406613,NA,0.891813237007149,0.388562795252057,-0.88022834930319,0.0826067604269567,NA,0.0714480265604012,NA,0
