"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,NA,1.06347154321148,NA,1.70428096333967,1.09113759589401,NA,0.918070627639363,NA,0.556090058080058,-0.243137798357693,NA,NA,0.706864373706725,NA,NA
"Ecrins NP",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Meije",1.06347154321148,NA,0,NA,NA,0.220350771797079,3.01550424518265,-0.651371176599315,NA,1.60730095794475,NA,NA,NA,-2.03990046286103,NA,NA
"Lauvitel",NA,NA,NA,0,-0.204098838028588,-1.46144075526837,0.0358511580591654,-1.30657325765783,0.0881746491929362,-0.0653548894848908,-1.08890860680749,0.437158589572931,-1.39609874583041,-0.655207646418234,NA,-0.240989909019687
"Muraillette",1.70428096333967,NA,NA,-0.204098838028588,0,-2.20757158842684,2.30104448009336,1.53316550222487,NA,1.77478383628692,-0.0602610299518836,0.670731101023,0.416532876395162,-0.668773222439854,NA,0.748503377153097
"Occidentale Ailefroide",1.09113759589401,NA,0.220350771797079,-1.46144075526837,-2.20757158842684,0,-2.08763195254566,-0.60097015187565,NA,-2.50782411693936,-1.96179173654241,-1.08136850598934,-0.92916101477931,-2.10365305321723,NA,NA
"Olan",NA,NA,3.01550424518265,0.0358511580591654,2.30104448009336,-2.08763195254566,0,-1.40556167428409,NA,NA,0.104450171642033,-0.985008821621522,0.152911724909507,-1.08682067806552,NA,0.489186527974613
"Pelvoux",0.918070627639363,NA,-0.651371176599315,-1.30657325765783,1.53316550222487,-0.60097015187565,-1.40556167428409,0,NA,-0.381253418429259,NA,NA,-1.37947736892255,-0.200243805953314,NA,NA
"Persistent",NA,NA,NA,0.0881746491929362,NA,NA,NA,NA,0,NA,0.737873357870755,-0.598603851370571,NA,0.318869945122881,NA,0.928057671148962
"Plat de la Selle",0.556090058080058,NA,1.60730095794475,-0.0653548894848908,1.77478383628692,-2.50782411693936,NA,-0.381253418429259,NA,0,0.371025140200777,NA,-0.243787139470117,-0.742900228627052,NA,0.451377483650187
"Rateau",-0.243137798357693,NA,NA,-1.08890860680749,-0.0602610299518836,-1.96179173654241,0.104450171642033,NA,0.737873357870755,0.371025140200777,0,0.383319137909896,-1.80613805855,-0.922531433142009,NA,-0.887966157513254
"Rocher de la Selle",NA,NA,NA,0.437158589572931,0.670731101023,-1.08136850598934,-0.985008821621522,NA,-0.598603851370571,NA,0.383319137909896,0,-0.537247697502533,-1.01679331501317,NA,0.11278876593505
"Rouies",NA,NA,NA,-1.39609874583041,0.416532876395162,-0.92916101477931,0.152911724909507,-1.37947736892255,NA,-0.243787139470117,-1.80613805855,-0.537247697502533,0,-0.778227485955459,NA,NA
"Sirac",0.706864373706725,NA,-2.03990046286103,-0.655207646418234,-0.668773222439854,-2.10365305321723,-1.08682067806552,-0.200243805953314,0.318869945122881,-0.742900228627052,-0.922531433142009,-1.01679331501317,-0.778227485955459,0,NA,0.119798798914723
"Summits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Under Ice",NA,NA,NA,-0.240989909019687,0.748503377153097,NA,0.489186527974613,NA,0.928057671148962,0.451377483650187,-0.887966157513254,0.11278876593505,NA,0.119798798914723,NA,0
