"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0,0.279165680107499,0,0.279165680107498,0.279165680107498,0,0.681535142126854,0,0.395389593643648,0.0842134126620586,0,0,0.293547669967749,0,0
"Ecrins NP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Meije",0.279165680107499,0,0,0,0,0.278079694614819,0.368354331325026,0.360347729270563,0,0.439162875124305,0,0,0,0.0238698285571015,0,0
"Lauvitel",0,0,0,0,0.166279970382676,0.112838529604288,0.195498646277611,0.0273567524714083,0.0315067549111811,0.155104183848458,0.100002831647227,0.0697906440055459,0.00482922812945747,0.199324080379173,0,0.0654657559537632
"Muraillette",0.279165680107498,0,0,0.166279970382676,0,0.0131995997461879,0.403891555311094,0.332990976799155,0,0.201240939962153,0.12259112444383,0.045880925741135,0.220190040353654,0.179854359518236,0,0.110837892854776
"Occidentale Ailefroide",0.279165680107498,0,0.278079694614819,0.112838529604288,0.0131995997461879,0,0.02794980206344,0.337537247721633,0,0.110861364618483,0.0131995997461879,0.0102597926337539,0.102578736970535,0.0131995997461879,0,0
"Olan",0,0,0.368354331325026,0.195498646277611,0.403891555311094,0.02794980206344,0,0.0273567524714083,0,0,0.182834966377653,0.00787684601091404,0.195498646277611,0.245108961672092,0,0.152173991553923
"Pelvoux",0.681535142126854,0,0.360347729270563,0.0273567524714083,0.332990976799155,0.337537247721633,0.0273567524714083,0,0,0.360347729270564,0,0,0.0273567524714083,0.115431271940889,0,0
"Persistent",0,0,0,0.0315067549111811,0,0,0,0,0,0,0.0727029689272836,0.0965559271129323,0,0.0658112590939882,0,0.0731202896880375
"Plat de la Selle",0.395389593643648,0,0.439162875124305,0.155104183848458,0.201240939962153,0.110861364618483,0,0.360347729270564,0,0,0.0886284691798791,0,0.155104183848458,0.102481380554554,0,0.0886284691798791
"Rateau",0.0842134126620586,0,0,0.100002831647227,0.12259112444383,0.0131995997461879,0.182834966377653,0,0.0727029689272836,0.0886284691798791,0,0.106216910950348,0.0433422860356271,0.196697682172242,0,0.03561445905446
"Rocher de la Selle",0,0,0,0.0697906440055459,0.045880925741135,0.0102597926337539,0.00787684601091404,0,0.0965559271129323,0,0.106216910950348,0,0.0447858866651706,0.0446610088605332,0,0.0693174855340013
"Rouies",0,0,0,0.00482922812945747,0.220190040353654,0.102578736970535,0.195498646277611,0.0273567524714083,0,0.155104183848458,0.0433422860356271,0.0447858866651706,0,0.142028798833225,0,0
"Sirac",0.293547669967749,0,0.0238698285571015,0.199324080379173,0.179854359518236,0.0131995997461879,0.245108961672092,0.115431271940889,0.0658112590939882,0.102481380554554,0.196697682172242,0.0446610088605332,0.142028798833225,0,0,0.183118495556508
"Summits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Under Ice",0,0,0,0.0654657559537632,0.110837892854776,0,0.152173991553923,0,0.0731202896880375,0.0886284691798791,0.03561445905446,0.0693174855340013,0,0.183118495556508,0,0
