"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0,0.436480878824138,0,0.436480878824138,0.436480878824138,0,0.810610643872514,0,0.566708531358909,0.155344716600194,0,0,0.453864479497796,0,0
"Ecrins NP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Meije",0.436480878824138,0,0,0,0,0.435152355188031,0.538390273473005,0.529787673426392,0,0.610303229349733,0,0,0,0.0466266861105582,0,0
"Lauvitel",0,0,0,0,0.285145890532814,0.202794074077238,0.327057913258755,0.0532565779231,0.0610887999737704,0.268554449057051,0.181822862214774,0.130475330657657,0.00961203753686054,0.332394027002535,0,0.122886644808515
"Muraillette",0.436480878824138,0,0,0.285145890532814,0,0.0260552802221683,0.575388538784385,0.499614749979403,0,0.335055080571086,0.218407435751936,0.0877364231661892,0.360911059870371,0.304875526487311,0,0.199557277560869
"Occidentale Ailefroide",0.436480878824138,0,0.435152355188031,0.202794074077238,0.0260552802221683,0,0.0543797022137373,0.504714539047934,0,0.19959531972121,0.0260552802221683,0.0203111966022255,0.186070588033253,0.0260552802221683,0,0
"Olan",0,0,0.538390273473005,0.327057913258755,0.575388538784385,0.0543797022137373,0,0.0532565779231001,0,0,0.309147043458771,0.0156305724098929,0.327057913258755,0.393714878323465,0,0.264151061678953
"Pelvoux",0.810610643872514,0,0.529787673426392,0.0532565779231,0.499614749979403,0.504714539047934,0.0532565779231001,0,0,0.529787673426392,0,0,0.0532565779231,0.206971554132662,0,0
"Persistent",0,0,0,0.0610887999737704,0,0,0,0,0,0,0.135550979223983,0.176107619731079,0,0.123495147067469,0,0.136276036136254
"Plat de la Selle",0.566708531358909,0,0.610303229349733,0.268554449057051,0.335055080571086,0.19959531972121,0,0.529787673426392,0,0,0.162825925812224,0,0.26855444905705,0.185910406038795,0,0.162825925812224
"Rateau",0.155344716600194,0,0,0.181822862214774,0.218407435751936,0.0260552802221683,0.309147043458771,0,0.135550979223983,0.162825925812224,0,0.192036317468871,0.0830835414527559,0.328734124085871,0,0.0687793777753487
"Rocher de la Selle",0,0,0,0.130475330657657,0.0877364231661892,0.0203111966022255,0.0156305724098929,0,0.176107619731079,0,0.192036317468871,0,0.0857321815632899,0.0855033517700585,0,0.129648091369955
"Rouies",0,0,0,0.00961203753686054,0.360911059870371,0.186070588033253,0.327057913258755,0.0532565779231,0,0.26855444905705,0.0830835414527559,0.0857321815632899,0,0.248730678207646,0,0
"Sirac",0.453864479497796,0,0.0466266861105582,0.332394027002535,0.304875526487311,0.0260552802221683,0.393714878323465,0.206971554132662,0.123495147067469,0.185910406038795,0.328734124085871,0.0855033517700585,0.248730678207646,0,0,0.309552248983098
"Summits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Under Ice",0,0,0,0.122886644808515,0.199557277560869,0,0.264151061678953,0,0.136276036136254,0.162825925812224,0.0687793777753487,0.129648091369955,0,0.309552248983098,0,0
