"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.786691826974066,0.689342568316469,0.572428319721485,1.27093066374859,1.0384014776852,2.14078255778464,-0.734456620619471,0.832815303868912,-0.245115154125141,0.0247042891341791,0.161394848245252,-0.434984654011796,-0.416518227225796,0.767459160828488,1.02345170942508
"Ecrins NP",0.786691826974066,0,0.352490963362645,0.375947068477518,-0.735440136412047,-0.613152106974873,-1.47849549385642,0.741977492271293,-0.187022972410557,0.754190693391087,-0.774602423601687,1.1983376274488,-0.405928037412951,0.314682208490042,-0.0435979673332944,-0.477802631657566
"La Meije",0.689342568316469,0.352490963362645,0,0.441286738044959,0.636350438370259,-0.5899644957623,0.528297848016717,-0.245473580234128,0.454332037845277,0.490723401147343,0.143636176355055,-0.476405876252446,-0.725380058217368,0.905604082997598,0.363522737727393,0.0401513674574013
"Lauvitel",0.572428319721485,0.375947068477518,0.441286738044959,0,-0.764120631440373,-0.626306806839521,-1.70752069592513,-0.315755598525532,0.976078498954664,0.533925605298592,-0.104543928805149,0.701913538256117,-0.414818502416834,0.0149331293107229,0.593378841737268,0.144054777299356
"Muraillette",1.27093066374859,-0.735440136412047,0.636350438370259,-0.764120631440373,0,0.315652968275635,-1.01476861845621,0.736068969172592,-0.649324974010467,1.20035902779319,0.594748763430962,-1.87274809625724,-0.229203894803821,-0.376555243530191,-0.748912138145517,0.940978191766035
"Occidentale Ailefroide",1.0384014776852,-0.613152106974873,-0.5899644957623,-0.626306806839521,0.315652968275635,0,0.583659074730644,0.632859921501763,-0.511667703291886,0.732310170845782,0.328574250398104,-1.05812034545219,-0.0488138687298427,-0.269150249543308,-0.594614915189066,-0.29762395147698
"Olan",2.14078255778464,-1.47849549385642,0.528297848016717,-1.70752069592513,-1.01476861845621,0.583659074730644,0,1.30772161329852,-1.31756399010592,1.43372870718127,0.179319192176392,-2.25262242697164,-0.293776680038367,-0.557364786436112,-1.40546655770481,0.692121220263513
"Pelvoux",-0.734456620619471,0.741977492271293,-0.245473580234128,-0.315755598525532,0.736068969172592,0.632859921501763,1.30772161329852,0,0.237065533620487,-0.699554021193531,0.763244871210879,-1.20065211660639,0.461979507095257,-0.224076101846014,0.0946914420459706,0.513559945389199
"Persistent",0.832815303868912,-0.187022972410557,0.454332037845277,0.976078498954664,-0.649324974010467,-0.511667703291886,-1.31756399010592,0.237065533620487,0,0.791644341870793,-0.223216472928134,1.04572525643349,-0.316184645018884,0.478289873361274,-0.337565442185823,0.0536938561305796
"Plat de la Selle",-0.245115154125141,0.754190693391087,0.490723401147343,0.533925605298592,1.20035902779319,0.732310170845782,1.43372870718127,-0.699554021193531,0.791644341870793,0,1.16053042290897,0.122025528011294,0.614936805779929,0.531603972776303,0.727849792721209,0.998685743756616
"Rateau",0.0247042891341791,-0.774602423601687,0.143636176355055,-0.104543928805149,0.594748763430962,0.328574250398104,0.179319192176392,0.763244871210879,-0.223216472928134,1.16053042290897,0,0.58607863278234,-0.765449923957245,0.0560142300857475,-0.740110663262489,-0.0277784993466982
"Rocher de la Selle",0.161394848245252,1.1983376274488,-0.476405876252446,0.701913538256117,-1.87274809625724,-1.05812034545219,-2.25262242697164,-1.20065211660639,1.04572525643349,0.122025528011294,0.58607863278234,0,-0.832528381409373,0.661904391628306,2.0025760285502,0.373387413361666
"Rouies",-0.434984654011796,-0.405928037412951,-0.725380058217368,-0.414818502416834,-0.229203894803821,-0.0488138687298427,-0.293776680038367,0.461979507095257,-0.316184645018884,0.614936805779929,-0.765449923957245,-0.832528381409373,0,-0.760976138448923,-0.394504136647528,-0.847267315894253
"Sirac",-0.416518227225796,0.314682208490042,0.905604082997598,0.0149331293107229,-0.376555243530191,-0.269150249543308,-0.557364786436112,-0.224076101846014,0.478289873361274,0.531603972776303,0.0560142300857475,0.661904391628306,-0.760976138448923,0,0.352912859410623,-0.444713172971569
"Summits",0.767459160828488,-0.0435979673332944,0.363522737727393,0.593378841737268,-0.748912138145517,-0.594614915189066,-1.40546655770481,0.0946914420459706,-0.337565442185823,0.727849792721209,-0.740110663262489,2.0025760285502,-0.394504136647528,0.352912859410623,0,-0.538829498585499
"Under Ice",1.02345170942508,-0.477802631657566,0.0401513674574013,0.144054777299356,0.940978191766035,-0.29762395147698,0.692121220263513,0.513559945389199,0.0536938561305796,0.998685743756616,-0.0277784993466982,0.373387413361666,-0.847267315894253,-0.444713172971569,-0.538829498585499,0
