"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.786691826974066,0.119039394619523,0.572428319721485,1.27093066374859,0.748891997604357,2.14078255778464,-0.734456620619472,0.83281530386891,-0.845875618883902,1.58993773565331,0.16139484824525,1.4138310403307,1.0257760264699,0.767459160828488,1.02345170942508
"Ecrins NP",0.786691826974066,0,0.352490963362645,0.375947068477515,-0.735440136412047,-0.613152106974873,-1.47849549385642,0.741977492271293,-0.187022972410557,0.754190693391087,-0.774602423601687,1.1983376274488,-0.405928037412951,0.314682208490042,-0.0435979673332959,-0.477802631657566
"La Meije",0.119039394619523,0.352490963362645,0,-0.124705561032915,0.797196644132721,-1.25855220595926,-0.607982390748964,-0.245473580234128,0.454332037845277,0.490723401147343,0.721509435043708,-0.476405876252447,-1.03543002371839,-0.19393024778696,0.363522737727393,0.866906652062956
"Lauvitel",0.572428319721485,0.375947068477515,-0.124705561032915,0,-1.04725963176995,-0.774248944608385,-1.70752069592513,-0.315755598525532,0.976078498954667,0.533925605298592,-1.05010578192716,-0.500866662659243,-0.63733933177905,0.0149331293107229,0.593378841737271,-0.89680137731694
"Muraillette",1.27093066374859,-0.735440136412047,0.797196644132721,-1.04725963176995,0,-0.185057112281528,-1.01476861845621,0.736068969172592,-0.649324974010469,1.20035902779319,-0.660437386600452,-1.87274809625724,0.152522359080086,0.094726572594001,-0.748912138145518,-0.52145441817294
"Occidentale Ailefroide",0.748891997604357,-0.613152106974873,-1.25855220595926,-0.774248944608385,-0.185057112281528,0,-0.189085035349789,0.632859921501763,-0.511667703291886,0.922305864246055,-0.171116683843971,-1.19037575245487,-0.635258305673012,-0.779992009003614,-0.594614915189066,-0.29762395147698
"Olan",2.14078255778464,-1.47849549385642,-0.607982390748964,-1.70752069592513,-1.01476861845621,-0.189085035349789,0,1.30772161329852,-1.31756399010592,1.12866284568146,-0.812211003082686,-2.25262242697165,0.0843529428970464,-1.41291900221579,-1.40546655770481,-1.38721495410983
"Pelvoux",-0.734456620619472,0.741977492271293,-0.245473580234128,-0.315755598525532,0.736068969172592,0.632859921501763,1.30772161329852,0,0.237065533620487,-0.699554021193531,0.763244871210879,-1.20065211660639,0.461979507095257,-0.224076101846014,0.0946914420459706,0.513559945389196
"Persistent",0.83281530386891,-0.187022972410557,0.454332037845277,0.976078498954667,-0.649324974010469,-0.511667703291886,-1.31756399010592,0.237065533620487,0,0.791644341870793,-0.688941795800153,2.42860681418749,-0.316184645018883,0.478289873361274,-0.337565442185824,-0.446582981554601
"Plat de la Selle",-0.845875618883902,0.754190693391087,0.490723401147343,0.533925605298592,1.20035902779319,0.922305864246055,1.12866284568146,-0.699554021193531,0.791644341870793,0,0.490102680120099,0.122025528011294,0.799371900380234,0.531603972776303,0.727849792721209,0.998685743756618
"Rateau",1.58993773565331,-0.774602423601687,0.721509435043708,-1.05010578192716,-0.660437386600452,-0.171116683843971,-0.812211003082686,0.763244871210879,-0.688941795800153,0.490102680120099,0,-1.63060544396249,0.281962088532916,-0.969682643438161,-0.74011066326249,-0.393985191887234
"Rocher de la Selle",0.16139484824525,1.1983376274488,-0.476405876252447,-0.500866662659243,-1.87274809625724,-1.19037575245487,-2.25262242697165,-1.20065211660639,2.42860681418749,0.122025528011294,-1.63060544396249,0,-1.05200551123247,-0.927374831795004,2.0025760285502,-1.49746987267373
"Rouies",1.4138310403307,-0.405928037412951,-1.03543002371839,-0.63733933177905,0.152522359080086,-0.635258305673012,0.0843529428970464,0.461979507095257,-0.316184645018883,0.799371900380234,0.281962088532916,-1.05200551123247,0,-0.44708832786477,-0.394504136647527,0.236485096327344
"Sirac",1.0257760264699,0.314682208490042,-0.19393024778696,0.0149331293107229,0.094726572594001,-0.779992009003614,-1.41291900221579,-0.224076101846014,0.478289873361274,0.531603972776303,-0.969682643438161,-0.927374831795004,-0.44708832786477,0,0.352912859410625,0.888434149145228
"Summits",0.767459160828488,-0.0435979673332959,0.363522737727393,0.593378841737271,-0.748912138145518,-0.594614915189066,-1.40546655770481,0.0946914420459706,-0.337565442185824,0.727849792721209,-0.74011066326249,2.0025760285502,-0.394504136647527,0.352912859410625,0,-0.538829498585499
"Under Ice",1.02345170942508,-0.477802631657566,0.866906652062956,-0.89680137731694,-0.52145441817294,-0.29762395147698,-1.38721495410983,0.513559945389196,-0.446582981554601,0.998685743756618,-0.393985191887234,-1.49746987267373,0.236485096327344,0.888434149145228,-0.538829498585499,0
