"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,NA,0.477961651086109,NA,NA,0.32913759589521,NA,NA,NA,0.338932547113502,-1.17382101873162,NA,-1.38103545452604,-1.08352727345163,NA,NA
"Ecrins NP",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Meije",0.477961651086109,NA,0,0.59575143133233,0.0255389437825837,0.159261550196239,0.768669237885319,NA,NA,NA,-0.227227510245632,NA,-0.0664789771142952,0.944957454866851,NA,-0.831834932483462
"Lauvitel",NA,NA,0.59575143133233,0,0.318965493875381,0.212106972663605,NA,NA,NA,NA,0.801062679703301,1.18091383643578,0.253666427143843,NA,NA,0.80317178504957
"Muraillette",NA,NA,0.0255389437825837,0.318965493875381,0,0.391078043034502,NA,NA,NA,NA,0.793714626928234,NA,-0.272688023338003,-0.404908302622505,NA,1.24912124859548
"Occidentale Ailefroide",0.32913759589521,NA,0.159261550196239,0.212106972663605,0.391078043034502,0,0.700184686821924,NA,NA,-0.0353377179963237,0.403584226327886,0.24087195943026,0.417799860730954,0.345547226914277,NA,NA
"Olan",NA,NA,0.768669237885319,NA,NA,0.700184686821924,0,NA,NA,0.341560263409435,0.572993949978733,NA,-0.340390128751089,0.523138256126021,NA,1.99080827579082
"Pelvoux",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Persistent",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.532620425923177,-1.25078155941859,NA,NA,NA,0.606304259629641
"Plat de la Selle",0.338932547113502,NA,NA,NA,NA,-0.0353377179963237,0.341560263409435,NA,NA,0,0.48284435530175,NA,-0.033038200799781,NA,NA,NA
"Rateau",-1.17382101873162,NA,-0.227227510245632,0.801062679703301,0.793714626928234,0.403584226327886,0.572993949978733,NA,0.532620425923177,0.48284435530175,0,1.63902269700286,-0.863759029295888,0.55812649870909,NA,0.370297548356515
"Rocher de la Selle",NA,NA,NA,1.18091383643578,NA,0.24087195943026,NA,NA,-1.25078155941859,NA,1.63902269700286,0,0.281597036470143,1.80377249714182,NA,1.49465997399903
"Rouies",-1.38103545452604,NA,-0.0664789771142952,0.253666427143843,-0.272688023338003,0.417799860730954,-0.340390128751089,NA,NA,-0.033038200799781,-0.863759029295888,0.281597036470143,0,-0.359431622000517,NA,-1.05334082476556
"Sirac",-1.08352727345163,NA,0.944957454866851,NA,-0.404908302622505,0.345547226914277,0.523138256126021,NA,NA,NA,0.55812649870909,1.80377249714182,-0.359431622000517,0,NA,-1.07722524660842
"Summits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Under Ice",NA,NA,-0.831834932483462,0.80317178504957,1.24912124859548,NA,1.99080827579082,NA,0.606304259629641,NA,0.370297548356515,1.49465997399903,-1.05334082476556,-1.07722524660842,NA,0
