"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0,0.295820021668932,0,0,0.295820021668932,0,0,0,0.295820021668932,0.083469366319278,0,0.083469366319278,0.083469366319278,0,0
"Ecrins NP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Meije",0.295820021668932,0,0,0.136218683601246,0.227050264695755,0.300140430278875,0.506819416640865,0,0,0,0.322080283732305,0,0.271338990582113,0.318155553770136,0,0.0451133945268644
"Lauvitel",0,0,0.136218683601246,0,0.0930256964111667,0.118736540787924,0,0,0,0,0.22194374416586,0.0713822856186348,0.123697692438425,0,0,0.22071317542341
"Muraillette",0,0,0.227050264695755,0.0930256964111667,0,0.300563442807594,0,0,0,0,0.550491277369566,0,0.354780703985208,0.281208260495413,0,0.251053165473327
"Occidentale Ailefroide",0.295820021668932,0,0.300140430278875,0.118736540787924,0.300563442807594,0,0.32529060411704,0,0,0.246946751017762,0.32249003892073,0.118736540787923,0.147641298143689,0.300563442807594,0,0
"Olan",0,0,0.506819416640865,0,0,0.32529060411704,0,0,0,0.298373987374315,0.477447272375679,0,0.380541036686784,0.317656045364647,0,0.282514165913833
"Pelvoux",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persistent",0,0,0,0,0,0,0,0,0,0,0.105838188131121,0.00177759423793905,0,0,0,0.0784914773536569
"Plat de la Selle",0.295820021668932,0,0,0,0,0.246946751017762,0.298373987374315,0,0,0,0.292549399569398,0,0.246946751017762,0,0,0
"Rateau",0.083469366319278,0,0.322080283732305,0.22194374416586,0.550491277369566,0.32249003892073,0.477447272375679,0,0.105838188131121,0.292549399569398,0,0.383592589319848,0.180488089476386,0.33407952294781,0,0.11610555603474
"Rocher de la Selle",0,0,0,0.0713822856186348,0,0.118736540787923,0,0,0.00177759423793905,0,0.383592589319848,0,0.123697692438424,0.167869055517689,0,0.264629340700938
"Rouies",0.083469366319278,0,0.271338990582113,0.123697692438425,0.354780703985208,0.147641298143689,0.380541036686784,0,0,0.246946751017762,0.180488089476386,0.123697692438424,0,0.347069490585459,0,0.0339476490703554
"Sirac",0.083469366319278,0,0.318155553770136,0,0.281208260495413,0.300563442807594,0.317656045364647,0,0,0,0.33407952294781,0.167869055517689,0.347069490585459,0,0,0.0820934982817767
"Summits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Under Ice",0,0,0.0451133945268644,0.22071317542341,0.251053165473327,0,0.282514165913833,0,0.0784914773536569,0,0.11610555603474,0.264629340700938,0.0339476490703554,0.0820934982817767,0,0
