"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.919116878435987,0.704364088262515,0.764127581784863,0.672635248336248,0.704520598891565,0.578984710194237,0.295820021668933,0.803678623876162,0.458098032818938,0.679271257595305,0.755055609497826,0.560861248775099,0.667303626483627,0.814628078678315,0.732671475388211
"Ecrins NP",0.919116878435987,0,0.831270026242147,0.657089530958893,0.752926602045749,0.831167979060317,0.807885548286552,0.943043725209704,0.588006547422567,0.918822458453117,0.775615574516081,0.669789859656758,0.837939336252443,0.783929902159994,0.563671126741723,0.69743924004567
"La Meije",0.704364088262515,0.831270026242147,0,0.601672773137908,0.543001783386458,0.461954919624563,0.700268979093624,0.662441275122614,0.590454720330439,0.51889080677875,0.589617993206954,0.489022434070426,0.444826391027458,0.573506804490652,0.613296336550306,0.480553994096474
"Lauvitel",0.764127581784863,0.657089530958893,0.601672773137908,0,0.387558066919354,0.590074055233801,0.439753320303505,0.833903365652369,0.167679809240031,0.763268990375584,0.555439949146272,0.163289600213581,0.608730141787834,0.369893551386137,0.214100899442133,0.424487208952162
"Muraillette",0.672635248336248,0.752926602045749,0.543001783386458,0.387558066919354,0,0.603491946896441,0.222439755537661,0.769476296267064,0.400297756169283,0.671443618701863,0.727835674380069,0.251769198555117,0.656680318762919,0.495476932703001,0.433745018730401,0.49245677301646
"Occidentale Ailefroide",0.704520598891565,0.831167979060317,0.461954919624563,0.590074055233801,0.603491946896441,0,0.538878911753271,0.662645305829492,0.590207029059639,0.676347520368879,0.589768185677233,0.575210114932187,0.283385409903833,0.557418577932139,0.613062459793381,0.441989698316572
"Olan",0.578984710194237,0.807885548286552,0.700268979093624,0.439753320303505,0.222439755537661,0.538878911753271,0,0.703529462347529,0.533695376682374,0.736722741888855,0.682419836926511,0.418205475114265,0.604429506486925,0.526922299569281,0.559702638335993,0.613717591664941
"Pelvoux",0.295820021668933,0.943043725209704,0.662441275122614,0.833903365652369,0.769476296267064,0.662645305829492,0.703529462347529,0,0.861754417615191,0.298373987374315,0.746166541338773,0.827515064403862,0.648549663606112,0.736399088260375,0.869464804460508,0.811752605331594
"Persistent",0.803678623876162,0.588006547422567,0.590454720330439,0.167679809240031,0.400297756169283,0.590207029059639,0.533695376682374,0.861754417615191,0,0.802964000910606,0.539553145140312,0.201069331071618,0.606642623241451,0.475549680490623,0.055773115583939,0.3601434174647
"Plat de la Selle",0.458098032818938,0.918822458453117,0.51889080677875,0.763268990375584,0.671443618701863,0.676347520368879,0.736722741888855,0.298373987374315,0.802964000910606,0,0.768555043457995,0.754163995501464,0.66431303398255,0.624299973210578,0.813953312462016,0.731698381643619
"Rateau",0.679271257595305,0.775615574516081,0.589617993206954,0.555439949146272,0.727835674380069,0.589768185677233,0.682419836926511,0.746166541338773,0.539553145140312,0.768555043457995,0,0.667744200549958,0.476369843474921,0.514832998086514,0.485744723221424,0.396456854120298
"Rocher de la Selle",0.755055609497826,0.669789859656758,0.489022434070426,0.163289600213581,0.251769198555117,0.575210114932187,0.418205475114265,0.827515064403862,0.201069331071618,0.754163995501464,0.667744200549958,0,0.594542672347217,0.509392550635662,0.243208138216011,0.457696811466119
"Rouies",0.560861248775099,0.837939336252443,0.444826391027458,0.608730141787834,0.656680318762919,0.283385409903833,0.604429506486925,0.648549663606112,0.606642623241451,0.66431303398255,0.476369843474921,0.594542672347217,0,0.611428661993887,0.6285813896812,0.491794141499989
"Sirac",0.667303626483627,0.783929902159994,0.573506804490652,0.369893551386137,0.495476932703001,0.557418577932139,0.526922299569281,0.736399088260375,0.475549680490623,0.624299973210578,0.514832998086514,0.509392550635662,0.611428661993887,0,0.504799908778653,0.380790052088885
"Summits",0.814628078678315,0.563671126741723,0.613296336550306,0.214100899442133,0.433745018730401,0.613062459793381,0.559702638335993,0.869464804460508,0.055773115583939,0.813953312462016,0.485744723221424,0.243208138216011,0.6285813896812,0.504799908778653,0,0.306576349864348
"Under Ice",0.732671475388211,0.69743924004567,0.480553994096474,0.424487208952162,0.49245677301646,0.441989698316572,0.613717591664941,0.811752605331594,0.3601434174647,0.731698381643619,0.396456854120298,0.457696811466119,0.491794141499989,0.380790052088885,0.306576349864348,0
