"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0,0.456575784788284,0,0,0.456575784788284,0,0,0,0.456575784788285,0.154077944266827,0,0.154077944266827,0.154077944266827,0,0
"Ecrins NP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Meije",0.456575784788284,0,0,0.239775468520727,0.370074920691291,0.461704633267187,0.672700936878968,0,0,0,0.487232564762338,0,0.426855453332512,0.482728389468391,0,0.0863320569100309
"Lauvitel",0,0,0.239775468520727,0,0.170216851656108,0.212268995351305,0,0,0,0,0.363263440277877,0.133252689682875,0.220161869639513,0,0,0.361613489338893
"Muraillette",0,0,0.370074920691291,0.170216851656108,0,0.462204968884489,0,0,0,0,0.7100862615667,0,0.523746319890132,0.438973536412692,0,0.401346916984688
"Occidentale Ailefroide",0.456575784788284,0,0.461704633267187,0.212268995351305,0.462204968884489,0,0.490897020029447,0,0,0.396082271863179,0.487701274761829,0.212268995351305,0.257295199087901,0.462204968884489,0,0
"Olan",0,0,0.672700936878968,0,0,0.490897020029447,0,0,0,0.459611776384573,0.646313789063974,0,0.551292611482321,0.482153209074739,0,0.440563033800929
"Pelvoux",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persistent",0,0,0,0,0,0,0,0,0,0,0.191417133658567,0.00354888000722612,0,0,0,0.145557900088844
"Plat de la Selle",0.456575784788285,0,0,0,0,0.396082271863179,0.459611776384573,0,0,0,0.452670357770246,0,0.396082271863179,0,0,0
"Rateau",0.154077944266827,0,0.487232564762338,0.363263440277877,0.7100862615667,0.487701274761829,0.646313789063974,0,0.191417133658567,0.452670357770246,0,0.554487776648784,0.30578553241726,0.500838993779952,0,0.208054794471654
"Rocher de la Selle",0,0,0,0.133252689682875,0,0.212268995351305,0,0,0.00354888000722612,0,0.554487776648784,0,0.220161869639512,0.287479242171164,0,0.418508937257875
"Rouies",0.154077944266827,0,0.426855453332512,0.220161869639513,0.523746319890132,0.257295199087901,0.551292611482321,0,0,0.396082271863179,0.30578553241726,0.220161869639512,0,0.51529559983519,0,0.0656660888022299
"Sirac",0.154077944266827,0,0.482728389468391,0,0.438973536412692,0.462204968884489,0.482153209074739,0,0,0,0.500838993779952,0.287479242171164,0.51529559983519,0,0,0.151730877991838
"Summits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Under Ice",0,0,0.0863320569100309,0.361613489338893,0.401346916984688,0,0.440563033800929,0,0.145557900088844,0,0.208054794471654,0.418508937257875,0.0656660888022299,0.151730877991838,0,0
