"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.87549748852143,0.179136935394978,0.422359144983841,0.349652850979623,0.250991856384612,0.376215250718009,0.431479325417369,0.575068471033602,0.406726485202206,0.502889796718307,0.547074352464465,0.372280600484517,0.572848571337059,0.640914959045877,0.454248719890058
"Ecrins NP",0.87549748852143,0,0.82588778618722,0.719009704559056,0.757832454772943,0.800384263082703,0.744503433925312,0.879126708730856,0.605058352622319,0.87057494315881,0.665702248192037,0.630324996924947,0.746535869520355,0.706795875413972,0.534501979017491,0.69939283066342
"La Meije",0.179136935394978,0.82588778618722,0,0.274641358666321,0.194689379395271,0.336021334684614,0.223640009832017,0.5346359276108,0.441403121128826,0.485873995335432,0.355806054284074,0.407913432284435,0.219332969371799,0.402260846992638,0.521671988914065,0.299481401825644
"Lauvitel",0.422359144983841,0.719009704559056,0.274641358666321,0,0.18832571790004,0.360517415907599,0.112783652085632,0.67377030375172,0.201699097657693,0.405202462785835,0.252497496457952,0.293796403091807,0.108947879053756,0.281267217127871,0.299677366640163,0.196918721299417
"Muraillette",0.349652850979623,0.757832454772943,0.194689379395271,0.18832571790004,0,0.29215794108149,0.139770499122048,0.632290068982196,0.28214842585839,0.331351860607437,0.194732483019758,0.252290832674068,0.135713582727111,0.219780742101985,0.375385050517813,0.133813615751997
"Occidentale Ailefroide",0.250991856384612,0.800384263082703,0.336021334684614,0.360517415907599,0.29215794108149,0,0.258875207591239,0.575850825529621,0.378743506721911,0.485576839891269,0.288285722786021,0.350911062726261,0.25501285053067,0.334484721361921,0.464672359377949,0.229412848542207
"Olan",0.376215250718009,0.744503433925312,0.223640009832017,0.112783652085632,0.139770499122048,0.258875207591239,0,0.647455344291728,0.253752441524549,0.358306347679326,0.172500847689979,0.237238284720959,0.00457548135083014,0.203016563635271,0.348804026538675,0.111583156539655
"Pelvoux",0.431479325417369,0.879126708730856,0.5346359276108,0.67377030375172,0.632290068982196,0.575850825529621,0.647455344291728,0,0.740862648533025,0.443428750820025,0.719604412466777,0.679002836026895,0.64520973004618,0.790778009707694,0.650106502230989,0.691934102090322
"Persistent",0.575068471033602,0.605058352622319,0.441403121128826,0.201699097657693,0.28214842585839,0.378743506721911,0.253752441524549,0.740862648533025,0,0.561047708484056,0.165781579824393,0.191695657599653,0.25802834176198,0.177754889954277,0.104281530029555,0.237206123052734
"Plat de la Selle",0.406726485202206,0.87057494315881,0.485873995335432,0.405202462785835,0.331351860607437,0.485576839891269,0.358306347679326,0.443428750820025,0.561047708484056,0,0.487262751079587,0.532404128987832,0.354311733492007,0.554532144685795,0.628554457276645,0.437664735308605
"Rateau",0.502889796718307,0.665702248192037,0.355806054284074,0.252497496457952,0.194732483019758,0.288285722786021,0.172500847689979,0.719604412466777,0.165781579824393,0.487262751079587,0,0.0806328835317332,0.169308453363012,0.227752917972204,0.203669936887493,0.0725285775527336
"Rocher de la Selle",0.547074352464465,0.630324996924947,0.407913432284435,0.293796403091807,0.252290832674068,0.350911062726261,0.237238284720959,0.679002836026895,0.191695657599653,0.532404128987832,0.0806328835317332,0,0.234501809826234,0.271714069270869,0.14450981296444,0.150453118133699
"Rouies",0.372280600484517,0.746535869520355,0.219332969371799,0.108947879053756,0.135713582727111,0.25501285053067,0.00457548135083014,0.64520973004618,0.25802834176198,0.354311733492007,0.169308453363012,0.234501809826234,0,0.199661424609012,0.352816431804054,0.107902389411527
"Sirac",0.572848571337059,0.706795875413972,0.402260846992638,0.281267217127871,0.219780742101985,0.334484721361921,0.203016563635271,0.790778009707694,0.177754889954277,0.554532144685795,0.227752917972204,0.271714069270869,0.199661424609012,0,0.276903582359604,0.17503235075335
"Summits",0.640914959045877,0.534501979017491,0.521671988914065,0.299677366640163,0.375385050517813,0.464672359377949,0.348804026538675,0.650106502230989,0.104281530029555,0.628554457276645,0.203669936887493,0.14450981296444,0.352816431804054,0.276903582359604,0,0.263331080546951
"Under Ice",0.454248719890058,0.69939283066342,0.299481401825644,0.196918721299417,0.133813615751997,0.229412848542207,0.111583156539655,0.691934102090322,0.237206123052734,0.437664735308605,0.0725285775527336,0.150453118133699,0.107902389411527,0.17503235075335,0.263331080546951,0
