"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0,0,0,0,0,0,0.422377830128146,0,0.394186660568377,0,0,0,0.233737942892407,0,0
"Ecrins NP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Meije",0,0,0,0.0156210162252753,0.0156210162252751,0.282000678137818,0.0156210162252751,0.422377830128146,0,0.3886530479789,0,0,0.0156210162252753,0.162718034146615,0,0
"Lauvitel",0,0,0.0156210162252753,0,0.11262956372304,0.208866770894205,0.0612845673383847,0.422377830128146,0,0,0.16736175576561,0.157082351037764,0.0526549326942465,0.262963201022018,0,0.163927058907182
"Muraillette",0,0,0.0156210162252751,0.11262956372304,0,0.20631943905066,0.112629563723039,0.422377830128145,0,0,0.0108125016080942,0.0108125016080939,0.112629563723039,0.123442060140594,0,0.0108125016080942
"Occidentale Ailefroide",0,0,0.282000678137818,0.208866770894205,0.20631943905066,0,0.139946259340542,0.422377830128146,0,0.330617987746902,0,0.0117269169197751,0.139946259340542,0.151673169810886,0,0
"Olan",0,0,0.0156210162252751,0.0612845673383847,0.112629563723039,0.139946259340542,0,0.422377830128146,0,0,0.0192799965260398,0.0281576906530301,0,0.134101992628146,0,0.0192799965260396
"Pelvoux",0.422377830128146,0,0.422377830128146,0.422377830128146,0.422377830128145,0.422377830128146,0.422377830128146,0,0.374789616057809,0.422377830128146,0.422377830128146,0.273727640161172,0.422377830128146,0.61601143083492,0,0.422377830128146
"Persistent",0,0,0,0,0,0,0,0.374789616057809,0,0,0.0714965843729432,0.157275602018475,0,0,0,0.0880684066224421
"Plat de la Selle",0.394186660568377,0,0.3886530479789,0,0,0.330617987746902,0,0.422377830128146,0,0,0,0,0,0.224257817344501,0,0
"Rateau",0,0,0,0.16736175576561,0.0108125016080942,0,0.0192799965260398,0.422377830128146,0.0714965843729432,0,0,0.0209560998002729,0.0102642128031901,0.162775371929662,0,0.0101245887330372
"Rocher de la Selle",0,0,0,0.157082351037764,0.0108125016080939,0.0117269169197751,0.0281576906530301,0.273727640161172,0.157275602018475,0,0.0209560998002729,0,0.0192235197961595,0.155206608590392,0,0.030726789943959
"Rouies",0,0,0.0156210162252753,0.0526549326942465,0.112629563723039,0.139946259340542,0,0.422377830128146,0,0,0.0102642128031901,0.0192235197961595,0,0.126141770410941,0,0.0102642128031901
"Sirac",0.233737942892407,0,0.162718034146615,0.262963201022018,0.123442060140594,0.151673169810886,0.134101992628146,0.61601143083492,0,0.224257817344501,0.162775371929662,0.155206608590392,0.126141770410941,0,0,0.162775371929662
"Summits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Under Ice",0,0,0,0.163927058907182,0.0108125016080942,0,0.0192799965260396,0.422377830128146,0.0880684066224421,0,0.0101245887330372,0.030726789943959,0.0102642128031901,0.162775371929662,0,0
