"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.933616273953679,0.303844159262082,0.593885372022042,0.518137461386212,0.401268569581233,0.546738964739312,0.602843949969818,0.730213932421905,0.578259511682887,0.669230435679863,0.707237310983773,0.542572124612232,0.728421771525135,0.781167793629649,0.624719435784547
"Ecrins NP",0.933616273953679,0,0.904642434693998,0.836539436225567,0.862235138184238,0.88912603769625,0.853541952909892,0.935675816480316,0.753939383741139,0.930810012550135,0.799305216661134,0.773250729902124,0.854876080759078,0.828213713889534,0.696645538847361,0.823109075245876
"La Meije",0.303844159262082,0.904642434693998,0,0.430931189858272,0.325924684278719,0.503017917395663,0.365532359247911,0.696759300354904,0.612463112724696,0.653990845604303,0.524862760657837,0.579458115720322,0.359758941784047,0.573731838630948,0.685656294805498,0.460924490962167
"Lauvitel",0.593885372022042,0.836539436225567,0.430931189858272,0,0.316959761222439,0.529971041446902,0.20270544390951,0.805092911783031,0.335689854558162,0.57671755283223,0.403190421014033,0.454161724966489,0.196488727940431,0.439045365975052,0.461156552129346,0.329042762545539
"Muraillette",0.518137461386212,0.862235138184238,0.325924684278719,0.316959761222439,0,0.452201595165625,0.245260777024343,0.77472758181572,0.44011819562855,0.497767525492856,0.32598508166039,0.402926901789006,0.238992620659218,0.360361062469715,0.545861757587791,0.236041645457302
"Occidentale Ailefroide",0.401268569581233,0.88912603769625,0.503017917395663,0.529971041446902,0.452201595165625,0,0.411280174603767,0.730844336533042,0.549403866455782,0.653721607462336,0.447549355996245,0.51951763873795,0.406390819700118,0.501294193942602,0.63450690033544,0.373207175790031
"Olan",0.546738964739312,0.853541952909892,0.365532359247911,0.20270544390951,0.245260777024343,0.411280174603767,0,0.786006548262565,0.404788749549295,0.527578109741583,0.294244303583804,0.383496514213452,0.0091092833455931,0.337512499448547,0.517204901046718,0.200764388850605
"Pelvoux",0.602843949969818,0.935675816480316,0.696759300354904,0.805092911783031,0.77472758181572,0.730844336533042,0.786006548262565,0,0.851144286606791,0.61441030680331,0.836941807371269,0.808816782744277,0.78434951880338,0.883166987109442,0.787957021382593,0.81792086492667
"Persistent",0.730213932421905,0.753939383741139,0.612463112724696,0.335689854558162,0.44011819562855,0.549403866455782,0.404788749549295,0.851144286606791,0,0.718809175959002,0.284412762550881,0.321719150988218,0.410210697480135,0.30185379227961,0.188867652303782,0.38345449255851
"Plat de la Selle",0.578259511682887,0.930810012550135,0.653990845604303,0.57671755283223,0.497767525492856,0.653721607462336,0.527578109741583,0.61441030680331,0.718809175959002,0,0.655247703508864,0.694861256135469,0.523235123391328,0.713439276995946,0.771917026744991,0.608855075261559
"Rateau",0.669230435679863,0.799305216661134,0.524862760657837,0.403190421014033,0.32598508166039,0.447549355996245,0.294244303583804,0.836941807371269,0.284412762550881,0.655247703508864,0,0.149232703835938,0.289587324672236,0.371007740463559,0.338414926959383,0.135247822893871
"Rocher de la Selle",0.707237310983773,0.773250729902124,0.579458115720322,0.454161724966489,0.402926901789006,0.51951763873795,0.383496514213452,0.808816782744277,0.321719150988218,0.694861256135469,0.149232703835938,0,0.379913270210989,0.42731943577011,0.252526996846168,0.261554540141138
"Rouies",0.542572124612232,0.854876080759078,0.359758941784047,0.196488727940431,0.238992620659218,0.406390819700118,0.0091092833455931,0.78434951880338,0.410210697480135,0.523235123391328,0.289587324672236,0.379913270210989,0,0.332862957019869,0.521602818400947,0.194786815955583
"Sirac",0.728421771525135,0.828213713889534,0.573731838630948,0.439045365975052,0.360361062469715,0.501294193942602,0.337512499448547,0.883166987109442,0.30185379227961,0.713439276995946,0.371007740463559,0.42731943577011,0.332862957019869,0,0.433711027496549,0.297919203060463
"Summits",0.781167793629649,0.696645538847361,0.685656294805498,0.461156552129346,0.545861757587791,0.63450690033544,0.517204901046718,0.787957021382593,0.188867652303782,0.771917026744991,0.338414926959383,0.252526996846168,0.521602818400947,0.433711027496549,0,0.41688372050966
"Under Ice",0.624719435784547,0.823109075245876,0.460924490962167,0.329042762545539,0.236041645457302,0.373207175790031,0.200764388850605,0.81792086492667,0.38345449255851,0.608855075261559,0.135247822893871,0.261554540141138,0.194786815955583,0.297919203060463,0.41688372050966,0
