"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,NA,-1.25082957691749,NA,-1.28025103365579,-1.52762227273261,NA,-0.560315879951092,NA,NA,NA,NA,NA,-0.694509250842737,NA,NA
"Ecrins NP",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Meije",-1.25082957691749,NA,0,-1.05956945553116,-2.12319331094342,-1.6077776845296,-1.22289448052418,-0.577797571232744,NA,-0.787592667965333,-1.16803876510141,-0.458159209007974,-0.819745928604023,-1.00494027188522,NA,-0.980644008252553
"Lauvitel",NA,NA,-1.05956945553116,0,-0.75889987712775,NA,NA,NA,NA,1.18015534478668,-0.240633394006697,NA,-0.688801841225012,0.937458930832264,NA,-0.264386042577587
"Muraillette",-1.28025103365579,NA,-2.12319331094342,-0.75889987712775,0,NA,-0.318239965867384,0.0240577233879172,NA,-0.95626709447169,-0.21182070017985,-0.604283692746084,-1.58404074151324,-1.12211542362495,NA,-0.592412874700581
"Occidentale Ailefroide",-1.52762227273261,NA,-1.6077776845296,NA,NA,0,-0.760429375763569,-0.145802482814748,NA,-1.32669784538007,0.36880932811649,NA,-1.96970439741176,-1.17605313254527,NA,NA
"Olan",NA,NA,-1.22289448052418,NA,-0.318239965867384,-0.760429375763569,0,NA,NA,0.555046114397024,NA,NA,-0.921627430142441,-1.32688419927554,NA,NA
"Pelvoux",-0.560315879951092,NA,-0.577797571232744,NA,0.0240577233879172,-0.145802482814748,NA,0,NA,1.16754739052226,NA,NA,0.455586217708423,NA,NA,NA
"Persistent",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-0.988592681414199,-0.919655018989193,NA,NA,NA,-1.01496550278739
"Plat de la Selle",NA,NA,-0.787592667965333,1.18015534478668,-0.95626709447169,-1.32669784538007,0.555046114397024,1.16754739052226,NA,0,-0.66500477028966,NA,-0.832455530713396,-1.18036306638977,NA,-0.686303781830742
"Rateau",NA,NA,-1.16803876510141,-0.240633394006697,-0.21182070017985,0.36880932811649,NA,NA,-0.988592681414199,-0.66500477028966,0,-1.00807747527876,NA,0.457374259765714,NA,0.618435705267497
"Rocher de la Selle",NA,NA,-0.458159209007974,NA,-0.604283692746084,NA,NA,NA,-0.919655018989193,NA,-1.00807747527876,0,NA,2.26736413862451,NA,-0.554165014194242
"Rouies",NA,NA,-0.819745928604023,-0.688801841225012,-1.58404074151324,-1.96970439741176,-0.921627430142441,0.455586217708423,NA,-0.832455530713396,NA,NA,0,-0.594616017600164,NA,NA
"Sirac",-0.694509250842737,NA,-1.00494027188522,0.937458930832264,-1.12211542362495,-1.17605313254527,-1.32688419927554,NA,NA,-1.18036306638977,0.457374259765714,2.26736413862451,-0.594616017600164,0,NA,0.427559360842142
"Summits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Under Ice",NA,NA,-0.980644008252553,-0.264386042577587,-0.592412874700581,NA,NA,NA,-1.01496550278739,-0.686303781830742,0.618435705267497,-0.554165014194242,NA,0.427559360842142,NA,0
