"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.660451916449732,-0.954489323697018,-5.81189271462657,-1.3035239974691,-1.12179597245884,-3.21026511242504,NA,-1.03183448570369,-2.51822694148623,-1.58227093292728,-1.98425363614486,-0.973633250601048,-7.05206731026171,-0.894042077630755,-1.15761578216027
"Ecrins NP",0.660451916449732,0,0.784551766821471,3.03793164230984,0.866529980217261,0.693188150714957,2.16774506689805,NA,1.08112539758869,1.76250436749997,1.67426998974196,1.87369956375555,1.17802659850548,3.40730032063477,0.968219345648463,1.00561998270739
"La Meije",-0.954489323697018,0.784551766821471,0,-3.90767783763323,-1.10694426706553,-0.667471647904851,-1.59712927116647,NA,0.003514172801597,-1.23592015003774,-0.601208322824793,-1.0785528220764,-0.718544744614068,-4.34792427756431,0.152882457887926,-0.0288322326424342
"Lauvitel",-5.81189271462657,3.03793164230984,-3.90767783763323,0,-0.244089116959287,-5.81189270221267,-2.10965637235889,NA,2.97524486527226,-2.68802313290333,1.61506802589726,0.0330921102296963,-2.45436374464341,-1.19172218776084,2.87092812305133,0.988485687028874
"Muraillette",-1.3035239974691,0.866529980217261,-1.10694426706553,-0.244089116959287,0,-0.738463803678746,-1.15225308801268,NA,0.113900721636062,-0.591997245470563,1.16861808502352,-0.226394160569332,-0.525402490500149,-0.658448776490259,0.277499400396945,-0.885802714170334
"Occidentale Ailefroide",-1.12179597245884,0.693188150714957,-0.667471647904851,-5.81189270221267,-0.738463803678746,0,-1.53489875225078,NA,-1.03183448535206,-1.28540789294086,-1.92834889655721,-2.35622831265659,-1.21355753415452,-7.05206730577445,-0.89404207801088,-0.943817265504433
"Olan",-3.21026511242504,2.16774506689805,-1.59712927116647,-2.10965637235889,-1.15225308801268,-1.53489875225078,0,NA,1.64616953747849,-1.91869013385715,0.384786809588451,0.376097111789346,-1.22013461934357,-1.79458065585749,1.69601794954851,0.801231515669166
"Pelvoux",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Persistent",-1.03183448570369,1.08112539758869,0.003514172801597,2.97524486527226,0.113900721636062,-1.03183448535206,1.64616953747849,NA,0,1.15151337807383,-0.399992785758081,2.41910311639969,0.475141916657449,3.99963375787118,0.408229697190478,-1.27073226491873
"Plat de la Selle",-2.51822694148623,1.76250436749997,-1.23592015003774,-2.68802313290333,-0.591997245470563,-1.28540789294086,-1.91869013385715,NA,1.15151337807383,0,-0.16332712228733,-0.199821474825289,-0.840788886642884,-2.78761651904369,1.23822624352468,0.27978239604464
"Rateau",-1.58227093292728,1.67426998974196,-0.601208322824793,1.61506802589726,1.16861808502352,-1.92834889655721,0.384786809588451,NA,-0.399992785758081,-0.16332712228733,0,2.02697313087925,-0.05588515784819,1.82223338564879,1.37227510412075,1.70199937390619
"Rocher de la Selle",-1.98425363614486,1.87369956375555,-1.0785528220764,0.0330921102296963,-0.226394160569332,-2.35622831265659,0.376097111789346,NA,2.41910311639969,-0.199821474825289,2.02697313087925,0,-0.49575491339698,0.077663550787611,1.49347612889047,1.88899283339303
"Rouies",-0.973633250601048,1.17802659850548,-0.718544744614068,-2.45436374464341,-0.525402490500149,-1.21355753415452,-1.22013461934357,NA,0.475141916657449,-0.840788886642884,-0.05588515784819,-0.49575491339698,0,-3.4575284214747,0.597272323700309,0.497570404367179
"Sirac",-7.05206731026171,3.40730032063477,-4.34792427756431,-1.19172218776084,-0.658448776490259,-7.05206730577445,-1.79458065585749,NA,3.99963375787118,-2.78761651904369,1.82223338564879,0.077663550787611,-3.4575284214747,0,3.51961560755996,1.84726809617856
"Summits",-0.894042077630755,0.968219345648463,0.152882457887926,2.87092812305133,0.277499400396945,-0.89404207801088,1.69601794954851,NA,0.408229697190478,1.23822624352468,1.37227510412075,1.49347612889047,0.597272323700309,3.51961560755996,0,0.354550230627777
"Under Ice",-1.15761578216027,1.00561998270739,-0.0288322326424342,0.988485687028874,-0.885802714170334,-0.943817265504433,0.801231515669166,NA,-1.27073226491873,0.27978239604464,1.70199937390619,1.88899283339303,0.497570404367179,1.84726809617856,0.354550230627777,0
