"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,NA,-0.717775450026121,NA,-1.02139718229058,-1.12179596109091,NA,NA,NA,-1.29271828086346,-0.660191155289828,-0.817230752311668,-0.452985226666378,NA,NA,-0.763221968629185
"Ecrins NP",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Meije",-0.717775450026121,NA,0,NA,-1.15914076778632,NA,-0.0303108515361589,NA,NA,-0.141728249847886,NA,NA,NA,NA,NA,NA
"Lauvitel",NA,NA,NA,0,-1.13202142911615,NA,-0.826352800455508,NA,NA,-0.966607992562451,-0.898490244677577,-1.82599600261065,0.113965206321928,-0.878273547196281,NA,-1.89513311913679
"Muraillette",-1.02139718229058,NA,-1.15914076778632,-1.13202142911615,0,NA,-2.51106251006088,NA,NA,-1.77746233795382,1.94345919268863,0.486788882333138,-1.0959283522113,-0.208453681346961,NA,-0.870612103453738
"Occidentale Ailefroide",-1.12179596109091,NA,NA,NA,NA,0,-0.171206197744473,NA,NA,-0.281256415951512,NA,NA,NA,NA,NA,NA
"Olan",NA,NA,-0.0303108515361589,-0.826352800455508,-2.51106251006088,-0.171206197744473,0,NA,NA,-1.00153142807097,-0.976076973056695,-0.654469632314811,0.11801599736386,NA,NA,-0.441525160718571
"Pelvoux",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Persistent",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-1.24602300015578,2.02987359656744,NA,NA,NA,-1.35345375675229
"Plat de la Selle",-1.29271828086346,NA,-0.141728249847886,-0.966607992562451,-1.77746233795382,-0.281256415951512,-1.00153142807097,NA,NA,0,-1.02123418049207,-0.664363509347564,0.118378837655206,-0.629760110000139,NA,-0.556939357851018
"Rateau",-0.660191155289828,NA,NA,-0.898490244677577,1.94345919268863,NA,-0.976076973056695,NA,-1.24602300015578,-1.02123418049207,0,1.93784408224401,NA,-1.1961563667071,NA,3.38815872172819
"Rocher de la Selle",-0.817230752311668,NA,NA,-1.82599600261065,0.486788882333138,NA,-0.654469632314811,NA,2.02987359656744,-0.664363509347564,1.93784408224401,0,NA,-1.47897530582638,NA,1.62753900682672
"Rouies",-0.452985226666378,NA,NA,0.113965206321928,-1.0959283522113,NA,0.11801599736386,NA,NA,0.118378837655206,NA,NA,0,NA,NA,0.334139898538793
"Sirac",NA,NA,NA,-0.878273547196281,-0.208453681346961,NA,NA,NA,NA,-0.629760110000139,-1.1961563667071,-1.47897530582638,NA,0,NA,-0.626840959726956
"Summits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Under Ice",-0.763221968629185,NA,NA,-1.89513311913679,-0.870612103453738,NA,-0.441525160718571,NA,-1.35345375675229,-0.556939357851018,3.38815872172819,1.62753900682672,0.334139898538793,-0.626840959726956,NA,0
