"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.854639090230465,0.345147113243625,0.263152060384878,0.465001177205453,0.233335835655206,0.227468400095675,1,0.658550676785812,0.248324341917147,0.618850143202196,0.508847831765602,0.395849988720989,0.321835223957901,0.706128596490349,0.611785203455659
"Ecrins NP",0.854639090230465,0,0.809723034685913,0.763110641783862,0.663964785638692,0.854639090230465,0.778517038969216,1,0.448533388760806,0.783894799100884,0.520796576405727,0.630026361633894,0.784848728769654,0.734955574800252,0.374539504627334,0.529122633816253
"La Meije",0.345147113243625,0.809723034685913,0,0.121992675034825,0.333519189118061,0.145841272865512,0.243681133361905,1,0.567183944340446,0.232350463996225,0.499614300624558,0.366837848840787,0.0682441558354664,0.1846613760082,0.624611497963014,0.490940177807136
"Lauvitel",0.263152060384878,0.763110641783862,0.121992675034825,0,0.281050455832676,0.263152060384878,0.185373982657632,1,0.478284894828331,0.20341593114261,0.417222091237194,0.297682773709287,0.175043544385103,0.0719382091602934,0.544076369056393,0.416673320129489
"Muraillette",0.465001177205453,0.663964785638692,0.333519189118061,0.281050455832676,0,0.440814748248635,0.299444316442171,1,0.306799458872912,0.271186730498582,0.47279390581931,0.370612476376956,0.269832565001506,0.231522003888994,0.385222917500284,0.284832679857422
"Occidentale Ailefroide",0.233335835655206,0.854639090230465,0.145841272865512,0.263152060384878,0.440814748248635,0,0.407727706529403,1,0.658550676785811,0.39766439957828,0.601618976439645,0.486643638937779,0.211975674126716,0.321835223957901,0.706128596490349,0.594234642227208
"Olan",0.227468400095675,0.778517038969216,0.243681133361905,0.185373982657632,0.299444316442171,0.407727706529403,0,1,0.507036000197628,0.0412940089565745,0.451618808279041,0.310724673427319,0.165522573353954,0.101820858418744,0.570255788667299,0.513765071948833
"Pelvoux",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Persistent",0.658550676785812,0.448533388760806,0.567183944340446,0.478284894828331,0.306799458872912,0.658550676785811,0.507036000197628,1,0,0.517216158489078,0.105891828646014,0.491409802689506,0.51902987231505,0.427273945749523,0.0889342592313561,0.117391152282902
"Plat de la Selle",0.248324341917147,0.783894799100884,0.232350463996225,0.20341593114261,0.271186730498582,0.39766439957828,0.0412940089565745,1,0.517216158489078,0,0.462841523019948,0.32341637919126,0.153817660759486,0.140118420964154,0.579494684509314,0.525666073435255
"Rateau",0.618850143202196,0.520796576405727,0.499614300624558,0.417222091237194,0.47279390581931,0.601618976439645,0.451618808279041,1,0.105891828646014,0.462841523019948,0,0.424116646564636,0.446597214530615,0.364022124588779,0.181699096092008,0.211401568407883
"Rocher de la Selle",0.508847831765602,0.630026361633894,0.366837848840787,0.297682773709287,0.370612476376956,0.486643638937779,0.310724673427319,1,0.491409802689506,0.32341637919126,0.424116646564636,0,0.306260790815985,0.237141906125383,0.334393645820712,0.479566238655953
"Rouies",0.395849988720989,0.784848728769654,0.0682441558354664,0.175043544385103,0.269832565001506,0.211975674126716,0.165522573353954,1,0.51902987231505,0.153817660759486,0.446597214530615,0.306260790815985,0,0.117903041341011,0.581139023179845,0.509238149745322
"Sirac",0.321835223957901,0.734955574800252,0.1846613760082,0.0719382091602934,0.231522003888994,0.321835223957901,0.101820858418744,1,0.427273945749523,0.140118420964154,0.364022124588779,0.237141906125383,0.117903041341011,0,0.497310748698893,0.424652483509715
"Summits",0.706128596490349,0.374539504627334,0.624611497963014,0.544076369056393,0.385222917500284,0.706128596490349,0.570255788667299,1,0.0889342592313561,0.579494684509314,0.181699096092008,0.334393645820712,0.581139023179845,0.497310748698893,0,0.192789671345075
"Under Ice",0.611785203455659,0.529122633816253,0.490940177807136,0.416673320129489,0.284832679857422,0.594234642227208,0.513765071948833,1,0.117391152282902,0.525666073435255,0.211401568407883,0.479566238655953,0.509238149745322,0.424652483509715,0.192789671345075,0
