"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.854639090230465,0.111811277588419,0.263152060384878,0.421748196406931,1.22035270045957e-16,0.227468400095675,NA,0.658550676785812,0.205071361118625,0.575597162403674,0.46559485096708,0.162514153065784,0.321835223957901,0.706128596490349,0.568532222657138
"Ecrins NP",0.854639090230465,0,0.809723034685913,0.763110641783862,0.663964785638692,0.854639090230465,0.778517038969216,NA,0.448533388760806,0.783894799100884,0.520796576405727,0.630026361633894,0.784848728769654,0.734955574800252,0.374539504627334,0.529122633816253
"La Meije",0.111811277588419,0.809723034685913,0,0.121992675034825,0.306824789550111,0.145841272865512,0.0697426960775773,NA,0.567183944340446,0.0584120267118966,0.499614300624558,0.366837848840787,0.0682441558354666,0.1846613760082,0.624611497963014,0.490940177807136
"Lauvitel",0.263152060384878,0.763110641783862,0.121992675034825,0,0.180835336062716,0.263152060384878,0.0321395268293999,NA,0.478284894828331,0.0434529485958396,0.391981009575663,0.242058256734614,0.0472747090253747,0.0635769292186692,0.544076369056393,0.376805794269643
"Muraillette",0.421748196406931,0.663964785638692,0.306824789550111,0.180835336062716,0,0.440814748248635,0.217751845885118,NA,0.306799458872912,0.243071926795788,0.147696803850395,0.0389969266500121,0.246548877776981,0.123700266638527,0.385222917500284,0.187674914894869
"Occidentale Ailefroide",1.22035270045957e-16,0.854639090230465,0.145841272865512,0.263152060384878,0.440814748248635,0,0.174391870874198,NA,0.658550676785812,0.164328563923074,0.601618976439645,0.486643638937779,0.211975674126717,0.321835223957901,0.706128596490349,0.594234642227208
"Olan",0.227468400095675,0.778517038969216,0.0697426960775773,0.0321395268293999,0.217751845885118,0.174391870874198,0,NA,0.507036000197628,0.0134141642338639,0.41958505028178,0.283502551493827,0.0138080476257356,0.101820858418744,0.570255788667299,0.358055394543351
"Pelvoux",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Persistent",0.658550676785812,0.448533388760806,0.567183944340446,0.478284894828331,0.306799458872912,0.658550676785812,0.507036000197628,NA,0,0.517216158489078,0.0930805105493057,0.172237815649104,0.51902987231505,0.427273945749523,0.0889342592313561,0.104281924743106
"Plat de la Selle",0.205071361118625,0.783894799100884,0.0584120267118966,0.0434529485958396,0.243071926795788,0.164328563923074,0.0134141642338639,NA,0.517216158489078,0,0.430015393911677,0.29553653446855,0.0021031350312675,0.112238576241444,0.579494684509314,0.365703090888486
"Rateau",0.575597162403674,0.520796576405727,0.499614300624558,0.391981009575663,0.147696803850395,0.601618976439645,0.41958505028178,NA,0.0930805105493057,0.430015393911677,0,0.111797913410862,0.446597214530615,0.337900266608361,0.181699096092008,0.0091688816795427
"Rocher de la Selle",0.46559485096708,0.630026361633894,0.366837848840787,0.242058256734614,0.0389969266500121,0.486643638937779,0.283502551493827,NA,0.172237815649104,0.29553653446855,0.111797913410862,0,0.306260790815985,0.185279287782465,0.334393645820712,0.0928238497342312
"Rouies",0.162514153065784,0.784848728769654,0.0682441558354666,0.0472747090253747,0.246548877776981,0.211975674126717,0.0138080476257356,NA,0.51902987231505,0.0021031350312675,0.446597214530615,0.306260790815985,0,0.117903041341011,0.581139023179845,0.381469314385595
"Sirac",0.321835223957901,0.734955574800252,0.1846613760082,0.0635769292186692,0.123700266638527,0.321835223957901,0.101820858418744,NA,0.427273945749523,0.112238576241444,0.337900266608361,0.185279287782465,0.117903041341011,0,0.497310748698893,0.292202637389458
"Summits",0.706128596490349,0.374539504627334,0.624611497963014,0.544076369056393,0.385222917500284,0.706128596490349,0.570255788667299,NA,0.0889342592313561,0.579494684509314,0.181699096092008,0.334393645820712,0.581139023179845,0.497310748698893,0,0.192789671345075
"Under Ice",0.568532222657138,0.529122633816253,0.490940177807136,0.376805794269643,0.187674914894869,0.594234642227208,0.358055394543351,NA,0.104281924743106,0.365703090888486,0.0091688816795427,0.0928238497342312,0.381469314385595,0.292202637389458,0.192789671345075,0
