,PhyloSor,PhyloSor_turn,PhyloSor_PD,UniFrac,UniFrac_turn,UniFrac_PD,SES_PhyloSor,SES_PhyloSor_turn,SES_PhyloSor_PD,SES_UniFrac,SES_UniFrac_turn,SES_UniFrac_PD
Ecrins NP-Summits,0.494474042,0,0.494474042,0.661736542,0,0.661736542,5.034711055,NA,5.034711055,4.793504441,NA,4.793504441
Ecrins NP-Persistent,0.588915248,0,0.588915248,0.741279623,0,0.741279623,6.562584239,NA,6.562584239,6.12759132,NA,6.12759132
Ecrins NP-Under Ice,0.648497473,0,0.648497473,0.786773997,0,0.786773997,3.65588387,NA,3.65588387,3.528194897,NA,3.528194897
Ecrins NP-Plat de la Selle,0.829149479,0,0.829149479,0.906595649,0,0.906595649,3.059039081,NA,3.059039081,2.985379736,NA,2.985379736
Ecrins NP-Barre des Ecrins,0.804926483,0,0.804926483,0.891921628,0,0.891921628,3.335017109,NA,3.335017109,3.234254985,NA,3.234254985
Ecrins NP-La Meije,0.816766044,0,0.816766044,0.899142789,0,0.899142789,3.227597561,NA,3.227597561,3.137882993,NA,3.137882993
Ecrins NP-Sirac,0.723797572,0,0.723797572,0.839770961,0,0.839770961,4.566291438,NA,4.566291438,4.364156972,NA,4.364156972
Ecrins NP-Rouies,0.791918489,0,0.791918489,0.883877804,0,0.883877804,2.634487315,NA,2.634487315,2.57564681,NA,2.57564681
Ecrins NP-Olan,0.692966521,0,0.692966521,0.81864173,0,0.81864173,0.939375006,NA,0.939375006,0.94052032,NA,0.94052032
Ecrins NP-Pelvoux,0.828849022,0,0.828849022,0.906416016,0,0.906416016,-2.26741655,NA,-2.26741655,-2.287836336,NA,-2.287836336
Ecrins NP-Occidentale Ailefroide,0.822349903,0,0.822349903,0.902515924,0,0.902515924,2.007567147,NA,2.007567147,1.978667301,NA,1.978667301
Ecrins NP-Brevoort,0.89408641,0,0.89408641,0.944081965,0,0.944081965,0.802129357,NA,0.802129357,0.802741067,NA,0.802741067
Ecrins NP-Burlan,0.807230587,0,0.807230587,0.893334357,0,0.893334357,2.098487276,NA,2.098487276,2.067759816,NA,2.067759816
Ecrins NP-Rocher de la Selle,0.571344872,0,0.571344872,0.727204934,0,0.727204934,3.945827336,NA,3.945827336,3.78187664,NA,3.78187664
Ecrins NP-Choisy,0.868799985,0,0.868799985,0.929794512,0,0.929794512,1.489242114,NA,1.489242114,1.477720554,NA,1.477720554
Ecrins NP-Muraillette,0.744602568,0,0.744602568,0.853607098,0,0.853607098,3.742229891,NA,3.742229891,3.609549771,NA,3.609549771
Ecrins NP-Rateau,0.658949406,0,0.658949406,0.794417725,0,0.794417725,3.837117802,NA,3.837117802,3.687781762,NA,3.687781762
Ecrins NP-Lauvitel,0.68422394,0,0.68422394,0.812509458,0,0.812509458,4.755570835,NA,4.755570835,4.514541012,NA,4.514541012
Summits-Persistent,0.1332416,0,0.1332416,0.235151268,0,0.235151268,3.965407017,NA,3.965407017,3.81315289,NA,3.81315289
Summits-Under Ice,0.226726826,0,0.226726826,0.369645174,0,0.369645174,0.292460145,NA,0.292460145,0.308864842,NA,0.308864842
Summits-Plat de la Selle,0.567239672,0,0.567239672,0.723870997,0,0.723870997,0.826130415,NA,0.826130415,0.829403297,NA,0.829403297
Summits-Barre des Ecrins,0.515714795,0,0.515714795,0.680490547,0,0.680490547,1.1513108,NA,1.1513108,1.142819525,NA,1.142819525
Summits-La Meije,0.540640112,0,0.540640112,0.701838291,0,0.701838291,1.089662796,NA,1.089662796,1.085032284,NA,1.085032284
Summits-Sirac,0.357145634,0,0.357145634,0.526318805,0,0.526318805,1.93883601,NA,1.93883601,1.889880888,NA,1.889880888
Summits-Rouies,0.488882647,0,0.488882647,0.656710787,0,0.656710787,0.182314009,NA,0.182314009,0.199608895,NA,0.199608895
Summits-Olan,0.301960407,0,0.301960407,0.463854977,0,0.463854977,-2.247354825,NA,-2.247354825,-2.331030163,NA,-2.331030163
Summits-Pelvoux,0.566587756,0,0.566587756,0.723339952,0,0.723339952,-4.832960398,NA,-4.832960398,-5.152854223,NA,-5.152854223
Summits-Occidentale Ailefroide,0.552566252,0,0.552566252,0.711810206,0,0.711810206,-0.328499097,NA,-0.328499097,-0.312052118,NA,-0.312052118
Summits-Brevoort,0.716282799,0,0.716282799,0.834690879,0,0.834690879,-1.230257974,NA,-1.230257974,-1.23389648,NA,-1.23389648
Summits-Burlan,0.520527461,0,0.520527461,0.684666965,0,0.684666965,-0.308501337,NA,-0.308501337,-0.291712147,NA,-0.291712147
Summits-Rocher de la Selle,0.107139316,0,0.107139316,0.193542609,0,0.193542609,-0.038182083,NA,-0.038182083,-0.024361836,NA,-0.024361836
Summits-Choisy,0.656250548,0,0.656250548,0.792453229,0,0.792453229,-0.58984503,NA,-0.58984503,-0.578678024,NA,-0.578678024
Summits-Muraillette,0.395889897,0,0.395889897,0.56722224,0,0.56722224,1.059652568,NA,1.059652568,1.056496038,NA,1.056496038
Summits-Rateau,0.243968417,0,0.243968417,0.39224214,0,0.39224214,0.646221549,NA,0.646221549,0.657431146,NA,0.657431146
