"","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"Ecrins NP",0,0.494474042476839,0.588915248247663,0.648497472799469,0.829149479109902,0.804926483476588,0.816766044481393,0.723797571505917,0.79191848936093,0.692966521323986,0.828849021600704,0.822349903264981,0.894086409834096,0.807230587457366,0.571344872027329,0.86879998450263,0.744602567664604,0.658949406285904,0.684223940005348
"Summits",0.494474042476839,0,0.133241599790378,0.22672682574263,0.567239671618831,0.515714795307847,0.540640111973314,0.357145633964423,0.488882647488578,0.30196040729403,0.566587756473391,0.552566252228094,0.716282798689014,0.520527460636241,0.107139315652808,0.656250547536045,0.395889896740382,0.24396841689872,0.286774642755313
"Persistent",0.588915248247663,0.133241599790378,0,0.0794993217021578,0.46948144229404,0.409231038694157,0.425326834739818,0.232335747526707,0.380421517439217,0.155704519362318,0.325069213378167,0.440176466362535,0.640119434581107,0.413197533774878,0.022761397447662,0.569980070555715,0.277274236535448,0.0953414536495857,0.159067427924838
"Under Ice",0.648497472799469,0.22672682574263,0.0794993217021578,0,0.353998827141669,0.31470475122388,0.338026761310333,0.116482641837232,0.28264767264096,0.0646604728062108,0.317465785015893,0.372507796391411,0.565797883988414,0.333113919878297,0.108425514092425,0.490553054885945,0.157787391003635,0.0171205024334556,0.0500814448316196
"Plat de la Selle",0.829149479109902,0.567239671618831,0.46948144229404,0.353998827141669,0,0.0553083479336337,0.0267627038767152,0.239869473399346,0.0892712051210068,0.30112737008904,0.000429416193354101,0.0140130725893582,0.179948443795572,0.0432482591226051,0.480207902580323,0.104015335524921,0.18359445400979,0.336437262724809,0.300608744265817
"Barre des Ecrins",0.804926483476588,0.515714795307847,0.409231038694157,0.31470475122388,0.0553083479336337,0,0.0280362453220276,0.166081087915888,0.030240151221373,0.232592915331119,0.0389740594906917,0.0412291830375258,0.3135838777967,0.00524268581307166,0.431358171122493,0.204494499214938,0.132495258979305,0.296165454376411,0.258557818593449
"La Meije",0.816766044481393,0.540640111973314,0.425326834739818,0.338026761310333,0.0267627038767152,0.0280362453220276,0,0.185486587802214,0.0634621953141541,0.234213983441776,0.018293358291163,0.0125577324787898,0.278267997061479,0.0210295918291536,0.444929120737733,0.167300355085076,0.164361122849767,0.323803039780804,0.280493789442819
"Sirac",0.723797571505917,0.357145633964423,0.232335747526707,0.116482641837232,0.239869473399346,0.166081087915888,0.185486587802214,0,0.127455947239778,0.0496445735648181,0.16088085665097,0.2040746121663,0.421821214593878,0.169351802996473,0.243082370671853,0.331139583081133,0.0328850287373532,0.0985345127778773,0.0648977837776448
"Rouies",0.79191848936093,0.488882647488578,0.380421517439217,0.28264767264096,0.0892712051210068,0.030240151221373,0.0634621953141541,0.127455947239778,0,0.192399246194958,0.0544040565758236,0.0720930444604283,0.342303217778943,0.0319117760149342,0.394190165214029,0.238964851254898,0.0996768674449052,0.268657745349615,0.226768108294407
"Olan",0.692966521323986,0.30196040729403,0.155704519362318,0.0646604728062108,0.30112737008904,0.232592915331119,0.234213983441776,0.0496445735648181,0.192399246194958,0,0.272489380390923,0.265956893684648,0.528202632487,0.218937791391541,0.192158898526035,0.441538000637885,0.0827650059288829,0.0490639782661287,0.0130365665376427
"Pelvoux",0.828849021600704,0.566587756473391,0.325069213378167,0.317465785015893,0.000429416193354101,0.0389740594906917,0.018293358291163,0.16088085665097,0.0544040565758236,0.272489380390923,0,0.0108594924711964,0.169201084841249,0.0357687042990567,0.421363627288062,0.087626901805381,0.114241403820784,0.298795687666289,0.211763061704109
"Occidentale Ailefroide",0.822349903264981,0.552566252228094,0.440176466362535,0.372507796391411,0.0140130725893582,0.0412291830375258,0.0125577324787898,0.2040746121663,0.0720930444604283,0.265956893684648,0.0108594924711964,0,0.227602466928311,0.0330246222661687,0.458865666110167,0.130087327968593,0.167562533535079,0.323493734039041,0.289860866948502
"Brevoort",0.894086409834096,0.716282798689014,0.640119434581107,0.565797883988414,0.179948443795572,0.3135838777967,0.278267997061479,0.421821214593878,0.342303217778943,0.528202632487,0.169201084841249,0.227602466928311,0,0.277873309185429,0.659776048814567,0.11328143192865,0.431634079102487,0.557092648866838,0.536820462138271
"Burlan",0.807230587457366,0.520527460636241,0.413197533774878,0.333113919878297,0.0432482591226051,0.00524268581307166,0.0210295918291536,0.169351802996473,0.0319117760149342,0.218937791391541,0.0357687042990567,0.0330246222661687,0.277873309185429,0,0.424509075272589,0.179310811757212,0.139132302250869,0.283821281208175,0.25687973813755
"Rocher de la Selle",0.571344872027329,0.107139315652808,0.022761397447662,0.108425514092425,0.480207902580323,0.431358171122493,0.444929120737733,0.243082370671853,0.394190165214029,0.192158898526035,0.421363627288062,0.458865666110167,0.659776048814567,0.424509075272589,0,0.589226240919191,0.286358051716004,0.123231970279073,0.174020107698271
