"","metric","clade","pool","z","pval","rho.est","alt","hyp","measure"
"1","MNTD","Asterales","Regional",488,0.648201799187281,0.128571428571429,"two.sided","Geographic","Summit Area"
"2","MNTD","Asterales","LGM",514,0.77282212722531,0.0821428571428571,"two.sided","Geographic","Summit Area"
"3","MNTD","Asterales","All Summits",528,0.842456020796488,0.0571428571428571,"two.sided","Geographic","Summit Area"
"4","MNTD","Caryophyllales","Regional",272,0.155262653539158,0.402197802197802,"two.sided","Geographic","Summit Area"
"5","MNTD","Caryophyllales","LGM",240,0.0904461056798728,0.472527472527473,"two.sided","Geographic","Summit Area"
"6","MNTD","Caryophyllales","All Summits",326,0.325290827092695,0.283516483516484,"two.sided","Geographic","Summit Area"
"7","MNTD","Lamiales","Regional",320,0.302427229914348,0.296703296703297,"two.sided","Geographic","Summit Area"
"8","MNTD","Lamiales","LGM",396,0.778501310348125,-0.0879120879120879,"two.sided","Geographic","Summit Area"
"9","MNTD","Lamiales","All Summits",408,0.727041064526361,0.103296703296703,"two.sided","Geographic","Summit Area"
"10","MNTD","Poales","Regional",530,0.573323360987644,-0.164835164835165,"two.sided","Geographic","Summit Area"
"11","MNTD","Poales","LGM",656,0.115791427809696,-0.441758241758242,"two.sided","Geographic","Summit Area"
"12","MNTD","Poales","All Summits",676,0.080916111294897,-0.485714285714286,"two.sided","Geographic","Summit Area"
"13","MNTD","Rosales","Regional",258,0.614426013724972,-0.172727272727273,"two.sided","Geographic","Summit Area"
"14","MNTD","Rosales","LGM",274,0.468183503088794,-0.245454545454545,"two.sided","Geographic","Summit Area"
"15","MNTD","Rosales","All Summits",204,0.83882493483871,0.0727272727272727,"two.sided","Geographic","Summit Area"
"16","MNTD","Spermatophyta","Regional",588,0.862584774457332,-0.05,"two.sided","Geographic","Summit Area"
"17","MNTD","Spermatophyta","LGM",848,0.0524250137509508,-0.514285714285714,"two.sided","Geographic","Summit Area"
"18","MNTD","Spermatophyta","All Summits",662,0.515060927061739,-0.182142857142857,"two.sided","Geographic","Summit Area"
"19","MPD","Asterales","Regional",574,0.933604324829569,-0.025,"two.sided","Geographic","Summit Area"
"20","MPD","Asterales","LGM",672,0.473797257909757,-0.2,"two.sided","Geographic","Summit Area"
"21","MPD","Asterales","All Summits",616,0.724060433819824,-0.1,"two.sided","Geographic","Summit Area"
"22","MPD","Caryophyllales","Regional",320,0.302427229914348,0.296703296703297,"two.sided","Geographic","Summit Area"
"23","MPD","Caryophyllales","LGM",312,0.273493639241883,0.314285714285714,"two.sided","Geographic","Summit Area"
"24","MPD","Caryophyllales","All Summits",324,0.317559280210174,0.287912087912088,"two.sided","Geographic","Summit Area"
"25","MPD","Lamiales","Regional",318,0.295027250989737,0.301098901098901,"two.sided","Geographic","Summit Area"
"26","MPD","Lamiales","LGM",412,0.669269053658081,-0.131868131868132,"two.sided","Geographic","Summit Area"
