"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","pc.stabil.score"
"1","mntd","Asterales","Ecrins NP",-0.063395670289434,0.690873278925237,-0.0992085077771718,-0.000588033775848732
"2","mntd","Asterales","Persistent LGM",-0.0769120499085043,0.990969816415137,0.17695112040539,-1.78833562316054e-05
"3","mntd","Asterales","Summits",-0.0689838010015851,0.76093541279919,0.117044185912049,0.000463235883297841
"4","mntd","Caryophyllales","Ecrins NP",-0.0530920569974067,0.568066506721965,-0.188562112837111,-0.000854854878640364
"5","mntd","Caryophyllales","Persistent LGM",-0.0814080373002961,0.886217509444776,-0.029414642263331,-0.00021520272677549
"6","mntd","Caryophyllales","Summits",-0.0818777503178423,0.900994654349737,-0.155244528456813,-0.000175566916491993
"7","mntd","Lamiales","Ecrins NP",-0.0553227884142251,0.582902120168146,-0.12189039818509,-0.000760848945989087
"8","mntd","Lamiales","Persistent LGM",-0.0806728795884364,0.752907484857388,0.661060748001151,-0.000382681091971419
"9","mntd","Lamiales","Summits",-0.0504982178936388,0.551677051741388,0.456337727098925,0.000684013791667637
"10","mntd","Poales","Ecrins NP",0.0302339675631695,0.258783360927262,-0.683545365057663,-0.00182234526100973
"11","mntd","Poales","Persistent LGM",-0.0718217086208004,0.725830434375969,0.227029090064989,-0.000392365296304432
"12","mntd","Poales","Summits",-0.0777722659796991,0.807698484388901,0.353740088776796,0.000283929279962163
"13","mntd","Rosales","Ecrins NP",-0.0430303777620191,0.46303627852076,-1.16735982532243,-0.00124969285830687
"14","mntd","Rosales","Persistent LGM",0.0607711995992141,0.23142156298137,-0.664182977008842,-0.00230879848474887
"15","mntd","Rosales","Summits",-0.0393761197767981,0.450876567633013,-0.759240772119225,-0.00120631219608637
"16","mntd","Spermatophyta","Ecrins NP",0.152240949691054,0.0834912815743706,-2.35283487778908,-0.00354510567082956
"17","mntd","Spermatophyta","Persistent LGM",-0.0709751319642535,0.792378529751568,-0.453066780585362,0.000305121465225224
"18","mntd","Spermatophyta","Summits",-0.0587165548150408,0.644181909042218,-0.860302468705133,-0.000816530924254001
"19","mpd","Asterales","Ecrins NP",-0.0144988173349239,0.387377250213759,-0.393646082403409,0.00106804403703619
"20","mpd","Asterales","Persistent LGM",0.124537192598391,0.107355420472462,-0.0609117333443832,0.00234789984296905
"21","mpd","Asterales","Summits",0.103754920183907,0.129470101827888,-0.0293290389957606,0.00237278581083194
"22","mpd","Caryophyllales","Ecrins NP",-0.0676090447254831,0.681618371782039,-0.0995872279015938,0.000526692406672077
"23","mpd","Caryophyllales","Persistent LGM",-0.0727403130201063,0.736627780787664,-0.174175942169981,-0.000441798676786116
"24","mpd","Caryophyllales","Summits",-0.0791093299727694,0.832059230178517,-0.27582863347387,-0.000266820427610401
"25","mpd","Lamiales","Ecrins NP",-0.0497009140692104,0.546809979278624,-0.0284249956197448,-0.000434077865292065
"26","mpd","Lamiales","Persistent LGM",-0.0874249255410369,0.854502326350257,0.721520274729119,0.000174376981747506
"27","mpd","Lamiales","Summits",0.0168642554657967,0.290451911910041,0.556635894801011,0.00088860075022386
"28","mpd","Poales","Ecrins NP",0.140341599489671,0.102626574745158,-0.0597651315968374,-0.00228515962939855
"29","mpd","Poales","Persistent LGM",-0.0315963803774078,0.45289992151035,0.582423217258619,-0.000831315317469093
"30","mpd","Poales","Summits",0.00996296741617153,0.308531593278078,0.448389623631068,-0.00128083641825093
"31","mpd","Rosales","Ecrins NP",-0.033045123562023,0.430859723076756,-1.58596942475547,-0.00178365677301266
"32","mpd","Rosales","Persistent LGM",0.0480215645854871,0.251109858454937,-0.705412920183887,-0.00220171168562421
"33","mpd","Rosales","Summits",-0.0735182042158324,0.58823139720497,-0.750894555833693,-0.000905542294544846
"34","mpd","Spermatophyta","Ecrins NP",0.0866098528862375,0.151059531093796,-0.595916507091193,-0.00272714795873711
"35","mpd","Spermatophyta","Persistent LGM",-0.0589836963864367,0.646643693436036,0.36870845842192,0.000584039864594865
"36","mpd","Spermatophyta","Summits",0.0794647109307099,0.161093155346125,-0.364269104444986,-0.00251111512749747
