"","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"Ecrins NP",0,4.80968527947267,6.3105030103491,3.47536856624298,3.10707652102455,3.4735122041073,3.25908603680287,4.3729284371752,2.58138998703019,0.905806664038588,-2.22920408352879,1.99574266806589,0.889841423643595,1.96952145505715,3.89545441769789,1.66165933812228,3.70175609779241,3.83206663122082,4.79096483704295
"Summits",4.80968527947267,0,4.06747504943196,0.294670957018686,0.845428907258276,1.1562868726892,1.08029085790024,1.87583751137156,0.134536696922709,-2.30325281012765,-4.69907942734646,-0.307602930931082,-1.30652270229274,-0.386482542160053,0.00575266774577376,-0.603055582186174,1.08529190567358,0.663647270453345,2.02538982522849
"Persistent",6.3105030103491,4.06747504943196,0,-2.06844417533874,-0.584285369516839,-0.276413257552368,-0.32525649851489,0.111838548654492,-1.41261697841595,-4.75316546091842,-8.03097204432336,-1.90543907342396,-1.75551411125775,-1.53177035543465,-0.1420157903468,-1.52876390252834,-0.678740753942749,-1.78535581811658,-0.189581731762947
"Under Ice",3.47536856624298,0.294670957018686,-2.06844417533874,0,0.710653289906705,1.23723203406219,1.161107192143,1.46607569399245,0.0556285225143086,-2.09993091319718,-3.66848748309399,-0.505279755959314,-0.704064896229771,-0.618436546403362,0.288181934709555,-0.184867689986424,0.77305635372136,0.245635658977185,1.53157501729294
"Plat de la Selle",3.10707652102455,0.845428907258276,-0.584285369516839,0.710653289906705,0,-0.195125718732769,-0.420495221763371,-0.186252229606919,0.867033173052078,2.88972599495704,-3.58083485733409,-0.601017971606309,-1.57986530912298,0.859558285130767,0.828063081784258,-1.04331895607006,0.24936514841836,0.444841443299001,-0.221154458009569
"Barre des Ecrins",3.4735122041073,1.1562868726892,-0.276413257552368,1.23723203406219,-0.195125718732769,0,-0.137295960463885,-0.0297154396250353,0.429140968508858,3.40365552296357,-4.07762259110763,-1.22393742129875,-1.47032543178378,-1.54192967878647,1.439601022365,-1.00791020266104,0.6001709808578,1.01667640195432,0.209092640778899
"La Meije",3.25908603680287,1.08029085790024,-0.32525649851489,1.161107192143,-0.420495221763371,-0.137295960463885,0,-0.102416141534794,1.30890073339743,2.77451698151647,-3.5200650970084,-1.24847603448765,-1.99588882530457,-0.38708518160409,1.16926598500116,-1.19883856043102,1.034045995984,0.99727174374398,0.362144569340686
"Sirac",4.3729284371752,1.87583751137156,0.111838548654492,1.46607569399245,-0.186252229606919,-0.0297154396250353,-0.102416141534794,0,-1.07765095760713,0.114335111364962,-5.55648601674477,-1.06908887873303,-1.70714007136681,-1.50991435976989,1.88789029872962,-1.04872827198483,-0.542331173926572,1.08323969035345,0.219194067768889
"Rouies",2.58138998703019,0.134536696922709,-1.41261697841595,0.0556285225143086,0.867033173052078,0.429140968508858,1.30890073339743,-1.07765095760713,0,2.17730555619177,-3.47702839533662,-0.269942167355904,-0.726525280186729,-0.593752299429689,0.521258546602419,-0.323918383878684,-0.38026719430158,0.0732988647085355,-0.816189898822061
"Olan",0.905806664038588,-2.30325281012765,-4.75316546091842,-2.09993091319718,2.88972599495704,3.40365552296357,2.77451698151647,0.114335111364962,2.17730555619177,0,-2.49148985795629,1.71802012548692,0.64210533062745,1.44383271766502,-1.96791050723253,1.24045405464385,3.90580889145606,-2.35123255421462,-3.43419962060362
"Pelvoux",-2.22920408352879,-4.69907942734646,-8.03097204432336,-3.66848748309399,-3.58083485733409,-4.07762259110763,-3.5200650970084,-5.55648601674477,-3.47702839533662,-2.49148985795629,0,-2.76678747474161,2.47905969522497,-2.93895821622528,-5.21580772964279,2.82391960369712,-3.80319088179592,-3.86547936347155,-5.38368173606508
"Occidentale Ailefroide",1.99574266806589,-0.307602930931082,-1.90543907342396,-0.505279755959314,-0.601017971606309,-1.22393742129875,-1.24847603448765,-1.06908887873303,-0.269942167355904,1.71802012548692,-2.76678747474161,0,-0.430414523199698,-0.119065250148421,-0.0473320564172694,0.173104677900995,-1.08632586851382,-0.72271791931825,-1.13071395667753
"Brevoort",0.889841423643595,-1.30652270229274,-1.75551411125775,-0.704064896229771,-1.57986530912298,-1.47032543178378,-1.99588882530457,-1.70714007136681,-0.726525280186729,0.64210533062745,2.47905969522497,-0.430414523199698,0,-0.354900104166548,-1.27478528503851,-0.957192537974397,-0.811776505103375,-0.776819413847909,-1.70044952672554
"Burlan",1.96952145505715,-0.386482542160053,-1.53177035543465,-0.618436546403362,0.859558285130767,-1.54192967878647,-0.38708518160409,-1.50991435976989,-0.593752299429689,1.44383271766502,-2.93895821622528,-0.119065250148421,-0.354900104166548,0,-0.3329048410917,0.173554657162537,-1.08286934467873,-0.61554606300047,-1.38733224695862
"Rocher de la Selle",3.89545441769789,0.00575266774577376,-0.1420157903468,0.288181934709555,0.828063081784258,1.439601022365,1.16926598500116,1.88789029872962,0.521258546602419,-1.96791050723253,-5.21580772964279,-0.0473320564172694,-1.27478528503851,-0.3329048410917,0,-0.255114614363062,1.14907156599376,0.662304558696863,2.07042784275089
"Choisy",1.66165933812228,-0.603055582186174,-1.52876390252834,-0.184867689986424,-1.04331895607006,-1.00791020266104,-1.19883856043102,-1.04872827198483,-0.323918383878684,1.24045405464385,2.82391960369712,0.173104677900995,-0.957192537974397,0.173554657162537,-0.255114614363062,0,-0.243886074235418,-0.139215350397184,-1.2606277274725
"Muraillette",3.70175609779241,1.08529190567358,-0.678740753942749,0.77305635372136,0.24936514841836,0.6001709808578,1.034045995984,-0.542331173926572,-0.38026719430158,3.90580889145606,-3.80319088179592,-1.08632586851382,-0.811776505103375,-1.08286934467873,1.14907156599376,-0.243886074235418,0,0.420251206735725,-0.419228266641054
