"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.845083060583701,0.175033561678721,0.53713993751296,0.31965443846948,0.12058467097289,0.466182575684703,0.0156271299435339,0.637819037816395,0.171207131147983,0.531123534889739,0.672672026684449,0.497249145572708,0.378170761062084,0.700266202828983,0.578061924970245
"Ecrins NP",0.845083060583701,0,0.757756794825418,0.563923888149447,0.642357628878124,0.789394599247648,0.625210149801183,0.858550543944594,0.449606394501577,0.738681360366711,0.51996100813477,0.399528493696881,0.5999379300695,0.565673339427702,0.354754690095715,0.522046009709381
"La Meije",0.175033561678721,0.757756794825418,0,0.338464665716709,0.224840445900098,0.0568397667908459,0.159094852156412,0.184510240449595,0.467384804583752,0.0242998040796676,0.392404869954685,0.513769743456091,0.289367258461296,0.328163295565695,0.551165074870157,0.389980990633192
"Lauvitel",0.53713993751296,0.563923888149447,0.338464665716709,0,0.102533655082972,0.360515421761968,0.0761548768845075,0.555530881864848,0.148321788117454,0.253071221594521,0.0559811820161243,0.197396226651126,0.0541652847515326,0.00205688214659961,0.261479357972899,0.0554648393406702
"Muraillette",0.31965443846948,0.642357628878124,0.224840445900098,0.102533655082972,0,0.294356629867137,0.0170820562174866,0.321519503028348,0.27102563133679,0.146411232886426,0.161249293956673,0.31167666336636,0.0538202770885795,0.09878854397316,0.372484469285,0.160949313864287
"Occidentale Ailefroide",0.12058467097289,0.789394599247648,0.0568397667908459,0.360515421761968,0.294356629867137,0,0.315118160798614,0.142160211538566,0.526735522089344,0.108160945196495,0.450986625634934,0.563625567875175,0.322983454850207,0.398887039620594,0.603701283849279,0.454752043285183
"Olan",0.466182575684703,0.625210149801183,0.159094852156412,0.0761548768845075,0.0170820562174866,0.315118160798614,0,0.489949205500034,0.244266774685453,0.210846831144827,0.127432203489562,0.298454803853361,0.0325349995876999,0.0695363622026522,0.347538101397699,0.129845224473963
"Pelvoux",0.0156271299435339,0.858550543944594,0.184510240449595,0.555530881864848,0.321519503028348,0.142160211538566,0.489949205500034,0,0.666043463138022,0.209605267671119,0.611628194622777,0.698680081922341,0.51871705690565,0.503693256950836,0.724442941007437,0.609833805675425
"Persistent",0.637819037816395,0.449606394501577,0.467384804583752,0.148321788117454,0.27102563133679,0.526735522089344,0.244266774685453,0.666043463138022,0,0.432822026909543,0.0851445231502518,0.0551490350137859,0.205859142842133,0.14541081728273,0.112851519127668,0.0877357183641844
"Plat de la Selle",0.171207131147983,0.738681360366711,0.0242998040796676,0.253071221594521,0.146411232886426,0.108160945196495,0.210846831144827,0.209605267671119,0.432822026909543,0,0.32364151809584,0.481152695721619,0.210517147183587,0.266732882303534,0.520261565861928,0.321359922151209
"Rateau",0.531123534889739,0.51996100813477,0.392404869954685,0.0559811820161243,0.161249293956673,0.450986625634934,0.127432203489562,0.611628194622777,0.0851445231502518,0.32364151809584,0,0.135865045939745,0.111198181699751,0.05202193292063,0.202572572423436,0.00275990340244074
"Rocher de la Selle",0.672672026684449,0.399528493696881,0.513769743456091,0.197396226651126,0.31167666336636,0.563625567875175,0.298454803853361,0.698680081922341,0.0551490350137859,0.481152695721619,0.135865045939745,0,0.251784799025759,0.205071299769314,0.0521677839565229,0.144074946473174
"Rouies",0.497249145572708,0.5999379300695,0.289367258461296,0.0541652847515326,0.0538202770885795,0.322983454850207,0.0325349995876999,0.51871705690565,0.205859142842133,0.210517147183587,0.111198181699751,0.251784799025759,0,0.0444999208334049,0.311474633722634,0.113412021348429
"Sirac",0.378170761062084,0.565673339427702,0.328163295565695,0.00205688214659961,0.09878854397316,0.398887039620594,0.0695363622026522,0.503693256950836,0.14541081728273,0.266732882303534,0.05202193292063,0.205071299769314,0.0444999208334049,0,0.263871041987048,0.050572922548547
"Summits",0.700266202828983,0.354754690095715,0.551165074870157,0.261479357972899,0.372484469285,0.603701283849279,0.347538101397699,0.724442941007437,0.112851519127668,0.520261565861928,0.202572572423436,0.0521677839565229,0.311474633722634,0.263871041987048,0,0.205315371254515
"Under Ice",0.578061924970245,0.522046009709381,0.389980990633192,0.0554648393406702,0.160949313864287,0.454752043285183,0.129845224473963,0.609833805675425,0.0877357183641844,0.321359922151209,0.00275990340244074,0.144074946473174,0.113412021348429,0.050572922548547,0.205315371254515,0
