"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.916037959089338,0.624672642833067,0.698882287037619,0.749077537390454,0.571173782198866,0.635913403168084,0.82156230260753,0.778863870903296,0.723347260753392,0.761868226297183,0.804308335349892,0.664216970225763,0.803626278877637,0.823713606332758,0.732622612361862
"Ecrins NP",0.916037959089338,0,0.86218616483935,0.721165387168201,0.782238432827704,0.882303545097933,0.769389915362843,0.923892596563345,0.620315136863296,0.849702972844792,0.684176772103968,0.570947280453746,0.749951505985534,0.722594330736285,0.523717972986905,0.685979275763234
"La Meije",0.624672642833067,0.86218616483935,0,0.50575061768324,0.367134260878966,0.501782273895379,0.690627471192528,0.705382605261578,0.637030999808306,0.633378200605793,0.563636164196202,0.678795101668636,0.448851568957352,0.520746301021577,0.710646576304966,0.561131401452534
"Lauvitel",0.698882287037619,0.721165387168201,0.50575061768324,0,0.423724367504321,0.642552932955873,0.427244557128453,0.736486433644641,0.304838434518651,0.579722389505272,0.269872267816288,0.421700819103676,0.111416087927587,0.335249132136056,0.414559867857174,0.215768212237384
"Muraillette",0.749077537390454,0.782238432827704,0.367134260878966,0.423724367504321,0,0.47042906859046,0.592514326956047,0.791183238556146,0.426467609550472,0.515937539155574,0.44217398725323,0.526765997960448,0.430154000624343,0.435841629794445,0.542788610903622,0.427409876877462
"Occidentale Ailefroide",0.571173782198866,0.882303545097933,0.501782273895379,0.642552932955873,0.47042906859046,0,0.510872081455927,0.648372349709964,0.690015414547379,0.35934093748985,0.634053534085524,0.729259417373777,0.597044722794183,0.583656310991757,0.752884954235675,0.625195263184841
"Olan",0.635913403168084,0.769389915362843,0.690627471192528,0.427244557128453,0.592514326956047,0.510872081455927,0,0.681874285477734,0.392627657758044,0.348263423120952,0.473593747905106,0.468995220158836,0.37138012730039,0.47867712783151,0.515811910679518,0.43996098108681
"Pelvoux",0.82156230260753,0.923892596563345,0.705382605261578,0.736486433644641,0.791183238556146,0.648372349709964,0.681874285477734,0,0.799551125615316,0.726076510636903,0.759018980511118,0.822615263883788,0.706400698420836,0.764764559913758,0.840205174413263,0.757635730502705
"Persistent",0.778863870903296,0.620315136863296,0.637030999808306,0.304838434518651,0.426467609550472,0.690015414547379,0.392627657758044,0.799551125615316,0,0.604153228776218,0.27265679315729,0.263444140844166,0.341431491503952,0.348775142884736,0.202815051582316,0.277133437629563
"Plat de la Selle",0.723347260753392,0.849702972844792,0.633378200605793,0.579722389505272,0.515937539155574,0.35934093748985,0.348263423120952,0.726076510636903,0.604153228776218,0,0.5838401877689,0.649700327469885,0.535465172846609,0.539308233741873,0.684436912100662,0.581548605437867
"Rateau",0.761868226297183,0.684176772103968,0.563636164196202,0.269872267816288,0.44217398725323,0.634053534085524,0.473593747905106,0.759018980511118,0.27265679315729,0.5838401877689,0,0.389800295459107,0.267709053175949,0.398359426866813,0.336898707102906,0.0739123842890402
"Rocher de la Selle",0.804308335349892,0.570947280453746,0.678795101668636,0.421700819103676,0.526765997960448,0.729259417373777,0.468995220158836,0.822615263883788,0.263444140844166,0.649700327469885,0.389800295459107,0,0.457469367407285,0.39965728165201,0.0991624810262742,0.351728635152577
"Rouies",0.664216970225763,0.749951505985534,0.448851568957352,0.111416087927587,0.430154000624343,0.597044722794183,0.37138012730039,0.706400698420836,0.341431491503952,0.535465172846609,0.267709053175949,0.457469367407285,0,0.314410796089349,0.474999097525067,0.203719771609934
"Sirac",0.803626278877637,0.722594330736285,0.520746301021577,0.335249132136056,0.435841629794445,0.583656310991757,0.47867712783151,0.764764559913758,0.348775142884736,0.539308233741873,0.398359426866813,0.39965728165201,0.314410796089349,0,0.417560072540616,0.378849061727291
"Summits",0.823713606332758,0.523717972986905,0.710646576304966,0.414559867857174,0.542788610903622,0.752884954235675,0.515811910679518,0.840205174413263,0.202815051582316,0.684436912100662,0.336898707102906,0.0991624810262742,0.474999097525067,0.417560072540616,0,0.340683237185997
"Under Ice",0.732622612361862,0.685979275763234,0.561131401452534,0.215768212237384,0.427409876877462,0.625195263184841,0.43996098108681,0.757635730502705,0.277133437629563,0.581548605437867,0.0739123842890402,0.351728635152577,0.203719771609934,0.378849061727291,0.340683237185997,0
