"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.850338820265827,0.247823514205234,0.618290019683768,0.506744847257056,0.248010006264175,0.407444391589465,0.17358496486893,0.671791577009295,0.00127930278192274,0.430846129199153,0.606497459049764,0.306250699447647,0.417247555962817,0.687234161722009,0.578122768610961
"Ecrins NP",0.850338820265827,0,0.711259268528332,0.489302560451466,0.603754841760621,0.711109863667235,0.677691262886179,0.892225863739546,0.416437162898474,0.849834946754926,0.633473897880995,0.503521841657235,0.72108054458203,0.644642034659364,0.392438763319607,0.535437011068968
"La Meije",0.247823514205234,0.711259268528332,0,0.294061698257647,0.145635011919437,0.000211572090131573,0.0319605061506115,0.495261451181024,0.418897305994214,0.350339332949665,0.0959752433285079,0.323646389660042,0.0146910632080497,0.0838840818173811,0.44226921202805,0.271155819534951
"Lauvitel",0.618290019683768,0.489302560451466,0.294061698257647,0,0.147329046893546,0.299777677936983,0.281848585884539,0.715123722245278,0.0915122859452227,0.617166533737504,0.162560831340024,0.0175210059577451,0.313837943221846,0.226913740327002,0.119884096125729,0.0487147920067027
"Muraillette",0.506744847257056,0.603754841760621,0.145635011919437,0.147329046893546,0,0.131580106637222,0.125137674647389,0.625324237097399,0.250232665305708,0.50539339402803,0.0216326689809897,0.144013707084347,0.134068173862077,0.0481166554682666,0.276931294021366,0.0756086271717981
"Occidentale Ailefroide",0.248010006264175,0.711109863667235,0.000211572090131573,0.299777677936983,0.131580106637222,0,0.0435213417839657,0.495489572600257,0.418648015152153,0.264023863079803,0.0957165138512023,0.284979207730891,0.0174425893746838,0.0858401039212348,0.44202600479186,0.283688559593607
"Olan",0.407444391589465,0.677691262886179,0.0319605061506115,0.281848585884539,0.125137674647389,0.0435213417839657,0,0.542649787955394,0.363973057300227,0.28480974142201,0.0404869346289601,0.264386725668098,0.0525646425293139,0.0400455880354189,0.388602140942171,0.160193314160175
"Pelvoux",0.17358496486893,0.892225863739546,0.495261451181024,0.715123722245278,0.625324237097399,0.495489572600257,0.542649787955394,0,0.757090061188443,0.175346395248102,0.59510817500076,0.705778845664333,0.479891599521633,0.582778218517237,0.769073628040035,0.683151176239796
"Persistent",0.671791577009295,0.416437162898474,0.418897305994214,0.0915122859452227,0.250232665305708,0.418648015152153,0.363973057300227,0.757090061188443,0,0.670793527948562,0.263605686765751,0.109993990150799,0.435381929546833,0.311948296644834,0.0286865262644952,0.141127373038675
"Plat de la Selle",0.00127930278192274,0.849834946754926,0.350339332949665,0.617166533737504,0.50539339402803,0.264023863079803,0.28480974142201,0.175346395248102,0.670793527948562,0,0.331558920802597,0.605347728576061,0.250410078002811,0.453805307155191,0.686274259701896,0.576911967195818
"Rateau",0.430846129199153,0.633473897880995,0.0959752433285079,0.162560831340024,0.0216326689809897,0.0957165138512023,0.0404869346289601,0.59510817500076,0.263605686765751,0.331558920802597,0,0.117620616751842,0.132166422798018,0.012570380681347,0.32078126500229,0.131132477527995
"Rocher de la Selle",0.606497459049764,0.503521841657235,0.323646389660042,0.0175210059577451,0.144013707084347,0.284979207730891,0.264386725668098,0.705778845664333,0.109993990150799,0.605347728576061,0.117620616751842,0,0.299326657464925,0.173865819652088,0.138438789196711,0.0321325507798198
"Rouies",0.306250699447647,0.72108054458203,0.0146910632080497,0.313837943221846,0.134068173862077,0.0174425893746838,0.0525646425293139,0.479891599521633,0.435381929546833,0.250410078002811,0.132166422798018,0.299326657464925,0,0.0932598214626024,0.458343925736199,0.292131273596809
"Sirac",0.417247555962817,0.644642034659364,0.0838840818173811,0.226913740327002,0.0481166554682666,0.0858401039212348,0.0400455880354189,0.582778218517237,0.311948296644834,0.453805307155191,0.012570380681347,0.173865819652088,0.0932598214626024,0,0.337613615557173,0.153076778790773
"Summits",0.687234161722009,0.392438763319607,0.44226921202805,0.119884096125729,0.276931294021366,0.44202600479186,0.388602140942171,0.769073628040035,0.0286865262644952,0.686274259701896,0.32078126500229,0.138438789196711,0.458343925736199,0.337613615557173,0,0.18103936946894
"Under Ice",0.578122768610961,0.535437011068968,0.271155819534951,0.0487147920067027,0.0756086271717981,0.283688559593607,0.160193314160175,0.683151176239796,0.141127373038675,0.576911967195818,0.131132477527995,0.0321325507798198,0.292131273596809,0.153076778790773,0.18103936946894,0
