"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,NA,NA,NA,NA,NA,NA,-1.64583714982888,NA,0.702381276332013,NA,NA,NA,-0.383940370367545,NA,NA
"Ecrins NP",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Meije",NA,NA,0,-1.82504546477933,-2.25863791485666,0.660103898222949,-2.0228621278687,-1.34443021204058,NA,0.585647659696166,NA,NA,-2.21770715462852,-0.482084115807387,NA,NA
"Lauvitel",NA,NA,-1.82504546477933,0,-0.246141853994898,-0.867460850494542,-2.13002270201578,-0.363283154613932,NA,NA,-2.84809125602121,-1.74096588745333,-1.12447042045696,-1.71959036047153,NA,-2.86994663175741
"Muraillette",NA,NA,-2.25863791485666,-0.246141853994898,0,0.612942104846468,-0.348037134353112,-0.825471798538986,NA,NA,-1.65130598383467,-1.50862752326286,-0.0301063928290099,-1.71355610838053,NA,-1.6467819351769
"Occidentale Ailefroide",NA,NA,0.660103898222949,-0.867460850494542,0.612942104846468,0,-0.306023115021927,-1.02404767772521,NA,0.27441209083723,NA,-1.59365044801378,-0.397163015072807,-1.7367871672268,NA,NA
"Olan",NA,NA,-2.0228621278687,-2.13002270201578,-0.348037134353112,-0.306023115021927,0,-0.639180761339024,NA,NA,-2.46784625932663,-2.95745648403506,NA,-3.32498586711049,NA,-2.48736174621237
"Pelvoux",-1.64583714982888,NA,-1.34443021204058,-0.363283154613932,-0.825471798538986,-1.02404767772521,-0.639180761339024,0,1.52099549559934,-1.80324085058286,-0.258446517978855,0.462603305407289,-0.806231758474302,0.510451105218209,NA,-0.239852987413436
"Persistent",NA,NA,NA,NA,NA,NA,NA,1.52099549559934,0,NA,-0.940204469934377,1.16469907264308,NA,NA,NA,-1.50301803867169
"Plat de la Selle",0.702381276332013,NA,0.585647659696166,NA,NA,0.27441209083723,NA,-1.80324085058286,NA,0,NA,NA,NA,-0.456138884645637,NA,NA
"Rateau",NA,NA,NA,-2.84809125602121,-1.65130598383467,NA,-2.46784625932663,-0.258446517978855,-0.940204469934377,NA,0,-2.27052713604437,-1.66469774965971,-0.592635059680183,NA,-1.38562267645941
"Rocher de la Selle",NA,NA,NA,-1.74096588745333,-1.50862752326286,-1.59365044801378,-2.95745648403506,0.462603305407289,1.16469907264308,NA,-2.27052713604437,0,-2.31499333352192,1.0550385544446,NA,-3.06989886478974
"Rouies",NA,NA,-2.21770715462852,-1.12447042045696,-0.0301063928290099,-0.397163015072807,NA,-0.806231758474302,NA,NA,-1.66469774965971,-2.31499333352192,0,-2.85736448713347,NA,-1.66115613104671
"Sirac",-0.383940370367545,NA,-0.482084115807387,-1.71959036047153,-1.71355610838053,-1.7367871672268,-3.32498586711049,0.510451105218209,NA,-0.456138884645637,-0.592635059680183,1.0550385544446,-2.85736448713347,0,NA,-0.624016777697059
"Summits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Under Ice",NA,NA,NA,-2.86994663175741,-1.6467819351769,NA,-2.48736174621237,-0.239852987413436,-1.50301803867169,NA,-1.38562267645941,-3.06989886478974,-1.66115613104671,-0.624016777697059,NA,0
