"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,-0.770917049767284,-2.46372217784254,-1.63484930282653,-2.13366143545778,-1.90881262603476,-1.00648415634823,-0.702925418283816,-1.62517265698447,-1.2816452587485,-1.71268286690826,-2.06070718830035,-0.593849667187922,-0.898912746242524,-2.12320276915407,-1.4845012667782
"Ecrins NP",-0.770917049767284,0,1.52777725160492,1.67232962709043,1.37754137559676,0.384386627645288,0.606309878559667,-0.725694133435121,1.82017175146195,1.01344377332534,1.86517325416366,2.55106209619359,-0.0682082432732288,-0.169398473248329,2.87394429893564,1.49215679774081
"La Meije",-2.46372217784254,1.52777725160492,0,-0.47217117274191,-1.90946958229507,-1.49155115199346,-0.486807086884699,-1.45433706347796,0.468707140845408,-0.103091828312802,-0.506674118948982,-0.217595424321925,-1.08842076773218,0.393738956586171,-0.0129106874015863,-0.191782260739177
"Lauvitel",-1.63484930282653,1.67232962709043,-0.47217117274191,0,-0.589189848252191,-0.921043129937917,-0.966803525412769,-1.75750620229271,0.247224697401806,0.493694041956193,-0.431182439435878,-0.675394809299707,-1.59048234611694,0.0785076620566766,-0.610549693681719,-0.129466541129547
"Muraillette",-2.13366143545778,1.37754137559676,-1.90946958229507,-0.589189848252191,0,-1.00271789203029,-1.03776453541727,-0.839029459212646,0.121008681798175,-1.32301859852726,-0.319279029503913,-0.776770714414989,-2.4527977996567,-0.159959970722687,-0.495403118169584,-0.424998933366316
"Occidentale Ailefroide",-1.90881262603476,0.384386627645288,-1.49155115199346,-0.921043129937917,-1.00271789203029,0,-0.916689565594767,-0.546798120505692,-0.763677288243547,-1.74127554541671,-0.685978354819883,-1.23458616129872,-2.51031324144116,-0.703093761113972,-1.26104412866758,-0.713255983965094
"Olan",-1.00648415634823,0.606309878559667,-0.486807086884699,-0.966803525412769,-1.03776453541727,-0.916689565594767,0,-1.15458540762836,-0.733269153548169,-0.0362498438732128,-0.974538215680726,-1.29790282590471,-1.2470850592568,-0.436799668781253,-1.31029535470716,-0.660230415627904
"Pelvoux",-0.702925418283816,-0.725694133435121,-1.45433706347796,-1.75750620229271,-0.839029459212646,-0.546798120505692,-1.15458540762836,0,-1.67585453980027,-0.146505353499963,-1.82775962813381,-2.10561399561384,0.10865682481061,-0.545510534950016,-2.17525232036914,-1.59098217220577
"Persistent",-1.62517265698447,1.82017175146195,0.468707140845408,0.247224697401806,0.121008681798175,-0.763677288243547,-0.733269153548169,-1.67585453980027,0,-0.325101301396167,-0.708144912998475,-0.930305387110999,-1.18875287096429,-1.9721335241195,-1.39476472617954,-1.13652081503322
"Plat de la Selle",-1.2816452587485,1.01344377332534,-0.103091828312802,0.493694041956193,-1.32301859852726,-1.74127554541671,-0.0362498438732128,-0.146505353499963,-0.325101301396167,0,-0.962612588731784,-0.924866843509521,-1.45387167724517,-0.0638525191839033,-0.915056467000674,-0.713832869156855
"Rateau",-1.71268286690826,1.86517325416366,-0.506674118948982,-0.431182439435878,-0.319279029503913,-0.685978354819883,-0.974538215680726,-1.82775962813381,-0.708144912998475,-0.962612588731784,0,-1.58734224388567,-1.32750223255312,-1.38681968420421,-0.616464179644842,-0.23557326791903
"Rocher de la Selle",-2.06070718830035,2.55106209619359,-0.217595424321925,-0.675394809299707,-0.776770714414989,-1.23458616129872,-1.29790282590471,-2.10561399561384,-0.930305387110999,-0.924866843509521,-1.58734224388567,0,-1.69771528760738,-1.26971966883337,-0.0509457832625481,-1.46080422726162
"Rouies",-0.593849667187922,-0.0682082432732288,-1.08842076773218,-1.59048234611694,-2.4527977996567,-2.51031324144116,-1.2470850592568,0.10865682481061,-1.18875287096429,-1.45387167724517,-1.32750223255312,-1.69771528760738,0,-0.329658875870993,-1.70915248677359,-1.08769649419909
"Sirac",-0.898912746242524,-0.169398473248329,0.393738956586171,0.0785076620566766,-0.159959970722687,-0.703093761113972,-0.436799668781253,-0.545510534950016,-1.9721335241195,-0.0638525191839033,-1.38681968420421,-1.26971966883337,-0.329658875870993,0,-2.52320188353226,-1.11995273749286
"Summits",-2.12320276915407,2.87394429893564,-0.0129106874015863,-0.610549693681719,-0.495403118169584,-1.26104412866758,-1.31029535470716,-2.17525232036914,-1.39476472617954,-0.915056467000674,-0.616464179644842,-0.0509457832625481,-1.70915248677359,-2.52320188353226,0,-1.0336353991685
"Under Ice",-1.4845012667782,1.49215679774081,-0.191782260739177,-0.129466541129547,-0.424998933366316,-0.713255983965094,-0.660230415627904,-1.59098217220577,-1.13652081503322,-0.713832869156855,-0.23557326791903,-1.46080422726162,-1.08769649419909,-1.11995273749286,-1.0336353991685,0
