"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.847511465922476,0.227900530457065,0.502882606303426,0.458016320709778,0.357773407296435,0.378327426679061,0.302834533927231,0.600701120106775,0.405957226154972,0.543018336666548,0.584910391647758,0.247642809996443,0.552254967961295,0.629285783521898,0.545760321891126
"Ecrins NP",0.847511465922476,0,0.782884281992602,0.600606698830316,0.684157310200215,0.746141588112244,0.690623309198865,0.803609757166503,0.502772239295751,0.673155775718186,0.564099994453528,0.5207427817549,0.759212205404187,0.586374377112338,0.467620032722084,0.561437305837205
"La Meije",0.227900530457065,0.782884281992602,0,0.375668700686365,0.317960923155111,0.301406073779255,0.302644270862415,0.392834412314879,0.461935701355651,0.30182332786518,0.412711351960789,0.459256201841672,0.260421372876756,0.435273495162564,0.497334684301739,0.424270930569962
"Lauvitel",0.502882606303426,0.600606698830316,0.375668700686365,0,0.155236484222395,0.263715916868128,0.153820115267868,0.392392758878029,0.140157631857329,0.249269124192307,0.177848903171249,0.116209917016351,0.311938599913619,0.24719026397528,0.184923485559168,0.154753591022339
"Muraillette",0.458016320709778,0.684157310200215,0.317960923155111,0.155236484222395,0,0.126622104861439,0.254345040729375,0.527529743934429,0.276491223121228,0.247538449627361,0.341894807171122,0.265512233830074,0.238101124507221,0.317817358556834,0.31840236566286,0.297190405479214
"Occidentale Ailefroide",0.357773407296435,0.746141588112244,0.301406073779255,0.263715916868128,0.126622104861439,0,0.201013772806091,0.503945694882402,0.389477750628809,0.231744921646745,0.367113771012802,0.368628689829491,0.124310857654433,0.355444088187192,0.427777846180691,0.317859247186189
"Olan",0.378327426679061,0.690623309198865,0.302644270862415,0.153820115267868,0.254345040729375,0.201013772806091,0,0.253897354597085,0.287773617549398,0.173530201978736,0.207272763215917,0.265287898919164,0.168826167216225,0.202192886432832,0.329374557396519,0.210999183294667
"Pelvoux",0.302834533927231,0.803609757166503,0.392834412314879,0.392392758878029,0.527529743934429,0.503945694882402,0.253897354597085,0,0.504788612272013,0.457408095148213,0.438113931320496,0.486421872580026,0.456971442501599,0.410820770337821,0.53825876894637,0.441257435239343
"Persistent",0.600701120106775,0.502772239295751,0.461935701355651,0.140157631857329,0.276491223121228,0.389477750628809,0.287773617549398,0.504788612272013,0,0.257549694792402,0.132578527125159,0.0802334097326437,0.414757324982066,0.118553106060337,0.0459569870116722,0.128541521675529
"Plat de la Selle",0.405957226154972,0.673155775718186,0.30182332786518,0.249269124192307,0.247538449627361,0.231744921646745,0.173530201978736,0.457408095148213,0.257549694792402,0,0.214450631142998,0.234676856571554,0.199725310153071,0.200694324393184,0.299956336224077,0.218047543014868
"Rateau",0.543018336666548,0.564099994453528,0.412711351960789,0.177848903171249,0.341894807171122,0.367113771012802,0.207272763215917,0.438113931320496,0.132578527125159,0.214450631142998,0,0.124252418788325,0.341267306719963,0.153720652939098,0.131048526158033,0.0360897040783642
"Rocher de la Selle",0.584910391647758,0.5207427817549,0.459256201841672,0.116209917016351,0.265512233830074,0.368628689829491,0.265287898919164,0.486421872580026,0.0802334097326437,0.234676856571554,0.124252418788325,0,0.39439528652695,0.178006991896141,0.0702226492666312,0.103895944995112
"Rouies",0.247642809996443,0.759212205404187,0.260421372876756,0.311938599913619,0.238101124507221,0.124310857654433,0.168826167216225,0.456971442501599,0.414757324982066,0.199725310153071,0.341267306719963,0.39439528652695,0,0.340131565844718,0.452096894446257,0.344705740446613
"Sirac",0.552254967961295,0.586374377112338,0.435273495162564,0.24719026397528,0.317817358556834,0.355444088187192,0.202192886432832,0.410820770337821,0.118553106060337,0.200694324393184,0.153720652939098,0.178006991896141,0.340131565844718,0,0.163618642495623,0.157127795478952
"Summits",0.629285783521898,0.467620032722084,0.497334684301739,0.184923485559168,0.31840236566286,0.427777846180691,0.329374557396519,0.53825876894637,0.0459569870116722,0.299956336224077,0.131048526158033,0.0702226492666312,0.452096894446257,0.163618642495623,0,0.12721664639273
"Under Ice",0.545760321891126,0.561437305837205,0.424270930569962,0.154753591022339,0.297190405479214,0.317859247186189,0.210999183294667,0.441257435239343,0.128541521675529,0.218047543014868,0.0360897040783642,0.103895944995112,0.344705740446613,0.157127795478952,0.12721664639273,0
