"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0,0.044361623590511,0,0.113272451097057,0.113272451097057,0,0.191549304599116,0,0,0,0,0,0.068910827506546,0,0
"Ecrins NP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Meije",0.044361623590511,0,0,0.048197981181214,0.13381116437191,0.233700397774552,0.127363495750254,0.356895197702316,0,0.0909327586858953,0.0343454810334892,0.0299370142908372,0.214584897520662,0.113073399496772,0,0.0481979811812135
"Lauvitel",0,0,0.048197981181214,0,0.0156223712590838,0,0,0,0,0.145159537211019,0.129802710485144,0,0.0287822162844606,0.230279839214157,0,0.10166455397296
"Muraillette",0.113272451097057,0,0.13381116437191,0.0156223712590838,0,0,0.245091598900048,0.356895197702316,0,0.231873450650657,0.181957933416949,0.0156223712590838,0.097088098648693,0.184683901829749,0,0.122303351151045
"Occidentale Ailefroide",0.113272451097057,0,0.233700397774552,0,0,0,0.0976574912890368,0.42081580207194,0,0.0997321496560688,0.0769519945617357,0,0.097088098648693,0.0997321496560688,0,0
"Olan",0,0,0.127363495750254,0,0.245091598900048,0.0976574912890368,0,0,0,0.145641095188587,0,0,0.0287822162844606,0.0327293587525212,0,0
"Pelvoux",0.191549304599116,0,0.356895197702316,0,0.356895197702316,0.42081580207194,0,0,0,0.241993877349946,0,0,0.38718941959119,0,0,0
"Persistent",0,0,0,0,0,0,0,0,0,0,0.0513689594311284,0.0572837109003614,0,0,0,0.0509701596190336
"Plat de la Selle",0,0,0.0909327586858953,0.145159537211019,0.231873450650657,0.0997321496560688,0.145641095188587,0.241993877349946,0,0,0.0468726909207516,0,0.0287822162844606,0.0669137548887778,0,0.0468726909207516
"Rateau",0,0,0.0343454810334892,0.129802710485144,0.181957933416949,0.0769519945617357,0,0,0.0513689594311284,0.0468726909207516,0,0.0669731238967053,0,0.124583476091478,0,0.0323187992218466
"Rocher de la Selle",0,0,0.0299370142908372,0,0.0156223712590838,0,0,0,0.0572837109003614,0,0.0669731238967053,0,0,0.0922404525823745,0,0.0492186568526266
"Rouies",0,0,0.214584897520662,0.0287822162844606,0.097088098648693,0.097088098648693,0.0287822162844606,0.38718941959119,0,0.0287822162844606,0,0,0,0.0415548072960021,0,0
"Sirac",0.068910827506546,0,0.113073399496772,0.230279839214157,0.184683901829749,0.0997321496560688,0.0327293587525212,0,0,0.0669137548887778,0.124583476091478,0.0922404525823745,0.0415548072960021,0,0,0.124583476091478
"Summits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Under Ice",0,0,0.0481979811812135,0.10166455397296,0.122303351151045,0,0,0,0.0509701596190336,0.0468726909207516,0.0323187992218466,0.0492186568526266,0,0.124583476091478,0,0
