"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0.917462740074858,0.286249043872601,0.669224068725293,0.424778669379973,0.323505595507234,0.548965970430701,0.143372626537437,0.750547510164427,0.577481616941062,0.703839123311594,0.738099005130068,0.396977096348832,0.582615345023525,0.772468267858596,0.706138350379479
"Ecrins NP",0.917462740074858,0,0.878222204211288,0.750473803801052,0.812462477295404,0.854617510048425,0.817004362167621,0.89111267442796,0.669126333517269,0.804654038180325,0.721309374661325,0.68485320200432,0.863127487487793,0.7392635503603,0.637249454621794,0.719128848450531
"La Meije",0.286249043872601,0.878222204211288,0,0.454198080466946,0.246466493882017,0.0843397948422359,0.238712124966015,0.0380323169929889,0.631950777215849,0.296986782993602,0.517872553775867,0.571305073007267,0.0598821762021159,0.403364052661685,0.664293279940502,0.503809279589056
"Lauvitel",0.669224068725293,0.750473803801052,0.454198080466946,0,0.237988604437404,0.41736582304304,0.266627550052995,0.563623670657715,0.245856586740573,0.145545478550234,0.0722099060865285,0.208222333890353,0.419584459284467,0.0220418424074889,0.312127302417173,0.0834634141457388
"Muraillette",0.424778669379973,0.812462477295404,0.246466493882017,0.237988604437404,0,0.224781857758795,0.0118499079005912,0.164649712448621,0.433205051649571,0.0203863901545356,0.20167780505651,0.388848141345611,0.207630717914218,0.170553051093947,0.483012430735097,0.240255683982445
"Occidentale Ailefroide",0.323505595507234,0.854617510048425,0.0843397948422359,0.41736582304304,0.224781857758795,0,0.156802159068459,0.0778067513567756,0.560610273108081,0.194911850291888,0.394156954986787,0.538683271173303,0.0441401927848049,0.343093484821917,0.599221856992666,0.482387247143217
"Olan",0.548965970430701,0.817004362167621,0.238712124966015,0.266627550052995,0.0118499079005912,0.156802159068459,0,0.404973108311038,0.446931997406538,0.0414879280307841,0.343373543297351,0.419332073191847,0.232927612970716,0.272989259905932,0.495533114522027,0.348471223111181
"Pelvoux",0.143372626537437,0.89111267442796,0.0380323169929889,0.563623670657715,0.164649712448621,0.0778067513567756,0.404973108311038,0,0.670909665524189,0.238014671091667,0.609289600467487,0.654486968407871,0.0690536665979239,0.582385486484509,0.69982863717403,0.612322857041935
"Persistent",0.750547510164427,0.669126333517269,0.631950777215849,0.245856586740573,0.433205051649571,0.560610273108081,0.446931997406538,0.670909665524189,0,0.409605593892523,0.136399795760273,0.0401881338413564,0.586329991240475,0.211975820223491,0.0878754816543128,0.130804741002707
"Plat de la Selle",0.577481616941062,0.804654038180325,0.296986782993602,0.145545478550234,0.0203863901545356,0.194911850291888,0.0414879280307841,0.238014671091667,0.409605593892523,0,0.263616814601854,0.380142958576552,0.276997778535882,0.208862880943478,0.46148678669523,0.268479942460544
"Rateau",0.703839123311594,0.721309374661325,0.517872553775867,0.0722099060865285,0.20167780505651,0.394156954986787,0.343373543297351,0.609289600467487,0.136399795760273,0.263616814601854,0,0.0955015341372322,0.508872921915206,0.0449143480940926,0.231729272665571,0.00705122180755979
"Rocher de la Selle",0.738099005130068,0.68485320200432,0.571305073007267,0.208222333890353,0.388848141345611,0.538683271173303,0.419332073191847,0.654486968407871,0.0401881338413564,0.380142958576552,0.0955015341372322,0,0.565686488383475,0.133315841080686,0.131229981564586,0.0944153961450432
"Rouies",0.396977096348832,0.863127487487793,0.0598821762021159,0.419584459284467,0.207630717914218,0.0441401927848049,0.232927612970716,0.0690536665979239,0.586329991240475,0.276997778535882,0.508872921915206,0.565686488383475,0,0.427815416002343,0.622681442506162,0.51268575730498
"Sirac",0.582615345023525,0.7392635503603,0.403364052661685,0.0220418424074889,0.170553051093947,0.343093484821917,0.272989259905932,0.582385486484509,0.211975820223491,0.208862880943478,0.0449143480940926,0.133315841080686,0.427815416002343,0,0.281223824576597,0.0500186729388825
"Summits",0.772468267858596,0.637249454621794,0.664293279940502,0.312127302417173,0.483012430735097,0.599221856992666,0.495533114522027,0.69982863717403,0.0878754816543128,0.46148678669523,0.231729272665571,0.131229981564586,0.622681442506162,0.281223824576597,0,0.225718182569151
"Under Ice",0.706138350379479,0.719128848450531,0.503809279589056,0.0834634141457388,0.240255683982445,0.482387247143217,0.348471223111181,0.612322857041935,0.130804741002707,0.268479942460544,0.00705122180755979,0.0944153961450432,0.51268575730498,0.0500186729388825,0.225718182569151,0
