"","Choisy","Ecrins NP","La Meije","Lauvitel","Muraillette","Occidentale Ailefroide","Olan","Pelvoux","Persistent","Plat de la Selle","Rateau","Rocher de la Selle","Rouies","Sirac","Summits","Under Ice"
"Choisy",0,0,0.233335835655206,0,0.0432529807985214,0.233335835655206,0,NA,0,0.0432529807985217,0.043252980798522,0.0432529807985214,0.233335835655206,0,0,0.0432529807985214
"Ecrins NP",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"La Meije",0.233335835655206,0,0,0,0.0266943995679499,0,0.173938437284328,NA,0,0.173938437284328,0,0,0,0,0,0
"Lauvitel",0,0,0,0,0.10021511976996,0,0.153234455828232,NA,0,0.15996298254677,0.0252410816615307,0.0556245169746726,0.127768835359728,0.00836127994162418,0,0.0398675258598459
"Muraillette",0.0432529807985214,0,0.0266943995679499,0.10021511976996,0,0,0.0816924705570525,NA,0,0.0281148037027944,0.325097101968915,0.331615549726944,0.0232836872245257,0.107821737250467,0,0.0971577649625536
"Occidentale Ailefroide",0.233335835655206,0,0,0,0,0,0.233335835655205,NA,0,0.233335835655206,0,0,0,0,0,0
"Olan",0,0,0.173938437284328,0.153234455828232,0.0816924705570525,0.233335835655205,0,NA,0,0.0278798447227105,0.0320337579972605,0.027222121933492,0.151714525728218,0,0,0.155709677405483
"Pelvoux",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Persistent",0,0,0,0,0,0,0,NA,0,0,0.0128113180967081,0.319171987040401,0,0,0,0.0131092275397958
"Plat de la Selle",0.0432529807985217,0,0.173938437284328,0.15996298254677,0.0281148037027944,0.233335835655206,0.0278798447227105,NA,0,0,0.0328261291082713,0.0278798447227103,0.151714525728219,0.0278798447227105,0,0.15996298254677
"Rateau",0.043252980798522,0,0,0.0252410816615307,0.325097101968915,0,0.0320337579972605,NA,0.0128113180967081,0.0328261291082713,0,0.312318733153774,0,0.0261218579804178,0,0.20223268672834
"Rocher de la Selle",0.0432529807985214,0,0,0.0556245169746726,0.331615549726944,0,0.027222121933492,NA,0.319171987040401,0.0278798447227103,0.312318733153774,0,0,0.0518626183429185,0,0.386742388921722
"Rouies",0.233335835655206,0,0,0.127768835359728,0.0232836872245257,0,0.151714525728218,NA,0,0.151714525728219,0,0,0,0,0,0.127768835359728
"Sirac",0,0,0,0.00836127994162418,0.107821737250467,0,0,NA,0,0.0278798447227105,0.0261218579804178,0.0518626183429185,0,0,0,0.132449846120257
"Summits",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"Under Ice",0.0432529807985214,0,0,0.0398675258598459,0.0971577649625536,0,0.155709677405483,NA,0.0131092275397958,0.15996298254677,0.20223268672834,0.386742388921722,0.127768835359728,0.132449846120257,0,0
