"Ecrins NP" "Summits" "Persistent" "Under Ice" "Plat de la Selle" "Barre des Ecrins" "La Meije" "Sirac" "Rouies" "Olan" "Pelvoux" "Occidentale Ailefroide" "Brevoort" "Burlan" "Rocher de la Selle" "Choisy" "Muraillette" "Rateau" "Lauvitel"
"Ecrins NP" 0 0.494474042476839 0.588915248247663 0.648497472799469 0.829149479109902 0.804926483476588 0.816766044481393 0.723797571505917 0.79191848936093 0.692966521323986 0.828849021600704 0.822349903264981 0.894086409834096 0.807230587457366 0.571344872027329 0.86879998450263 0.744602567664604 0.658949406285904 0.684223940005348
"Summits" 0.494474042476839 0 0.133241599790378 0.22672682574263 0.567239671618831 0.515714795307847 0.540640111973314 0.357145633964423 0.488882647488578 0.30196040729403 0.566587756473391 0.552566252228094 0.716282798689014 0.520527460636241 0.107139315652808 0.656250547536045 0.395889896740382 0.24396841689872 0.286774642755313
"Persistent" 0.588915248247663 0.133241599790378 0 0.254794770452112 0.46948144229404 0.412792936128584 0.456525810822391 0.244056696926059 0.380421517439217 0.269970708404904 0.631561865018893 0.467735293020988 0.647003869578127 0.420287951913773 0.163201791025079 0.575463460619953 0.277274236535448 0.262280267506933 0.162608236523958
"Under Ice" 0.648497472799469 0.22672682574263 0.254794770452112 0 0.448095891752604 0.353047195805151 0.393204545686339 0.2956614727818 0.323988015730376 0.264038564995547 0.503356539274929 0.372507796391411 0.597753295391742 0.333113919878297 0.223787050195672 0.518397527379232 0.308757080334805 0.0790692719811536 0.270283336661136
"Plat de la Selle" 0.829149479109902 0.567239671618831 0.46948144229404 0.448095891752604 0 0.295893003315428 0.329182807992825 0.329443850480539 0.265923411169492 0.360424018581755 0.553430028516732 0.358347893193582 0.463144724790594 0.390771914457407 0.499935012069544 0.370447821515372 0.352746175390216 0.439734606374872 0.403139513865134
"Barre des Ecrins" 0.804926483476588 0.515714795307847 0.412792936128584 0.353047195805151 0.295893003315428 0 0.216841391398368 0.311618632294743 0.187374978842481 0.31391105418632 0.496722758401645 0.241254209615968 0.327650274069242 0.208320500996863 0.433931218371321 0.241851443187531 0.252509575821993 0.343429765433197 0.296215978603219
"La Meije" 0.816766044481393 0.540640111973314 0.456525810822391 0.393204545686339 0.329182807992825 0.216841391398368 0 0.369813586365879 0.161398497451334 0.413121532654172 0.52924181707889 0.274159406283197 0.307499552378881 0.269687295623802 0.478017101831432 0.233621978566832 0.271911595502763 0.376312224299944 0.346906771325968
"Sirac" 0.723797571505917 0.357145633964423 0.244056696926059 0.2956614727818 0.329443850480539 0.311618632294743 0.369813586365879 0 0.328881252875217 0.247061803966131 0.548177380448281 0.365876586938369 0.547748319625044 0.325508827282996 0.307982065766714 0.48351701452265 0.304121566686694 0.3037722733086 0.237128676924678
"Rouies" 0.79191848936093 0.488882647488578 0.380421517439217 0.323988015730376 0.265923411169492 0.187374978842481 0.161398497451334 0.328881252875217 0 0.3150469687027 0.548202988728478 0.245854864720267 0.364132880836307 0.28009921552875 0.415671291712761 0.269257540321323 0.235254243256688 0.302546392097156 0.262059098888001
"Olan" 0.692966521323986 0.30196040729403 0.269970708404904 0.264038564995547 0.360424018581755 0.31391105418632 0.413121532654172 0.247061803966131 0.3150469687027 0 0.418949595208066 0.381774988699938 0.529081663394651 0.374686864106793 0.237733457861077 0.442238140786969 0.306959419294776 0.265343788117195 0.228902820754847
"Pelvoux" 0.828849021600704 0.566587756473391 0.631561865018893 0.503356539274929 0.553430028516732 0.496722758401645 0.52924181707889 0.548177380448281 0.548202988728478 0.418949595208066 0 0.478845804781968 0.497615627694763 0.488233411555969 0.559928026580439 0.473713843749542 0.595099983143892 0.500662184185554 0.577928708892425
"Occidentale Ailefroide" 0.822349903264981 0.552566252228094 0.467735293020988 0.372507796391411 0.358347893193582 0.241254209615968 0.274159406283197 0.365876586938369 0.245854864720267 0.381774988699938 0.478845804781968 0 0.387621127102727 0.298730845000218 0.489682927582856 0.330401966137796 0.332035534841464 0.41653999751618 0.372115804363875
"Brevoort" 0.894086409834096 0.716282798689014 0.647003869578127 0.597753295391742 0.463144724790594 0.327650274069242 0.307499552378881 0.547748319625044 0.364132880836307 0.529081663394651 0.497615627694763 0.387621127102727 0 0.387631060327098 0.659776048814567 0.11328143192865 0.466456698882439 0.583714504441144 0.543704897135291
"Burlan" 0.807230587457366 0.520527460636241 0.420287951913773 0.333113919878297 0.390771914457407 0.208320500996863 0.269687295623802 0.325508827282996 0.28009921552875 0.374686864106793 0.488233411555969 0.298730845000218 0.387631060327098 0 0.454876413489482 0.309459697190307 0.252873875342148 0.3878889993553 0.321985115608194
"Rocher de la Selle" 0.571344872027329 0.107139315652808 0.163201791025079 0.223787050195672 0.499935012069544 0.433931218371321 0.478017101831432 0.307982065766714 0.415671291712761 0.237733457861077 0.559928026580439 0.489682927582856 0.659776048814567 0.454876413489482 0 0.59161851792171 0.336707778391523 0.246146197801937 0.235043511991073
