"","desc","value"
"1","Root_state","0,1"
"2","mu","7.07855405777144"
"3","gamma_0","1.61091198073807"
"4","loglik.obs","-72.4127810284107"
"5","df","2"
"6","conv","0"
"7","n.obs","28"
"8","mntd.obs","29.2269466785714"
"9","mpd.obs","124.622877915344"
"10","runs","1000"
"11","mntd.mean.RD","35.5471723588929"
"12","mntd.sd.RD","5.66032013184874"
"13","mntd.obs.z.RD","1.11658449223739"
"14","mntd.obs.rank.RD","137"
"15","mntd.obs.q.RD","0.136863136863137"
"16","mpd.mean.RD","133.677433568728"
"17","mpd.sd.RD","5.29668416081951"
"18","mpd.obs.z.RD","1.70947622672345"
"19","mpd.obs.rank.RD","46"
"20","mpd.obs.q.RD","0.045954045954046"
"21","n.mean.DAMOCLES","28.285"
"22","mntd.mean.DAMOCLES","35.6393215911542"
"23","mntd.sd.DAMOCLES","6.58171096753031"
"24","mntd.obs.z.DAMOCLES","0.974271727247984"
"25","mntd.obs.rank.DAMOCLES","163"
"26","mntd.obs.q.DAMOCLES","0.162837162837163"
"27","mpd.mean.DAMOCLES","134.08367816376"
"28","mpd.sd.DAMOCLES","4.94975012817737"
"29","mpd.obs.z.DAMOCLES","1.91136926176517"
"30","mpd.obs.rank.DAMOCLES","37"
"31","mpd.obs.q.DAMOCLES","0.036963036963037"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
