"","desc","value"
"1","Root_state","0,1"
"2","mu","1.26337887155364"
"3","gamma_0","0.455128993991783"
"4","loglik.obs","-41.143420233184"
"5","df","2"
"6","conv","0"
"7","n.obs","19"
"8","mntd.obs","44.4506242105263"
"9","mpd.obs","124.752208877193"
"10","runs","1000"
"11","mntd.mean.RD","46.9473891191053"
"12","mntd.sd.RD","8.10367440481525"
"13","mntd.obs.z.RD","0.308102816556321"
"14","mntd.obs.rank.RD","384"
"15","mntd.obs.q.RD","0.383616383616384"
"16","mpd.mean.RD","119.684609701696"
"17","mpd.sd.RD","10.8271846240941"
"18","mpd.obs.z.RD","-0.468044034662528"
"19","mpd.obs.rank.RD","664"
"20","mpd.obs.q.RD","0.663336663336663"
"21","n.mean.DAMOCLES","19.079"
"22","mntd.mean.DAMOCLES","48.1586979150859"
"23","mntd.sd.DAMOCLES","9.29586387234687"
"24","mntd.obs.z.DAMOCLES","0.398895009165346"
"25","mntd.obs.rank.DAMOCLES","369"
"26","mntd.obs.q.DAMOCLES","0.368631368631369"
"27","mpd.mean.DAMOCLES","119.765763117328"
"28","mpd.sd.DAMOCLES","10.9146743411291"
"29","mpd.obs.z.DAMOCLES","-0.456857035218651"
"30","mpd.obs.rank.DAMOCLES","644"
"31","mpd.obs.q.DAMOCLES","0.643356643356643"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
