"","desc","value"
"1","Root_state","0,1"
"2","mu","1.45879079904049"
"3","gamma_0","0.349883985865876"
"4","loglik.obs","-78.5931523276712"
"5","df","2"
"6","conv","0"
"7","n.obs","31"
"8","mntd.obs","104.71776383871"
"9","mpd.obs","275.676269643011"
"10","runs","1000"
"11","mntd.mean.RD","89.8700141436774"
"12","mntd.sd.RD","12.8577849537809"
"13","mntd.obs.z.RD","-1.15476730621989"
"14","mntd.obs.rank.RD","874"
"15","mntd.obs.q.RD","0.873126873126873"
"16","mpd.mean.RD","263.605061710133"
"17","mpd.sd.RD","11.8517053080078"
"18","mpd.obs.z.RD","-1.01852076297588"
"19","mpd.obs.rank.RD","833"
"20","mpd.obs.q.RD","0.832167832167832"
"21","n.mean.DAMOCLES","31.266"
"22","mntd.mean.DAMOCLES","89.985441852394"
"23","mntd.sd.DAMOCLES","14.3851740843066"
"24","mntd.obs.z.DAMOCLES","-1.02413233930814"
"25","mntd.obs.rank.DAMOCLES","853"
"26","mntd.obs.q.DAMOCLES","0.852147852147852"
"27","mpd.mean.DAMOCLES","263.792622563585"
"28","mpd.sd.DAMOCLES","12.6408477243815"
"29","mpd.obs.z.DAMOCLES","-0.940098903058933"
"30","mpd.obs.rank.DAMOCLES","826"
"31","mpd.obs.q.DAMOCLES","0.825174825174825"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
