"","desc","value"
"1","Root_state","0,1"
"2","mu","0.471639783079603"
"3","gamma_0","0.353082145167086"
"4","loglik.obs","-25.7774744826336"
"5","df","2"
"6","conv","0"
"7","n.obs","16"
"8","mntd.obs","21.489481375"
"9","mpd.obs","85.14326905"
"10","runs","1000"
"11","mntd.mean.RD","36.9525087668125"
"12","mntd.sd.RD","6.51658503795594"
"13","mntd.obs.z.RD","2.37287280097595"
"14","mntd.obs.rank.RD","8"
"15","mntd.obs.q.RD","0.00799200799200799"
"16","mpd.mean.RD","104.947829472683"
"17","mpd.sd.RD","8.37185870789066"
"18","mpd.obs.z.RD","2.36561092508849"
"19","mpd.obs.rank.RD","11"
"20","mpd.obs.q.RD","0.010989010989011"
"21","n.mean.DAMOCLES","16.126"
"22","mntd.mean.DAMOCLES","38.1519324464551"
"23","mntd.sd.DAMOCLES","8.49661138371083"
"24","mntd.obs.z.DAMOCLES","1.96107016302985"
"25","mntd.obs.rank.DAMOCLES","11"
"26","mntd.obs.q.DAMOCLES","0.010989010989011"
"27","mpd.mean.DAMOCLES","104.393969987194"
"28","mpd.sd.DAMOCLES","8.33022538446956"
"29","mpd.obs.z.DAMOCLES","2.31094598869843"
"30","mpd.obs.rank.DAMOCLES","5"
"31","mpd.obs.q.DAMOCLES","0.004995004995005"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
