"","desc","value"
"1","Root_state","0,1"
"2","mu","0.461799396038878"
"3","gamma_0","0.0867736136414282"
"4","loglik.obs","-7.86233795433618"
"5","df","2"
"6","conv","0"
"7","n.obs","3"
"8","mntd.obs","55.94445"
"9","mpd.obs","68.4908853333333"
"10","runs","1000"
"11","mntd.mean.RD","60.8921081393333"
"12","mntd.sd.RD","18.25697929398"
"13","mntd.obs.z.RD","0.271000917493769"
"14","mntd.obs.rank.RD","351"
"15","mntd.obs.q.RD","0.350649350649351"
"16","mpd.mean.RD","69.6806582406667"
"17","mpd.sd.RD","11.3895966081387"
"18","mpd.obs.z.RD","0.104461373678779"
"19","mpd.obs.rank.RD","361"
"20","mpd.obs.q.RD","0.360639360639361"
"21","n.mean.DAMOCLES","3.088"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","310.5"
"26","mntd.obs.q.DAMOCLES","0.31018981018981"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","263"
"31","mpd.obs.q.DAMOCLES","0.262737262737263"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
