"","desc","value"
"1","Root_state","0,1"
"2","mu","5.9441253159971e-16"
"3","gamma_0","0.0311826627151712"
"4","loglik.obs","-21.8476803152295"
"5","df","2"
"6","conv","0"
"7","n.obs","14"
"8","mntd.obs","25.9374470714286"
"9","mpd.obs","99.446418032967"
"10","runs","1000"
"11","mntd.mean.RD","34.2232784272857"
"12","mntd.sd.RD","8.14643602127162"
"13","mntd.obs.z.RD","1.0171112047307"
"14","mntd.obs.rank.RD","180"
"15","mntd.obs.q.RD","0.17982017982018"
"16","mpd.mean.RD","125.456115844506"
"17","mpd.sd.RD","9.08072776675799"
"18","mpd.obs.z.RD","2.86427459115697"
"19","mpd.obs.rank.RD","18"
"20","mpd.obs.q.RD","0.017982017982018"
"21","n.mean.DAMOCLES","14.016"
"22","mntd.mean.DAMOCLES","51.9522268120856"
"23","mntd.sd.DAMOCLES","9.09529195452182"
"24","mntd.obs.z.DAMOCLES","2.86024680359199"
"25","mntd.obs.rank.DAMOCLES","1"
"26","mntd.obs.q.DAMOCLES","0.000999000999000999"
"27","mpd.mean.DAMOCLES","133.427994797357"
"28","mpd.sd.DAMOCLES","6.62633171917654"
"29","mpd.obs.z.DAMOCLES","5.12826375203156"
"30","mpd.obs.rank.DAMOCLES","2"
"31","mpd.obs.q.DAMOCLES","0.001998001998002"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
