"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Barre des Ecrins",39,60.8163753589744,66.2833140636088,8.61297218187186,266,-0.634733119902665,0.266,999
"Brevoort",10,164.0896962,66.0072056189994,8.85534576075006,1000,11.0760768953524,1,999
"Burlan",31,91.5740416129032,65.3863384760793,8.31832554103964,995,3.14819406954238,0.995,999
"Choisy",16,114.1362109375,66.0082095636545,8.94464562294209,1000,5.38064931833657,1,999
"La Meije",33,73.338696030303,65.9619490349902,8.43408054657098,818,0.874635587670783,0.818,999
"Lauvitel",95,44.4948648421053,66.1451480091959,8.83070006140139,6,-2.4517063218717,0.006,999
"Muraillette",62,54.293200016129,65.4582430862164,8.52049429158815,83,-1.31037504257353,0.083,999
"Occidentale Ailefroide",28,78.658892,66.2370896753788,8.46227732268567,915,1.4679030065962,0.915,999
"Olan",59,65.4489276101695,66.0212568280636,8.7007869551827,495,-0.0657790175580804,0.495,999
"Pelvoux",13,141.391363846154,65.9154300194688,8.69001271185198,1000,8.68536518062237,1,999
"Persistent",164,39.5226386463415,65.671276050758,8.73466576485851,1,-2.99366204825126,0.001,999
"Plat de la Selle",31,71.590894483871,65.7508951608706,8.26915728560753,772,0.706238752183959,0.772,999
"Rateau",81,52.440235617284,66.0210174079386,8.67961768056644,56,-1.56467511478782,0.056,999
"Rocher de la Selle",118,46.2046453135593,65.6304484469981,8.62332775415337,10,-2.25270379223178,0.01,999
"Rouies",40,75.866448975,65.5183750990217,8.47530339251688,884,1.22096795792761,0.884,999
"Sirac",72,50.6984904444444,65.4153211632376,8.7526759952521,31,-1.68140928863084,0.031,999
