"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Barre des Ecrins",39,275.852530153846,262.937784574489,9.04134314124057,934,1.42841006890326,0.934,999
"Brevoort",10,259.7384382,263.033503602129,9.47734165163799,335,-0.347678233332358,0.335,999
"Burlan",31,271.365998735484,263.333551262976,9.01764503431122,824,0.89074779966895,0.824,999
"Choisy",16,258.37413085,263.103998921801,9.16007354801987,297,-0.516356997245184,0.297,999
"La Meije",33,265.048338602273,262.623867765713,9.404012223558,565,0.257812386768979,0.565,999
"Lauvitel",95,269.742664958119,263.03119609325,8.97867565649928,764,0.747489843895968,0.764,999
"Muraillette",62,265.980170028027,263.44316984366,8.66399055617879,605,0.292821208416293,0.605,999
"Occidentale Ailefroide",28,271.749104621693,262.978530150573,9.13081383639994,835,0.96054685028796,0.835,999
"Olan",59,264.123776065459,263.550145883397,8.99681511358513,500,0.0637592497811174,0.5,999
"Pelvoux",13,281.49496774359,263.199029918269,9.0033680278122,992,2.03212150928446,0.992,999
"Persistent",164,283.098430636559,262.813798884213,9.38440932568011,996,2.16152461474993,0.996,999
"Plat de la Selle",31,269.380212546296,262.94866240922,9.18977223159027,751,0.699859580302493,0.751,999
"Rateau",81,268.23889696842,262.610753779764,9.41457143388069,703,0.597811937397506,0.703,999
"Rocher de la Selle",118,251.872930391026,263.142430192342,8.77053819559235,108,-1.28492682546897,0.108,999
"Rouies",40,264.689016605634,263.269443551339,8.97430593188673,547,0.158181932404464,0.547,999
"Sirac",72,263.341607466183,262.787375017462,9.0386870549954,504,0.0613178048259189,0.504,999
