"","ntax","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"aiguille.du.plat.de.la.selle",30,78.3539100333333,131.04140843855,34.5864355398695,30,-1.52335728104971,0.03,999
"barre.des.Ecrins",43,83.5930521395349,132.012843789128,34.9600989403156,61,-1.38500156227408,0.061,999
"brèche.de.valsenestre",14,108.031052714286,132.753457110101,36.0813441683517,277,-0.685185238123696,0.277,999
"brèche.du.râteau",33,64.9803968787879,132.392804731286,35.3367959130331,8,-1.9077113844279,0.008,999
"EcrinsNP",1092,28.480519242674,133.713195832203,35.4498112026841,1,-2.96849751858654,0.001,999
"l.olan",68,96.7967892941176,131.42910145262,34.9980966131,154,-0.98954844720154,0.154,999
"la.meije",37,69.9715284864865,133.121673877037,34.949818945763,12,-1.80688047307343,0.012,999
"le.râteau",75,92.67220284,134.762009450919,36.0977521733315,103,-1.16599522343705,0.103,999
"le.sirac",81,70.9750507407407,131.702981178313,35.7863129742133,15,-1.69695968627255,0.015,999
"les.rouies",44,97.8533578863636,134.116552245843,36.3933523853548,153,-0.996423576907759,0.153,999
"mont.pelvoux",17,241.380681235294,131.443151591444,35.4532952234067,992,3.10091146538244,0.992,999
"occidentale.l.ailefroide",31,115.701067741935,134.40699261599,36.0494298091184,348,-0.51889655323545,0.348,999
"persistant",172,50.3605823604651,130.526903794707,34.1016528933737,1,-2.35080456906001,0.001,999
"pic.du.clapier.du.peyron",45,64.1152299333333,132.5362532181,35.8463193882878,4,-1.90873217815279,0.004,999
"pic.ouest..le.rateau.",26,113.816847730769,133.231257614476,35.4879401057459,348,-0.547070633738004,0.348,999
"pointe.brevoort",13,120.632872076923,132.452928231998,37.1549732805685,426,-0.318128506399873,0.426,999
"pointes.de.burlan",34,81.3466535,132.273419393602,35.3710511788504,52,-1.43978661069741,0.052,999
"rocher.de.la.selle",157,59.3738292929936,133.607922880689,35.4464823592511,1,-2.09425840441178,0.001,999
"signal.du.lauvitel",87,71.3762504022989,133.351036626551,36.8124900319907,16,-1.68352605787857,0.016,999
"Summits",226,51.9365542743363,132.219622799595,36.9508056455174,1,-2.17270143702532,0.001,999
"tête.de.la.muraillette",64,71.58237734375,131.844232013837,36.5437027769713,16,-1.64903526711206,0.016,999
"tour.choisy",18,97.0195776111111,131.2726041648,36.0741539425993,170,-0.949517114335994,0.17,999
"underIce",109,72.1750786605505,133.479616250576,36.7373442839087,25,-1.66872534705449,0.025,999
