"","ntax","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"aiguille.du.plat.de.la.selle",30,78.3539100333333,303.320097707919,166.389363688477,8,-1.35204668548273,0.008,999
"barre.des.Ecrins",43,83.5930521395349,303.870962988225,163.083680150325,9,-1.35070480777504,0.009,999
"brèche.de.valsenestre",14,108.031052714286,302.709141697765,152.195365917531,17,-1.27913282910971,0.017,999
"brèche.du.râteau",33,64.9803968787879,300.720448467799,167.845164722543,2,-1.40450904247795,0.002,999
"EcrinsNP",1092,28.480519242674,296.671919702606,161.419162125871,2,-1.66145950039563,0.002,999
"l.olan",68,96.7967892941176,308.045974509303,168.207710899696,12,-1.25588288482895,0.012,999
"la.meije",37,69.9715284864865,298.301142364474,166.819855178473,5,-1.36871965050987,0.005,999
"le.râteau",75,92.67220284,297.957017997494,158.600080792888,12,-1.29435504781092,0.012,999
"le.sirac",81,70.9750507407407,299.305870951836,158.319263977375,4,-1.44221754494592,0.004,999
"les.rouies",44,97.8533578863636,310.033870543425,174.741285367986,11,-1.21425518995258,0.011,999
"mont.pelvoux",17,241.380681235294,313.084716953208,177.361790524512,407,-0.404281189910542,0.407,999
"occidentale.l.ailefroide",31,115.701067741935,295.788199871321,154.296034104626,28,-1.16715334372931,0.028,999
"persistant",172,50.3605823604651,293.22835441926,149.217365609698,1,-1.62761064080205,0.001,999
"pic.du.clapier.du.peyron",45,64.1152299333333,299.868618654632,157.339221326418,2,-1.49837648066277,0.002,999
"pic.ouest..le.rateau.",26,113.816847730769,299.824886722283,163.844442890975,29,-1.13527218689551,0.029,999
"pointe.brevoort",13,120.632872076923,310.77239819376,176.02956815574,29,-1.08015674928324,0.029,999
"pointes.de.burlan",34,81.3466535,312.622513131662,168.041599452125,8,-1.37630122770613,0.008,999
"rocher.de.la.selle",157,59.3738292929936,301.611852425654,147.870273923963,5,-1.63817930882595,0.005,999
"signal.du.lauvitel",87,71.3762504022989,288.316217906545,142.348055725712,7,-1.52401075236506,0.007,999
"Summits",226,51.9365542743363,295.298593521657,156.224805952723,4,-1.55776822869581,0.004,999
"tête.de.la.muraillette",64,71.58237734375,299.824170217265,160.043811208065,8,-1.42612070501614,0.008,999
"tour.choisy",18,97.0195776111111,299.878980171836,156.175794371643,8,-1.29891705290765,0.008,999
"underIce",109,72.1750786605505,294.95432677739,166.568783319481,4,-1.33746097964554,0.004,999
