"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"aiguille.du.plat.de.la.selle",30,283.331599064368,319.800878292534,48.8655657339383,271,-0.746318571788012,0.271,999
"barre.des.Ecrins",43,310.221262403101,320.14641512356,41.1669425811989,437,-0.241095211306558,0.437,999
"brèche.de.valsenestre",14,282.950360714286,322.843616789372,72.8252511383168,380,-0.547794280850704,0.38,999
"brèche.du.râteau",33,271.88131992803,321.008975614835,46.7313323145592,160,-1.05127872999885,0.16,999
"EcrinsNP",1092,321.643628089668,321.16313652615,0.68958752902892,788,0.696781109418434,0.788,999
"l.olan",68,346.313972614574,321.80836773453,32.3464881799115,778,0.757597076496954,0.778,999
"la.meije",37,259.192991891892,319.17889589681,42.9542530720706,53,-1.39650674181834,0.053,999
"le.râteau",75,399.445614254414,320.033550532847,29.5442582557484,996,2.68790175857998,0.996,999
"le.sirac",81,343.061003340741,320.205696907222,27.9386206857623,782,0.818054215724611,0.782,999
"les.rouies",44,287.703421001057,319.399099078747,39.1099689963402,240,-0.810424525794325,0.24,999
"mont.pelvoux",17,474.798530397059,321.995358653595,63.4818725444046,978,2.40703630215981,0.978,999
"occidentale.l.ailefroide",31,322.695217544086,323.262099850702,49.4290949632571,530,-0.0114685957134702,0.53,999
"persistant",172,328.035874189446,320.489502036503,18.1685416494122,685,0.41535376358549,0.685,999
"pic.du.clapier.du.peyron",45,272.831337969697,321.092870319556,40.9551013301638,111,-1.17840099968972,0.111,999
"pic.ouest..le.rateau.",26,346.375483018462,322.403225110243,53.3139001151147,699,0.449643673722208,0.699,999
"pointe.brevoort",13,243.421320410256,323.063348491697,78.992704623806,85,-1.00822004336637,0.085,999
"pointes.de.burlan",34,266.195413188948,319.797806394532,44.8507499669789,90,-1.19512813598542,0.09,999
"rocher.de.la.selle",157,322.700412802711,319.893357387368,20.7791572696268,574,0.135089954752222,0.574,999
"signal.du.lauvitel",87,357.795571412991,319.719180796365,27.6006836552296,904,1.3795451986716,0.904,999
"Summits",226,339.155270673746,321.433743734739,16.1950181678145,869,1.0942579227374,0.869,999
"tête.de.la.muraillette",64,291.012174632937,322.453747311653,34.0043203057419,197,-0.924634646304259,0.197,999
"tour.choisy",18,253.783288091503,322.915867443162,65.456771330082,91,-1.05615626843311,0.091,999
"underIce",109,362.384067207611,320.916417124019,23.9369198063801,949,1.7323720185811,0.949,999
