"","ntax","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"aiguille.du.plat.de.la.selle",30,283.331599064368,319.501235273632,52.4634849061881,307,-0.689424964314522,0.307,999
"barre.des.Ecrins",43,310.221262403101,318.967796706677,54.8144824863309,442,-0.159566120244906,0.442,999
"brèche.de.valsenestre",14,282.950360714286,314.606482103742,53.0824150680187,344,-0.596357971823491,0.344,999
"brèche.du.râteau",33,271.88131992803,319.022092314152,54.115662834064,257,-0.871111429063905,0.257,999
"EcrinsNP",1092,321.643628089668,315.813362667703,54.049203339087,571,0.107869590332131,0.571,999
"l.olan",68,346.313972614574,316.664488581193,55.7772282600828,733,0.531569691758948,0.733,999
"la.meije",37,259.192991891892,318.315589745226,54.1271307168823,142,-1.0922913716336,0.142,999
"le.râteau",75,399.445614254414,317.071679019231,53.1208155927347,928,1.55069033327209,0.928,999
"le.sirac",81,343.061003340741,318.968826580913,54.2786572473721,686,0.443860957171967,0.686,999
"les.rouies",44,287.703421001057,316.223304241295,52.0638858427751,333,-0.547786297134321,0.333,999
"mont.pelvoux",17,474.798530397059,319.384988429076,56.6234358876319,991,2.74468582719703,0.991,999
"occidentale.l.ailefroide",31,322.695217544086,317.167140086393,52.4986020823854,561,0.10529951729035,0.561,999
"persistant",172,328.035874189446,317.709084351943,51.9882796029247,603,0.198636883474066,0.603,999
"pic.du.clapier.du.peyron",45,272.831337969697,320.190665331976,55.9852664931716,271,-0.845924835743262,0.271,999
"pic.ouest..le.rateau.",26,346.375483018462,314.519130651808,52.8960566343739,756,0.602244371198584,0.756,999
"pointe.brevoort",13,243.421320410256,318.358533665896,53.1526402502754,32,-1.40984931139431,0.032,999
"pointes.de.burlan",34,266.195413188948,316.54386721829,54.1543475157211,226,-0.929721367517644,0.226,999
"rocher.de.la.selle",157,322.700412802711,319.077517592281,54.0495298459162,552,0.067029171590538,0.552,999
"signal.du.lauvitel",87,357.795571412991,319.143196325162,53.0882383302692,757,0.728077937854467,0.757,999
"Summits",226,339.155270673746,318.355515535016,53.233338612128,680,0.390727985150103,0.68,999
"tête.de.la.muraillette",64,291.012174632937,315.739771283516,52.1378455303899,360,-0.474273464870479,0.36,999
"tour.choisy",18,253.783288091503,316.184812165205,54.9704860689313,127,-1.13518232302788,0.127,999
"underIce",109,362.384067207611,319.206321520958,53.7231651051316,780,0.803708150890931,0.78,999
