"","ntax","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"aiguille.du.plat.de.la.selle",30,283.331599064368,304.088445248905,56.4405032460666,510,-0.367765079876105,0.51,999
"barre.des.Ecrins",43,310.221262403101,300.754995136223,56.3804159484167,595,0.167899918928206,0.595,999
"brèche.de.valsenestre",14,282.950360714286,300.122415021427,55.538574489102,520,-0.30919148474923,0.52,999
"brèche.du.râteau",33,271.88131992803,305.576902546557,59.8238148613162,409,-0.563246972742204,0.409,999
"EcrinsNP",1092,321.643628089668,300.949512966747,55.8978443870073,640,0.370213115547817,0.64,999
"l.olan",68,346.313972614574,304.995779718784,58.6209798544563,776,0.704836271900853,0.776,999
"la.meije",37,259.192991891892,303.289669210885,56.8293568141122,259,-0.775948907238785,0.259,999
"le.râteau",75,399.445614254414,304.390099451265,58.9199931404083,916,1.61329813085057,0.916,999
"le.sirac",81,343.061003340741,301.959266162841,55.8218747896984,758,0.736301626069449,0.758,999
"les.rouies",44,287.703421001057,302.675548122403,57.4433542396971,536,-0.260641588909855,0.536,999
"mont.pelvoux",17,474.798530397059,303.949154854386,58.2311242043692,995,2.93398724268239,0.995,999
"occidentale.l.ailefroide",31,322.695217544086,304.032134128664,58.0468286527929,610,0.321517709900318,0.61,999
"persistant",172,328.035874189446,306.23820626087,58.827920003197,633,0.370532698205062,0.633,999
"pic.du.clapier.du.peyron",45,272.831337969697,306.250804305713,58.173019316095,405,-0.57448395714901,0.405,999
"pic.ouest..le.rateau.",26,346.375483018462,304.75855066744,58.9793248849988,751,0.705619001780178,0.751,999
"pointe.brevoort",13,243.421320410256,306.032940373554,58.114569851672,94,-1.07738248984899,0.094,999
"pointes.de.burlan",34,266.195413188948,302.185872682951,57.9301991745287,362,-0.621272842262684,0.362,999
"rocher.de.la.selle",157,322.700412802711,304.769240862922,57.9660652047416,597,0.309339125856735,0.597,999
"signal.du.lauvitel",87,357.795571412991,302.740012610884,59.3143393597744,832,0.928199814688395,0.832,999
"Summits",226,339.155270673746,305.38829905588,58.6352890916341,718,0.575881387147186,0.718,999
"tête.de.la.muraillette",64,291.012174632937,303.308957464805,58.2324909036253,543,-0.211167041647244,0.543,999
"tour.choisy",18,253.783288091503,303.218154434241,56.2617506091908,175,-0.878658516798135,0.175,999
"underIce",109,362.384067207611,305.709011598094,58.2656324761745,836,0.972701285490928,0.836,999
